,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
23,24,Aliou Badara Baldé,sn SEN,FW,Feyenoord,18,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
24,25,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,10,6,3,6,1,4,13,30.8,9,15,1,14,2,12,2,0,Matches
25,26,Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,4.8,14,5,3,9,2,9,15,60.0,6,11,1,10,4,18,6,0,Matches
26,27,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,26.3,47,21,26,16,5,26,48,54.2,22,24,3,21,24,71,47,2,Matches
27,28,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0,Matches
28,29,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,14,8,8,6,0,7,22,31.8,15,9,2,7,9,23,17,0,Matches
29,30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,8,5,1,7,0,3,8,37.5,5,13,1,12,8,16,9,0,Matches
30,31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,7,3,4,2,1,4,7,57.1,3,8,6,2,5,12,30,1,Matches
31,32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,20,13,15,5,0,13,18,72.2,5,24,14,10,22,42,61,0,Matches
32,33,Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,5.0,8,3,4,2,2,4,8,50.0,4,6,0,6,2,10,4,0,Matches
33,34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,57,34,40,13,4,24,37,64.9,13,22,9,13,29,86,54,0,Matches
34,35,Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,0.2,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
35,36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,2,0,Matches
36,37,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,13.8,41,22,27,10,4,30,57,52.6,27,28,8,20,27,68,33,1,Matches
37,38,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Heracles Almelo,26,1995,16.4,42,27,18,17,7,11,45,24.4,34,16,3,13,10,52,10,0,Matches
38,39,Cole Bassett,us USA,"MF,DF",Feyenoord,20,2001,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
39,40,Riechedly Bazoer,nl NED,DF,Vitesse,24,1996,21.8,25,18,18,5,2,13,28,46.4,15,11,8,3,43,68,42,1,Matches
40,41,Sven van Beek,nl NED,DF,Heerenveen,27,1994,28.5,62,40,40,19,3,30,46,65.2,16,51,24,27,45,107,124,0,Matches
41,42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
42,43,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,0.8,6,6,2,3,1,2,5,40.0,3,0,0,0,0,6,2,0,Matches
43,44,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,9.3,11,7,4,7,0,6,19,31.6,13,4,0,4,5,16,1,0,Matches
44,45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,3,1,2,1,0,1,1,100.0,0,3,3,0,0,3,5,0,Matches
45,46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,8,5,1,5,2,4,11,36.4,7,10,1,9,1,9,7,0,Matches
46,47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,6.9,6,2,3,3,0,2,7,28.6,5,4,0,4,1,7,4,0,Matches
47,48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,3,1,0,2,1,2,3,66.7,1,0,0,0,2,5,0,0,Matches
48,49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,26.5,29,18,10,10,9,14,43,32.6,29,12,1,11,9,38,4,0,Matches
49,50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,12,6,10,2,0,5,10,50.0,5,9,5,4,13,25,53,1,Matches
50,51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,49,21,11,30,8,17,64,26.6,47,32,5,27,18,67,18,0,Matches
51,52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,16,11,8,8,0,10,18,55.6,8,20,9,11,38,54,82,2,Matches
52,53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,15,11,9,5,1,6,11,54.5,5,12,7,5,20,35,49,0,Matches
53,54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,0,0,0,0,0,0,2,0.0,2,2,0,2,1,1,5,1,Matches
54,55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,13,3,Matches
55,56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,45,25,11,22,12,25,42,59.5,17,32,8,24,44,89,44,0,Matches
56,57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,3,0,1,1,1,1,13,7.7,12,6,2,4,0,3,13,0,Matches
57,58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,2.7,12,5,6,5,1,5,12,41.7,7,5,1,4,5,17,1,0,Matches
58,59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
59,60,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
60,61,Olivier Boscagli,fr FRA,"DF,MF",PSV Eindhoven,23,1997,26.2,45,25,29,12,4,22,44,50.0,22,24,13,11,69,114,70,0,Matches
61,62,Jesse Bosch,nl NED,MF,Twente,21,2000,9.7,20,10,5,13,2,6,21,28.6,15,11,1,10,18,38,24,0,Matches
62,63,Jordan Botaka,cd COD,"MF,DF",Fortuna Sittard,28,1993,1.8,6,3,3,3,0,1,2,50.0,1,2,0,2,0,6,0,0,Matches
63,64,Ioannis-Foivos Botos,gr GRE,"MF,FW",Go Ahead Eag,20,2000,11.5,6,5,3,1,2,3,5,60.0,2,9,1,8,1,7,2,0,Matches
64,65,Achraf El Bouchataoui,nl NED,MF,RKC Waalwijk,21,2000,4.1,8,4,5,2,1,4,8,50.0,4,2,0,2,3,11,6,0,Matches
65,66,Yacine Bourhane,km COM,MF,Go Ahead Eag,22,1998,0.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
66,67,Othman Boussaid,be BEL,"FW,MF",Utrecht,21,2000,13.8,15,8,6,9,0,9,20,45.0,11,11,0,11,21,36,11,0,Matches
67,68,Róbert Boženík,sk SVK,FW,Feyenoord,21,1999,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
68,69,Wout Brama,nl NED,MF,Twente,34,1986,7.1,8,3,3,4,1,4,12,33.3,8,11,4,7,7,15,15,0,Matches
69,70,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,15,1,Matches
70,71,Myron van Brederode,nl NED,FW,AZ Alkmaar,18,2003,0.1,2,1,0,0,2,0,0,,0,1,0,1,0,2,0,0,Matches
71,72,Michael Breij,nl NED,"MF,FW",Cambuur,24,1997,15.5,27,15,8,17,2,8,29,27.6,21,25,3,22,11,38,23,0,Matches
72,73,Joshua Brenet,nl NED,DF,Twente,27,1994,11.1,23,15,12,9,2,13,21,61.9,8,11,2,9,10,33,17,0,Matches
73,74,Brian Brobbey,nl NED,FW,Ajax,19,2002,4.4,8,7,0,2,6,3,5,60.0,2,6,0,6,2,10,1,0,Matches
74,75,Jorn Brondeel,be BEL,GK,Willem II,27,1993,1.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
75,76,Ilias Bronkhorst,nl NED,"DF,FW",NEC Nijmegen,24,1997,2.2,8,5,4,3,1,5,7,71.4,2,1,0,1,2,10,5,0,Matches
76,77,Luuk Brouwers,nl NED,MF,Go Ahead Eag,23,1998,31.9,54,28,22,25,7,16,50,32.0,34,47,16,31,33,87,51,0,Matches
77,78,Jordy Bruijn,nl NED,"MF,FW",NEC Nijmegen,25,1996,20.1,35,18,13,17,5,12,30,40.0,18,27,6,21,8,43,22,0,Matches
78,79,Bruma,pt POR,"FW,MF",PSV Eindhoven,26,1994,14.1,15,6,1,7,7,6,21,28.6,15,7,0,7,5,20,5,0,Matches
79,80,Max Bruns,nl NED,DF,Twente,18,2002,1.2,4,3,4,0,0,2,3,66.7,1,0,0,0,1,5,3,0,Matches
80,81,Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,3,2,Matches
81,82,Thomas Buitink,nl NED,"FW,MF",Vitesse,21,2000,12.8,19,16,5,9,5,6,28,21.4,22,10,0,10,7,26,8,0,Matches
82,83,Wouter Burger,nl NED,DF,Feyenoord,20,2001,0.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,1,Matches
83,84,Delano Burgzorg,nl NED,"FW,MF",Heracles Almelo,22,1998,12.8,18,15,4,8,6,10,19,52.6,9,9,1,8,6,24,4,0,Matches
84,85,Alexander Büttner,nl NED,"DF,MF",RKC Waalwijk,32,1989,20.9,51,31,23,18,10,21,38,55.3,17,16,1,15,36,87,21,1,Matches
85,86,Zico Buurmeester,nl NED,"MF,DF",AZ Alkmaar,19,2002,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
86,87,Marc Cardona,es ESP,FW,Go Ahead Eag,26,1995,8.8,12,7,4,1,7,4,15,26.7,11,4,1,3,4,16,7,0,Matches
87,88,João Carlos Teixeira,pt POR,MF,Feyenoord,28,1993,0.1,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches
88,89,Gabi Caschili,nl NED,MF,Zwolle,18,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
89,90,Joel Castro Pereira,pt POR,GK,RKC Waalwijk,25,1996,2.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
90,91,Václav Černý,cz CZE,FW,Twente,23,1997,6.0,12,6,4,5,3,5,21,23.8,16,8,0,8,5,17,2,0,Matches
91,92,Ibrahim Cissoko,nl NED,FW,NEC Nijmegen,18,2003,1.0,5,3,2,1,2,4,6,66.7,2,1,0,1,0,5,1,0,Matches
92,93,Jordy Clasie,nl NED,MF,AZ Alkmaar,30,1991,26.8,61,33,16,37,8,14,48,29.2,34,24,7,17,43,104,31,1,Matches
93,94,Pelle Clement,nl NED,"MF,FW",Zwolle,25,1996,15.2,23,12,4,13,6,9,29,31.0,20,22,3,19,10,33,18,0,Matches
94,95,Denilho Cleonise,nl NED,"FW,MF",Twente,19,2001,2.1,0,0,0,0,0,0,1,0.0,1,1,0,1,4,4,2,0,Matches
95,96,Iñigo Córdoba,es ESP,"FW,MF",Go Ahead Eag,24,1997,25.7,57,32,26,20,11,28,71,39.4,43,44,0,44,20,77,7,0,Matches
96,97,Tim Coremans,nl NED,GK,Sparta R'dam,30,1991,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
97,98,Enzo Cornelisse,nl NED,DF,Vitesse,18,2003,9.3,20,12,15,5,0,9,16,56.3,7,8,1,7,12,32,28,0,Matches
98,99,George Cox,eng ENG,DF,Fortuna Sittard,23,1998,24.4,57,38,27,25,5,26,48,54.2,22,39,14,25,40,97,72,0,Matches
99,100,Vito van Crooy,nl NED,"FW,MF",Sparta R'dam,25,1996,24.2,,21,,,,,,,,,,,13,,,,Matches
100,101,Daniel Crowley,eng ENG,MF,Willem II,23,1997,9.5,11,6,3,6,2,7,18,38.9,11,9,0,9,4,15,5,0,Matches
101,102,Adrián Dalmau,es ESP,FW,Sparta R'dam,27,1994,6.5,1,1,0,1,0,1,7,14.3,6,7,1,6,1,2,3,0,Matches
102,103,Adrián Dalmau,es ESP,FW,Utrecht,27,1994,2.7,2,0,0,1,1,1,3,33.3,2,1,0,1,0,2,1,0,Matches
103,104,Wessel Dammers,nl NED,"DF,MF",Groningen,26,1995,13.3,19,11,13,6,0,8,15,53.3,7,26,14,12,24,43,67,1,Matches
104,105,Wessel Dammers,nl NED,DF,Willem II,26,1995,13.9,20,13,14,6,0,13,17,76.5,4,18,14,4,20,40,70,1,Matches
105,106,Lennerd Daneels,be BEL,"FW,MF",RKC Waalwijk,23,1998,6.3,7,2,1,3,3,2,5,40.0,3,6,0,6,4,11,8,0,Matches
106,107,Danilo,br BRA,"FW,MF",Ajax,22,1999,3.1,1,1,0,1,0,1,2,50.0,1,6,1,5,2,3,4,0,Matches
107,108,Damil Dankerlui,sr SUR,"DF,MF",Groningen,24,1996,16.6,46,30,29,14,3,28,60,46.7,32,21,2,19,25,71,38,4,Matches
108,109,Mohammed Daramy,dk DEN,"FW,MF",Ajax,19,2002,2.3,2,1,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,Matches
109,110,Oussama Darfalou,dz ALG,FW,Vitesse,27,1993,6.0,6,1,1,3,2,0,7,0.0,7,1,0,1,2,8,7,0,Matches
110,111,Oussama Darfalou,dz ALG,FW,Zwolle,27,1993,9.7,8,0,0,5,3,2,4,50.0,2,8,3,5,0,8,11,0,Matches
111,112,Eli Dasa,il ISR,"DF,MF",Vitesse,28,1992,29.1,32,19,10,18,4,11,27,40.7,16,21,4,17,27,59,30,2,Matches
112,113,Jeffrey De Lange,nl NED,GK,Twente,23,1998,2.0,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0,Matches
