,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
329,330,Ricardo Matos,pt POR,"FW,MF",Portimonense,21,2000,2.5,6,2.44,4,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
330,331,Emmanuel Maviram,ng NGA,DF,FC Vizela,20,2001,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
331,332,Chancel Mbemba,cd COD,DF,Porto,26,1994,30.9,29,0.94,25,0,1,1,0,2,0,0.00,0,0,0,0,0,0,Matches
332,333,Jordi Mboula,es ESP,"FW,MF",Estoril,22,1999,10.7,28,2.61,19,0,3,3,1,2,2,0.19,2,0,0,0,0,0,Matches
333,334,Iuri Medeiros,pt POR,"MF,FW",Braga,27,1994,15.8,73,4.63,39,20,7,6,1,0,11,0.70,6,1,2,2,0,0,Matches
334,335,Soualiho Meïté,fr FRA,MF,Benfica,27,1994,9.8,23,2.34,19,0,1,3,0,0,2,0.20,2,0,0,0,0,0,Matches
335,336,Francisco Meixedo,pt POR,GK,Porto,20,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
336,337,Tiago Melo Almeida,pt POR,"DF,MF",Tondela,19,2001,20.6,30,1.46,25,1,1,1,1,1,5,0.24,4,0,0,1,0,0,Matches
337,338,Diogo Mendes,pt POR,MF,Marítimo,23,1998,20.4,21,1.03,16,0,0,1,2,2,1,0.05,1,0,0,0,0,0,Matches
338,339,Edmilson Mendes,gw GNB,"FW,MF",Paços,18,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
339,340,Nuno Mendes,pt POR,DF,Sporting CP,19,2002,1.3,5,3.98,3,1,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
340,341,Alexis Méndez,us USA,"MF,FW",FC Vizela,20,2000,16.1,41,2.54,27,8,1,2,2,1,2,0.12,0,0,1,0,1,0,Matches
341,342,Ryotaro Meshino,jp JPN,"FW,MF",Estoril,23,1998,1.3,3,2.35,0,0,1,1,1,0,1,0.78,0,0,1,0,0,0,Matches
342,343,Fabrício dos Santos Messias,br BRA,"FW,MF",Portimonense,31,1990,14.8,26,1.76,17,0,2,5,1,1,1,0.07,0,0,0,1,0,0,Matches
343,344,João Miguel,pt POR,DF,Porto,21,2000,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
344,345,Milson,ao ANG,MF,Marítimo,21,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
345,346,Lucas Mineiro,br BRA,MF,Braga,25,1996,6.2,9,1.45,8,0,0,1,0,0,1,0.16,1,0,0,0,0,0,Matches
346,347,Kevin Mirallas,be BEL,"FW,MF",Moreirense,33,1987,3.3,11,3.37,10,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
347,348,Mohammad Mohebbi,ir IRN,"FW,MF",Santa Clara,22,1998,5.0,10,2.01,3,0,1,3,2,1,0,0.00,0,0,0,0,0,0,Matches
348,349,João Monteiro,pt POR,MF,B-SAD,20,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
349,350,António Montez,pt POR,MF,B-SAD,19,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
350,351,Morato,br BRA,DF,Benfica,20,2001,11.2,14,1.25,13,0,0,0,0,1,2,0.18,2,0,0,0,0,0,Matches
351,352,Diego Moreira,pt POR,FW,Benfica,16,2004,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
352,353,Pedro Filipe Barbosa Moreira,pt POR,MF,Gil Vicente FC,28,1992,32.0,126,3.93,83,29,2,4,4,4,19,0.59,16,3,0,0,0,0,Matches
353,354,Hidemasa Morita,jp JPN,MF,Santa Clara,26,1995,25.3,46,1.82,41,1,1,0,1,2,0,0.00,0,0,0,0,0,0,Matches
354,355,Mosquito,br BRA,GK,Estoril,25,1996,10.0,2,0.20,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
355,356,Luís Mota,pt POR,"FW,MF",B-SAD,17,2003,1.2,2,1.61,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
