,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
40,41,César Araujo,uy URU,MF,Orlando City,20,2001,27.3,8,1,0,43,69,0,5,31,41,0,0,0,195,15,11,57.7,Matches
41,42,Julian Araujo,mx MEX,DF,LA Galaxy,20,2001,30.5,6,0,0,40,20,0,95,45,46,0,2,0,172,29,26,52.7,Matches
42,43,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,25,1996,24.3,7,0,0,33,63,4,93,12,27,0,0,0,104,6,10,37.5,Matches
43,44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,15.7,1,0,0,16,24,6,7,1,6,0,0,0,33,44,58,43.1,Matches
44,45,Adam Armour,us USA,MF,Charlotte,19,2002,0.9,1,0,0,1,1,0,2,2,0,0,0,0,8,6,2,75.0,Matches
45,46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,24.1,4,0,0,18,9,1,0,45,18,0,1,0,124,30,29,50.8,Matches
46,47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,21.0,8,0,0,26,35,3,3,19,19,0,0,0,174,52,33,61.2,Matches
47,48,Paul Arriola,us USA,FW,FC Dallas,26,1995,28.5,4,1,0,34,26,16,87,11,23,1,0,0,78,19,16,54.3,Matches
48,49,Artur,br BRA,MF,Columbus Crew,25,1996,18.2,7,0,0,30,17,2,3,20,26,0,0,0,124,11,13,45.8,Matches
49,50,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,29,1992,20.5,8,0,0,46,41,12,33,13,15,0,0,0,92,47,59,44.3,Matches
50,51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,0.5,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,50.0,Matches
51,52,Joshua Atencio,us USA,MF,Seattle,20,2002,8.1,2,0,0,9,4,0,4,12,10,0,0,0,60,11,10,52.4,Matches
52,53,Roberto Avila,us USA,"FW,MF",Houston Dynamo,21,2000,1.8,3,0,0,6,7,1,1,1,2,0,0,0,9,2,8,20.0,Matches
53,54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,8.2,3,0,0,14,10,0,3,15,12,0,0,0,42,7,10,41.2,Matches
54,55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,0.2,1,0,0,3,0,0,1,0,0,0,0,0,1,0,0,,Matches
55,56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,12.2,3,0,0,21,15,5,9,9,8,0,1,0,42,21,31,40.4,Matches
56,57,Zico Bailey,us USA,"DF,MF",FC Cincinnati,21,2000,0.9,0,0,0,0,0,0,0,3,2,0,0,0,4,0,0,,Matches
57,58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,14.9,1,0,0,10,14,5,20,7,8,0,0,0,55,7,14,33.3,Matches
58,59,Esmir Bajraktarevic,,"MF,FW",New England,,,1.4,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,,Matches
59,60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,1.1,0,0,0,0,0,0,1,0,1,0,0,0,4,0,3,0.0,Matches
60,61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,5.1,2,0,0,15,4,0,1,2,8,0,0,0,39,3,6,33.3,Matches
61,62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,3.9,0,0,0,0,6,1,7,2,2,0,0,0,16,9,9,50.0,Matches
62,63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,12.2,2,0,0,34,5,6,8,0,5,0,0,0,36,49,66,42.6,Matches
63,64,Álvaro Barreal,ar ARG,"DF,MF",FC Cincinnati,21,2000,24.4,5,0,0,28,32,2,133,20,25,1,0,0,145,14,27,34.1,Matches
64,65,Michael Barrios,co COL,"FW,MF",Colorado Rapids,30,1991,21.2,5,0,0,20,21,4,114,7,10,1,0,0,66,7,12,36.8,Matches
65,66,Ethan Bartlow,us USA,"DF,MF",Houston Dynamo,21,2000,10.1,2,0,0,5,2,0,0,7,4,0,1,0,26,10,7,58.8,Matches
66,67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,2.1,1,0,0,4,0,2,7,2,0,0,0,0,13,5,6,45.5,Matches
67,68,Tanner Beason,us USA,DF,San Jose,24,1997,24.9,2,0,0,6,28,1,4,45,17,0,0,0,112,42,32,56.8,Matches
68,69,Simon Becher,us USA,FW,Vancouver,22,1999,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
69,70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,26.9,8,0,0,45,8,5,39,34,21,0,0,0,136,67,76,46.9,Matches
70,71,Steven Beitashour,ir IRN,"DF,MF",Colorado Rapids,34,1987,14.6,3,0,0,14,20,0,17,16,9,0,0,0,69,9,7,56.3,Matches
71,72,Jon Bell,us USA,DF,New England,24,1997,11.7,0,0,0,10,6,0,6,19,8,0,0,0,46,24,22,52.2,Matches
72,73,Ben Bender,us USA,MF,Charlotte,20,2001,18.3,1,0,0,24,13,1,32,10,14,0,0,0,92,12,23,34.3,Matches
73,74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,6.3,2,0,0,7,0,2,29,4,6,0,0,0,29,2,2,50.0,Matches
74,75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,0.1,0,0,0,1,0,0,0,0,0,,,0,,,,,Matches
75,76,Christian Benteke,be BEL,FW,D.C. United,31,1990,6.2,2,0,0,17,4,0,1,1,0,0,0,0,10,33,21,61.1,Matches
76,77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,11.4,5,0,0,19,15,0,29,24,20,0,0,0,93,5,10,33.3,Matches
77,78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,12.2,5,0,0,12,20,1,65,0,6,1,0,0,38,3,6,33.3,Matches
78,79,Miguel Berry,es ESP,"FW,MF",D.C. United,24,1997,7.9,0,0,0,12,8,2,3,0,1,0,0,0,13,5,23,17.9,Matches
79,80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,10.8,0,0,0,13,15,7,2,2,3,0,0,0,19,27,59,31.4,Matches
80,81,Matt Bersano,us USA,GK,San Jose,29,1992,1.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
81,82,Nick Besler,us USA,"MF,DF",Real Salt Lake,28,1993,2.8,2,0,0,6,1,0,1,3,6,0,0,0,9,5,0,100.0,Matches
82,83,Victor Bezerra,us USA,"FW,DF",Chicago Fire,21,2000,0.5,1,0,0,1,2,1,0,0,0,0,0,0,1,1,3,25.0,Matches
