,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
42,43,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,143,1,14,81,49,6,143,4,7,57.1,5,2,95,7,Matches
43,44,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,971,32,328,496,159,12,971,8,13,61.5,25,9,556,18,Matches
44,45,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,474,18,39,246,193,52,473,9,18,50.0,39,6,324,75,Matches
45,46,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,1896,87,545,951,437,39,1896,51,83,61.4,33,29,1040,59,Matches
46,47,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,1456,5,117,793,573,55,1456,34,72,47.2,92,73,1127,129,Matches
47,48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,171,2,16,67,94,5,171,7,14,50.0,13,12,121,16,Matches
48,49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,66,2,4,27,37,2,66,4,5,80.0,1,5,53,4,Matches
49,50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,1093,77,388,501,221,20,1093,7,12,58.3,25,7,535,34,Matches
50,51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,140,115,140,0,0,0,140,0,0,,0,0,62,0,Matches
51,52,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,25,19,25,0,0,0,25,0,0,,0,0,12,0,Matches
52,53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,520,11,62,183,282,40,519,16,37,43.2,14,6,361,60,Matches
53,54,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,389,6,41,148,208,25,389,11,24,45.8,30,12,294,55,Matches
54,55,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,2209,72,525,1102,620,28,2209,49,85,57.6,53,25,1369,93,Matches
55,56,Pedro Aquino,pe PER,MF,América,26,1995,15.4,916,29,205,633,96,14,916,9,19,47.4,13,10,514,12,Matches
56,57,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,268,5,29,157,87,9,268,8,14,57.1,14,14,191,23,Matches
57,58,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,1126,25,209,434,511,93,1126,58,143,40.6,91,38,659,118,Matches
58,59,Fernando Arce Jr.,us USA,MF,FC Juárez,24,1996,12.7,624,34,189,389,53,10,624,7,10,70.0,11,7,387,10,Matches
59,60,Fernando Arce Jr.,us USA,"FW,MF",Necaxa,24,1996,0.2,10,2,6,4,0,0,10,0,0,,0,0,5,0,Matches
60,61,Sagir Arce,us USA,"FW,MF",Mazatlán,19,2002,3.6,111,1,13,59,41,8,111,5,8,62.5,7,5,76,9,Matches
61,62,Fernando Aristeguieta,ve VEN,FW,Puebla,29,1992,16.9,626,27,54,274,301,96,625,11,23,47.8,56,30,492,71,Matches
62,63,Blas Armoa,py PAR,"FW,MF",FC Juárez,21,2000,1.5,46,1,11,9,26,4,46,1,6,16.7,4,0,29,3,Matches
63,64,Alejandro Arribas,es ESP,DF,FC Juárez,32,1989,13.9,824,100,461,355,18,10,824,2,2,100.0,8,3,483,1,Matches
64,65,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,339,1,32,165,150,18,338,19,23,82.6,17,15,246,30,Matches
65,66,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,93,5,33,48,14,1,93,2,4,50.0,2,2,41,1,Matches
66,67,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,72,1,10,29,34,5,72,1,2,50.0,6,2,39,6,Matches
67,68,David Ayala,mx MEX,MF,UANL,21,2000,2.7,186,5,39,122,26,0,186,2,3,66.7,1,1,125,3,Matches
68,69,Hugo Ayala,mx MEX,DF,UANL,34,1987,13.0,648,67,376,269,6,3,648,1,1,100.0,1,0,402,1,Matches
69,70,Ettson Ayon,mx MEX,FW,Tijuana,20,2001,0.3,11,0,1,5,6,1,11,0,2,0.0,2,0,7,3,Matches
70,71,Rafael Baca,mx MEX,MF,Cruz Azul,31,1989,26.0,1310,47,262,892,169,7,1310,4,10,40.0,20,14,835,17,Matches
71,72,Claudio Baeza,cl CHI,MF,Toluca,27,1993,30.4,1855,75,467,1245,162,7,1855,24,38,63.2,29,13,1224,14,Matches
72,73,Kevin Balanta,co COL,"MF,DF",Querétaro,24,1997,20.6,1077,78,409,629,52,6,1077,6,14,42.9,17,13,633,3,Matches
73,74,Miguel Barbieri,ar ARG,DF,Toluca,27,1993,6.5,341,48,194,145,5,5,341,0,0,,4,0,176,1,Matches
74,75,David Barbona,ar ARG,"FW,MF",Tijuana,26,1995,11.9,644,7,58,273,322,32,643,25,38,65.8,27,13,439,74,Matches
75,76,Diego Barbosa,mx MEX,DF,Atlas,24,1996,22.1,1151,36,275,499,403,36,1151,24,45,53.3,34,15,509,64,Matches
76,77,Adam Bareiro,py PAR,FW,Atlético,25,1996,6.8,232,7,13,94,127,36,230,6,9,66.7,26,7,169,49,Matches
77,78,Sergio Bareiro,py PAR,FW,Necaxa,22,1998,2.5,118,8,14,60,46,9,118,2,4,50.0,11,3,82,12,Matches
78,79,Marcelo Barovero,ar ARG,GK,Atlético,37,1984,30.0,960,837,956,4,0,0,960,0,0,,1,0,272,0,Matches
79,80,Martín Barragán,mx MEX,"MF,DF",Puebla,30,1991,3.0,147,2,14,83,53,14,147,3,6,50.0,8,4,101,14,Matches
80,81,Jaine Barreiro,co COL,DF,León,27,1994,27.0,1666,173,836,777,74,28,1666,11,16,68.8,18,5,1121,10,Matches
81,82,Pablo Barrera,mx MEX,"MF,FW",Querétaro,34,1987,29.2,1314,17,186,588,573,33,1314,32,84,38.1,61,35,862,92,Matches
82,83,Damián Batallini,ar ARG,FW,Atlético,25,1996,2.2,89,0,3,53,34,2,89,2,4,50.0,6,6,58,12,Matches
83,84,Facundo Batista,uy URU,"FW,MF",Necaxa,22,1999,3.9,107,9,12,34,61,12,107,2,6,33.3,11,2,69,15,Matches
84,85,Cristian Battocchio,it ITA,MF,UNAM,29,1992,7.8,393,7,55,231,109,7,393,4,6,66.7,6,3,273,17,Matches
85,86,Eduard Bello,ve VEN,"MF,FW",Mazatlán,25,1995,5.4,157,4,22,66,69,14,157,1,3,33.3,9,9,97,15,Matches
86,87,Fernando Beltrán,mx MEX,MF,Guadalajara,23,1998,16.9,1087,16,170,684,255,15,1087,41,54,75.9,29,24,785,32,Matches
87,88,Nicolás Benedetti,co COL,"MF,FW",América,24,1997,2.7,130,1,12,74,48,2,130,7,13,53.8,6,3,92,16,Matches
88,89,Nicolás Benedetti,co COL,"FW,MF",Mazatlán,24,1997,14.4,647,6,63,339,260,36,647,32,67,47.8,40,22,459,51,Matches
89,90,Pablo Bennevendo Peña,mx MEX,DF,UNAM,21,2000,2.0,113,1,30,65,18,1,113,5,10,50.0,1,2,38,3,Matches
90,91,Germán Berterame,ar ARG,FW,Atlético,22,1998,31.7,1097,39,96,478,538,128,1091,27,70,38.6,103,33,740,163,Matches
91,92,Unai Bilbao,es ESP,DF,Atlético,27,1994,32.6,1630,306,979,623,41,28,1629,5,5,100.0,9,1,873,3,Matches
92,93,Alfonso Blanco Antúnez,mx MEX,GK,León,34,1987,1.0,40,37,40,0,0,0,40,0,0,,0,0,22,0,Matches
93,94,Antonio Briseño,mx MEX,DF,Guadalajara,27,1994,17.3,1036,117,548,457,33,20,1036,1,2,50.0,5,2,611,1,Matches
94,95,Isaác Brizuela,mx MEX,"DF,FW",Guadalajara,30,1990,21.2,1133,27,201,555,396,15,1133,46,71,64.8,50,18,760,69,Matches
95,96,Gil Burón,mx MEX,"DF,MF",León,27,1994,0.5,36,4,15,12,9,0,36,0,0,,1,2,22,0,Matches
96,97,Gustavo Cabral,ar ARG,DF,Pachuca,35,1985,29.6,1432,152,695,704,42,26,1432,3,6,50.0,18,6,684,5,Matches
97,98,David Cabrera Pujol,mx MEX,MF,Querétaro,31,1989,8.4,649,22,132,398,122,1,649,1,3,33.3,3,6,407,8,Matches
98,99,Sebastián Cáceres,uy URU,DF,América,21,1999,17.5,856,82,515,319,30,14,856,7,9,77.8,10,1,508,2,Matches
99,100,José Caicedo,co COL,DF,UNAM,19,2002,1.0,48,7,26,18,4,4,48,0,0,,0,0,31,0,Matches
100,101,Cristian Calderón,mx MEX,"DF,FW",Guadalajara,24,1997,12.8,660,30,126,289,255,37,660,11,27,40.7,42,22,418,68,Matches
101,102,Luis Calzadilla,mx MEX,"MF,FW",Atlético,21,2000,1.0,47,1,7,10,30,2,47,1,1,100.0,4,2,25,7,Matches
102,103,Joel Campbell,cr CRC,"FW,MF",Monterrey,29,1992,17.0,855,6,63,391,413,50,854,34,60,56.7,53,49,654,82,Matches
103,104,Karel Campos,mx MEX,"MF,DF",América,18,2003,0.4,26,0,2,14,10,0,26,0,0,,1,1,19,1,Matches
104,105,Omar Campos,mx MEX,DF,Santos,19,2002,23.3,1204,56,357,507,360,29,1204,30,70,42.9,37,16,590,45,Matches
105,106,Alexis Canelo,ar ARG,"FW,MF",Toluca,29,1992,22.8,852,22,74,404,382,104,850,16,51,31.4,58,22,655,133,Matches
106,107,Luis Cárdenas,mx MEX,GK,Monterrey,27,1993,3.0,97,76,93,4,0,0,97,0,0,,0,0,31,0,Matches
107,108,Ulises Cardona,mx MEX,"FW,MF",Mazatlán,22,1998,0.2,9,0,2,5,3,0,9,2,2,100.0,2,0,6,1,Matches
108,109,Rafael Carioca,br BRA,MF,UANL,32,1989,27.7,1763,38,297,1201,290,3,1763,31,39,79.5,32,23,1228,28,Matches
109,110,Miguel Carreón,mx MEX,FW,UNAM,17,2004,0.1,6,0,1,2,3,0,6,0,0,,1,0,2,1,Matches
110,111,Jordan Carrillo,mx MEX,"FW,MF",Santos,19,2001,10.2,471,2,50,243,191,20,471,33,63,52.4,42,27,331,36,Matches
111,112,Kevin Castañeda,mx MEX,"MF,FW",Toluca,21,1999,17.7,1033,4,106,602,339,25,1033,15,22,68.2,21,21,777,69,Matches
112,113,César Castillo,mx MEX,MF,Tijuana,20,2000,0.5,28,1,3,19,7,1,28,1,1,100.0,2,0,19,1,Matches
113,114,Christian Castillo,cl CHI,"FW,MF",Tijuana,24,1996,1.8,91,0,9,44,38,7,91,2,3,66.7,4,0,67,8,Matches
