,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
507,508,Valentin Rongier,fr FRA,"MF,DF",Marseille,26,1994,24.4,3,0,0,34,28,0,7,33,51,0,1,0,152,19,27,41.3,Matches
508,509,Pablo Rosario,nl NED,MF,Nice,24,1997,30.3,7,0,0,36,22,2,15,38,37,0,0,0,175,43,31,58.1,Matches
509,510,Roli Pereira de Sa,fr FRA,MF,Nantes,24,1996,6.4,1,0,0,8,5,1,6,6,4,0,0,0,47,6,5,54.5,Matches
510,511,Mathys Saban,fr FRA,"FW,MF",Saint-Étienne,19,2002,0.8,1,0,0,2,0,0,2,0,2,0,0,0,1,0,3,0.0,Matches
511,512,Falaye Sacko,ml MLI,DF,Saint-Étienne,26,1995,7.4,0,0,0,9,2,0,8,4,10,0,0,0,53,6,2,75.0,Matches
512,513,Rafiki Said Ahamada,fr FRA,"MF,FW",Brest,21,2000,1.4,1,0,0,6,3,1,5,0,3,0,0,0,14,4,0,100.0,Matches
513,514,Wesley Saïd,fr FRA,"FW,MF",Lens,26,1995,7.3,2,0,0,17,6,3,10,2,5,1,0,0,17,6,7,46.2,Matches
514,515,Mamadou Sakho,fr FRA,DF,Montpellier,31,1990,28.6,3,0,0,8,9,0,0,41,22,0,1,0,183,47,31,60.3,Matches
515,516,Bakary Sako,ml MLI,"FW,MF",Saint-Étienne,33,1988,1.7,0,0,0,3,2,1,4,0,0,0,0,0,3,4,6,40.0,Matches
516,517,William Saliba,fr FRA,DF,Marseille,20,2001,36.0,5,0,0,17,11,1,4,48,32,0,0,0,260,46,29,61.3,Matches
517,518,Romain Salin,fr FRA,GK,Rennes,37,1984,1.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches
518,519,Yoann Salmier,gf GUF,DF,Troyes,28,1992,29.6,5,0,0,33,28,1,11,40,33,0,3,1,183,46,25,64.8,Matches
519,520,Mama Samba Baldé,gw GNB,"MF,FW",Troyes,25,1995,19.1,1,1,0,41,26,4,16,5,28,1,1,0,75,25,40,38.5,Matches
520,521,Junior Sambia,fr FRA,"DF,FW",Montpellier,24,1996,17.0,5,1,1,18,26,0,50,21,13,0,0,0,86,25,19,56.8,Matches
521,522,Renato Sanches,pt POR,"MF,FW",Lille,23,1997,18.3,8,1,1,29,27,1,65,14,7,0,0,0,124,11,11,50.0,Matches
522,523,Philippe Sandler,nl NED,DF,Troyes,24,1997,0.8,0,0,0,0,0,0,0,3,0,0,0,0,2,3,0,100.0,Matches
523,524,Baptiste Santamaria,fr FRA,"MF,DF",Rennes,26,1995,28.0,7,0,0,35,21,0,15,32,27,0,1,0,156,74,41,64.3,Matches
524,525,Pablo Sarabia,es ESP,FW,Paris S-G,29,1992,0.2,1,0,0,1,1,0,2,0,0,0,0,0,0,0,0,,Matches
525,526,Martin Satriano,uy URU,FW,Brest,20,2001,10.4,5,0,0,14,13,2,5,2,2,0,0,0,28,14,43,24.6,Matches
526,527,Téji Savanier,fr FRA,MF,Montpellier,29,1991,26.8,9,2,1,45,77,2,199,25,27,0,0,0,149,13,23,36.1,Matches
527,528,Morgan Schneiderlin,fr FRA,MF,Nice,31,1989,7.2,1,1,0,15,4,0,1,20,12,0,0,0,56,12,8,60.0,Matches
528,529,Alidu Seidu,gh GHA,DF,Clermont Foot,21,2000,15.7,7,2,1,18,28,1,3,34,20,0,0,0,131,16,14,53.3,Matches
529,530,Matz Sels,be BEL,GK,Strasbourg,29,1992,37.0,1,0,0,1,3,0,0,1,1,0,0,0,44,11,0,100.0,Matches
530,531,Xherdan Shaqiri,ch SUI,"FW,MF",Lyon,29,1991,7.5,0,0,0,8,2,3,38,2,3,0,0,0,34,1,0,100.0,Matches
531,532,Mahame Siby,ml MLI,DF,Strasbourg,25,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,100.0,Matches
532,533,Aboubakar Sidibé,fr FRA,DF,Clermont Foot,25,1996,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
533,534,Djibril Sidibé,fr FRA,DF,Monaco,29,1992,10.5,6,0,0,17,9,0,23,16,13,0,1,0,52,14,4,77.8,Matches
534,535,Kaj Sierhuis,nl NED,FW,Reims,23,1998,0.9,0,0,0,0,0,0,0,0,1,0,0,0,4,1,3,25.0,Matches
535,536,Caio Henrique Oliveira Silva,br BRA,DF,Monaco,24,1997,29.6,5,0,0,19,22,2,127,27,30,1,0,0,205,13,27,32.5,Matches
536,537,Gabriel Silva,br BRA,"DF,MF",Saint-Étienne,30,1991,7.9,1,0,0,9,16,0,7,17,7,0,0,0,25,6,15,28.6,Matches
537,538,Moses Simon,ng NGA,"FW,MF",Nantes,26,1995,25.9,3,0,0,14,26,4,207,12,11,0,0,0,119,15,22,40.5,Matches
