,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
611,612,Victor Pálsson,is ISL,"MF,DF",D.C. United,30,1991,10,872,87,28.5,9.7,10,87,8,0,,0,0.50,6,18,-12,-1.24,-0.29,8.8,15.4,-6.5,-0.67,-0.09,Matches
612,613,Elliot Panicco,us USA,GK,Nashville,25,1996,2,180,90,5.9,2.0,2,90,2,0,,19,2.00,5,3,+2,+1.00,+0.72,2.9,2.8,+0.2,+0.08,-0.17,Matches
613,614,James Pantemis,ca CAN,GK,CF Montréal,24,1997,11,990,90,32.4,11.0,11,90,11,0,,22,2.08,22,12,+10,+0.91,+0.78,21.2,8.7,+12.5,+1.14,+0.89,Matches
614,615,Cristhian Paredes,py PAR,MF,Portland Timbers,23,1998,27,1663,62,54.3,18.5,20,78,10,7,16,1,1.44,29,25,+4,+0.22,+0.47,26.6,27.2,-0.7,-0.04,+0.02,Matches
615,616,Isaiah Parente,us USA,MF,Columbus Crew,21,2000,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
616,617,Isaiah Parker,us USA,FW,FC Dallas,19,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
617,618,Tim Parker,us USA,DF,Houston Dynamo,28,1993,28,2252,80,73.6,25.0,26,86,23,2,12,4,1.07,26,40,-14,-0.56,-0.67,30.1,41.6,-11.5,-0.46,-0.30,Matches
618,619,Keaton Parks,us USA,MF,NYCFC,24,1997,18,1025,57,33.5,11.4,12,75,4,6,21,1,2.00,26,10,+16,+1.40,+1.40,25.4,11.8,+13.7,+1.20,+0.90,Matches
619,620,Tyler Pasher,ca CAN,"FW,MF",Houston Dynamo,27,1994,17,628,37,20.5,7.0,5,68,0,12,24,5,1.18,11,9,+2,+0.29,+0.84,8.6,8.6,-0.1,-0.01,+0.46,Matches
620,621,Tyler Pasher,ca CAN,"DF,FW",NY Red Bulls,27,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
621,622,Alexandre Pato,br BRA,"FW,MF",Orlando City,32,1989,22,1196,54,39.1,13.3,14,75,7,8,18,3,1.18,16,23,-7,-0.53,-0.43,16.8,17.5,-0.7,-0.05,+0.30,Matches
622,623,João Paulo Mior,br BRA,MF,Seattle,30,1991,6,453,76,14.8,5.0,6,76,3,0,,0,1.17,9,7,+2,+0.40,+0.43,8.2,9.0,-0.8,-0.15,-0.02,Matches
623,624,Adam Pearlman,us USA,DF,Toronto FC,16,2005,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
624,625,Matías Pellegrini,ar ARG,"DF,FW",NYCFC,21,2000,4,63,16,2.1,0.7,0,,0,4,16,4,1.50,0,1,-1,-1.43,-1.94,1.1,0.2,+0.8,+1.21,+0.62,Matches
625,626,Jason Pendant,fr FRA,"DF,MF",NY Red Bulls,24,1997,5,79,16,2.6,0.9,0,,0,5,16,2,1.60,2,3,-1,-1.14,-1.44,1.1,2.5,-1.5,-1.68,-1.92,Matches
626,627,Andrés Perea,us USA,"MF,FW",Orlando City,21,2000,24,813,34,26.6,9.0,7,75,3,17,17,8,1.63,7,19,-12,-1.33,-1.45,9.0,16.8,-7.8,-0.87,-0.86,Matches
627,628,Daniel Pereira,ve VEN,MF,Austin,21,2000,30,2087,70,68.2,23.2,26,75,10,4,36,1,1.58,46,36,+10,+0.43,-0.12,35.4,36.7,-1.2,-0.05,-0.01,Matches
628,629,Gabriel Pereira,br BRA,FW,NYCFC,20,2001,26,1345,52,44.0,14.9,14,73,3,12,27,3,1.62,32,21,+11,+0.74,+0.47,25.1,16.8,+8.3,+0.56,-0.08,Matches
629,630,Mauricio Pereyra,uy URU,MF,Orlando City,31,1990,32,2531,79,82.7,28.1,31,81,8,1,35,0,1.36,34,43,-9,-0.32,-0.32,34.2,38.6,-4.4,-0.16,+0.46,Matches
630,631,Adrien Perez,us USA,MF,D.C. United,26,1995,3,133,44,4.3,1.5,1,73,0,2,30,0,2.00,1,1,0,0.00,+1.08,2.1,3.0,-0.9,-0.64,-0.03,Matches
631,632,Jonathan Perez,mx MEX,DF,LA Galaxy,19,2003,1,8,8,0.3,0.1,0,,0,1,8,14,0.00,0,0,0,0.00,-0.21,0.0,0.0,0.0,0.00,-0.33,Matches
632,633,Jordan Perruzza,ca CAN,"FW,MF",Toronto FC,21,2001,13,232,18,7.6,2.6,1,57,0,12,15,9,0.85,3,2,+1,+0.39,+0.96,3.2,6.5,-3.3,-1.29,-0.87,Matches
633,634,Luca Petrasso,ca CAN,"DF,MF",Toronto FC,21,2000,23,1679,73,54.9,18.7,21,78,12,2,17,11,0.91,20,39,-19,-1.02,-1.15,19.0,37.5,-18.5,-0.99,-1.13,Matches
634,635,Đorđe Petrović,rs SRB,GK,New England,22,1999,21,1890,90,61.8,21.0,21,90,21,0,,5,1.24,25,27,-2,-0.10,-0.02,,,,,,Matches
635,636,Fafà Picault,us USA,FW,Houston Dynamo,30,1991,30,2357,79,77.0,26.2,26,87,17,4,23,0,1.00,36,45,-9,-0.34,+0.17,35.1,43.7,-8.6,-0.33,+0.21,Matches
636,637,Kayden Pierre,us USA,DF,Sporting KC,18,2003,19,953,50,31.1,10.6,9,89,8,10,16,9,0.95,12,17,-5,-0.47,-0.17,11.3,14.6,-3.3,-0.31,-0.13,Matches
637,638,Samuel Piette,ca CAN,MF,CF Montréal,27,1994,26,1490,57,48.7,16.6,16,77,7,10,25,0,1.96,31,19,+12,+0.72,+0.67,29.3,14.9,+14.4,+0.87,+0.65,Matches
638,639,Mauricio Pineda,us USA,"MF,DF",Chicago Fire,24,1997,27,1998,74,65.3,22.2,23,83,16,4,24,2,1.33,25,31,-6,-0.27,-0.02,27.6,32.6,-5.0,-0.22,-0.65,Matches
639,640,Donovan Pines,us USA,DF,D.C. United,23,1998,21,1447,69,47.3,16.1,16,84,13,5,19,12,0.90,21,30,-9,-0.56,+0.89,17.3,24.9,-7.6,-0.47,+0.25,Matches
640,641,Matt Polster,us USA,MF,New England,28,1993,28,2116,76,69.2,23.5,24,84,20,4,26,0,1.07,32,37,-5,-0.21,-0.40,29.8,37.8,-8.0,-0.34,-0.25,Matches
641,642,Paxton Pomykal,us USA,MF,FC Dallas,22,1999,33,2432,74,79.5,27.0,30,79,9,3,22,0,1.51,32,27,+5,+0.19,-0.67,30.8,31.2,-0.4,-0.01,+0.09,Matches
642,643,Alvas Powell,jm JAM,DF,FC Cincinnati,27,1994,28,1930,69,63.1,21.4,24,75,8,4,31,2,1.47,47,37,+10,+0.47,+0.63,37.1,29.3,+7.8,+0.36,+0.40,Matches
643,644,Alejandro Pozuelo,es ESP,"MF,FW",Toronto FC,30,1991,16,1404,88,45.9,15.6,16,88,14,0,,0,1.06,22,31,-9,-0.58,-0.14,18.3,28.8,-10.5,-0.67,-0.35,Matches
644,645,Alejandro Pozuelo,es ESP,"MF,FW",Inter Miami,30,1991,12,968,81,31.6,10.8,12,81,4,0,,0,1.77,21,17,+4,+0.37,+0.93,14.2,14.3,-0.1,-0.01,+0.26,Matches
645,646,Jack Price,eng ENG,MF,Colorado Rapids,29,1992,17,1110,65,36.3,12.3,14,74,5,3,26,0,1.47,16,21,-5,-0.41,-0.13,18.1,16.1,+2.0,+0.16,+0.32,Matches
646,647,Ralph Priso-Mbongue,ca CAN,MF,Toronto FC,19,2002,10,278,28,9.1,3.1,4,39,0,6,20,4,0.70,2,7,-5,-1.62,-1.23,4.2,7.7,-3.5,-1.14,-0.72,Matches
647,648,Ralph Priso-Mbongue,ca CAN,MF,Colorado Rapids,19,2002,6,190,32,6.2,2.1,3,59,0,3,5,9,0.67,3,4,-1,-0.47,-0.16,4.3,7.2,-2.9,-1.37,-1.42,Matches
648,649,Kacper Przybyłko,pl POL,FW,Chicago Fire,28,1993,25,1603,64,52.4,17.8,18,80,8,7,22,1,1.16,16,18,-2,-0.11,+0.32,22.4,20.7,+1.6,+0.09,+0.20,Matches
649,650,Riqui Puig,es ESP,MF,LA Galaxy,22,1999,10,826,83,27.0,9.2,9,89,6,1,29,0,1.67,19,14,+5,+0.54,+0.46,16.1,13.2,+2.9,+0.31,-0.02,Matches
650,651,John Pulskamp,us USA,GK,Sporting KC,20,2001,12,1028,86,33.6,11.4,11,90,11,1,38,16,1.50,20,18,+2,+0.18,+0.80,17.7,14.5,+3.1,+0.27,+0.75,Matches
651,652,Facundo Quignon,ar ARG,MF,FC Dallas,28,1993,25,1285,51,42.0,14.3,14,80,8,11,15,3,1.59,23,12,+11,+0.77,+0.77,22.7,19.2,+3.5,+0.25,+0.48,Matches
652,653,Nelson Quiñones,co COL,FW,Houston Dynamo,19,2002,8,122,15,4.0,1.4,0,,0,8,15,0,1.25,0,3,-3,-2.21,-1.91,0.9,3.4,-2.5,-1.82,-1.50,Matches
653,654,Joshué Quiñónez,ec ECU,DF,FC Dallas,21,2000,7,100,14,3.3,1.1,1,45,0,6,9,13,1.38,2,2,0,0.00,-0.33,2.5,2.2,+0.2,+0.22,+0.26,Matches
654,655,Darwin Quintero,co COL,"MF,FW",Houston Dynamo,34,1987,31,1765,57,57.7,19.6,22,70,3,9,26,3,0.97,31,30,+1,+0.05,+1.02,30.7,31.0,-0.2,-0.01,+0.87,Matches
655,656,Jairo Quinteros,bo BOL,DF,Inter Miami,20,2001,4,282,71,9.2,3.1,2,90,2,2,51,14,0.25,1,7,-6,-1.91,-1.82,3.0,4.3,-1.3,-0.41,-0.25,Matches
656,657,Romell Quioto,hn HON,FW,CF Montréal,30,1991,30,2045,68,66.8,22.7,24,78,9,6,28,0,1.81,43,32,+11,+0.48,+0.31,41.1,21.8,+19.3,+0.85,+0.95,Matches
657,658,Kaveh Rad,us USA,DF,Sporting KC,20,2001,0,,,,,0,,0,0,,22,,,,,,,,,,,,Matches
658,659,Jackson Ragen,us USA,DF,Seattle,23,1998,23,1391,60,45.5,15.5,14,87,13,9,20,8,1.26,21,20,+1,+0.06,+0.06,20.8,29.0,-8.3,-0.54,-0.73,Matches
659,660,Brooklyn Raines,us USA,MF,Houston Dynamo,16,2005,1,34,34,1.1,0.4,0,,0,1,34,0,0.00,0,1,-1,-2.65,-2.29,0.0,0.8,-0.7,-1.95,-1.59,Matches
660,661,Greg Ranjitsingh,tt TRI,GK,Toronto FC,28,1993,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches
