,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
630,631,Robert Snodgrass,sct SCO,MF,Luton Town,33,1987,4.6,0,4,2,50.0,0.87,0.44,0.00,0.00,21.1,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
631,632,Dominic Solanke,eng ENG,FW,Bournemouth,23,1997,45.4,29,159,54,34.0,3.50,1.19,0.16,0.46,12.5,0,4,5,32.3,28.3,0.18,-3.3,-3.3,Matches
632,633,Luke Southwood,nir NIR,GK,Reading,23,1997,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
633,634,Harry Souttar,au AUS,DF,Stoke City,22,1998,15.9,0,7,1,14.3,0.44,0.06,0.00,0.00,8.2,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
634,635,Tom Sparrow,wls WAL,FW,Stoke City,18,2003,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
635,636,Djed Spence,eng ENG,FW,Middlesbrough,20,2000,2.3,0,3,2,66.7,1.28,0.85,0.00,0.00,10.3,0,0,0,0.6,0.6,0.20,-0.6,-0.6,Matches
636,637,Djed Spence,eng ENG,DF,Nott'ham Forest,20,2000,37.9,2,23,7,30.4,0.61,0.18,0.09,0.29,25.0,0,0,0,1.0,1.0,0.05,+1.0,+1.0,Matches
637,638,Andraž Šporar,si SVN,FW,Middlesbrough,27,1994,26.3,8,71,25,35.2,2.70,0.95,0.07,0.20,14.5,0,3,3,13.4,11.1,0.16,-5.4,-6.1,Matches
638,639,Jason Sraha,eng ENG,DF,Barnsley,18,2002,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
639,640,Jack Stacey,eng ENG,DF,Bournemouth,25,1996,23.7,0,9,6,66.7,0.38,0.25,0.00,0.00,20.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
640,641,Junior Stanislas,eng ENG,"MF,FW",Bournemouth,31,1989,2.0,0,5,3,60.0,2.50,1.50,0.00,0.00,23.8,3,0,0,0.9,0.9,0.18,-0.9,-0.9,Matches
641,642,Jay Stansfield,eng ENG,FW,Fulham,18,2002,0.0,0,1,0,0.0,90.00,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches
642,643,Richard Stearman,eng ENG,DF,Derby County,33,1987,8.8,0,2,2,100.0,0.23,0.23,0.00,0.00,9.2,0,0,0,0.4,0.4,0.21,-0.4,-0.4,Matches
643,644,Jed Steer,eng ENG,GK,Luton Town,28,1992,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
644,645,Dujon Sterling,eng ENG,DF,Blackpool,21,1999,22.4,0,2,0,0.0,0.09,0.00,0.00,,13.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
645,646,Enda Stevens,ie IRL,DF,Sheffield Utd,31,1990,20.8,1,10,2,20.0,0.48,0.10,0.10,0.50,14.9,0,0,0,1.0,1.0,0.10,0.0,0.0,Matches
