,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Trustin van 't Loo,nl NED,MF,Heerenveen,17,2004,0.3,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0.0,Matches
1,2,Dirk Abels,nl NED,"DF,MF",Sparta R'dam,24,1997,32.2,7,0,0,22,14,1,19,49,39,0,0,0,205,37,26,58.7,Matches
2,3,Zakaria Aboukhlal,ma MAR,"FW,MF",AZ Alkmaar,21,2000,9.1,1,0,0,13,13,7,7,6,10,0,0,0,39,16,21,43.2,Matches
3,4,Paulos Abraham,se SWE,"FW,MF",Groningen,19,2002,15.0,2,0,0,21,13,6,20,5,10,,,0,,,,,Matches
4,5,Shawn Adewoye,be BEL,DF,RKC Waalwijk,21,2000,19.1,5,1,0,34,8,0,0,49,13,0,0,0,118,48,32,60.0,Matches
5,6,Luka Adžić,rs SRB,"FW,MF",Zwolle,22,1998,8.1,0,0,0,4,8,6,75,3,5,0,0,0,35,8,20,28.6,Matches
6,7,Joost van Aken,nl NED,DF,Heerenveen,27,1994,2.2,0,0,0,1,0,0,1,2,5,0,1,0,13,9,3,75.0,Matches
7,8,Ali Akman,tr TUR,FW,NEC Nijmegen,19,2002,17.4,1,1,0,13,20,17,12,6,7,0,0,0,63,16,37,30.2,Matches
8,9,Hamdi Akujobi,nl NED,"DF,FW",Heerenveen,21,2000,1.6,0,0,0,0,2,0,6,3,2,0,0,0,10,2,1,66.7,Matches
9,10,Pontus Almqvist,se SWE,"FW,MF",Utrecht,22,1999,2.9,0,0,0,2,4,0,6,3,3,0,0,0,9,3,5,37.5,Matches
10,11,Edson Álvarez,mx MEX,MF,Ajax,23,1997,25.9,5,0,0,28,15,2,3,43,40,0,0,0,209,102,51,66.7,Matches
11,12,Mohamed Amissi,bi BDI,"FW,MF",Heracles Almelo,20,2000,1.4,0,0,0,1,4,0,2,0,3,0,0,0,9,2,2,50.0,Matches
12,13,Djavan Anderson,nl NED,"DF,MF",Zwolle,26,1995,11.4,0,0,0,9,7,0,29,11,5,0,0,0,62,9,15,37.5,Matches
13,14,Martin Angha,ch SUI,DF,Fortuna Sittard,27,1994,28.8,6,0,0,32,18,2,8,47,32,0,0,0,160,87,68,56.1,Matches
14,15,Vurnon Anita,cw CUW,MF,RKC Waalwijk,32,1989,30.3,3,0,0,23,15,0,5,41,22,0,0,0,219,10,19,34.5,Matches
15,16,Antony,br BRA,FW,Ajax,21,2000,19.2,5,1,1,20,29,6,101,12,11,1,0,0,101,18,11,62.1,Matches
16,17,Samuel Armenteros,se SWE,FW,Heracles Almelo,31,1990,2.3,0,0,0,5,4,3,2,2,0,0,0,0,6,9,12,42.9,Matches
17,18,Adil Auassar,nl NED,"DF,MF",Sparta R'dam,34,1986,27.5,7,0,0,27,10,2,7,47,26,0,1,0,143,69,55,55.6,Matches
18,19,Sebbe Augustijns,be BEL,MF,RKC Waalwijk,21,1999,1.6,1,0,0,3,2,0,1,2,0,0,0,0,11,2,2,50.0,Matches
19,20,Fredrik Aursnes,no NOR,MF,Feyenoord,25,1995,27.6,6,0,0,16,18,1,54,35,34,0,0,0,263,45,34,57.0,Matches
20,21,Aventis Aventisian,gr GRE,DF,Go Ahead Eag,18,2002,0.0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,,Matches
21,22,Ayman Azhil,ma MAR,MF,RKC Waalwijk,20,2001,18.6,1,0,0,22,2,2,5,18,21,0,0,0,115,15,24,38.5,Matches
22,23,Ismail Azzaoui,be BEL,"FW,MF",Heracles Almelo,23,1998,4.8,0,0,0,4,8,2,5,2,8,0,0,0,30,3,4,42.9,Matches
23,24,Aliou Badara Baldé,sn SEN,FW,Feyenoord,18,2002,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,Matches
24,25,Nikolai Baden Frederiksen,dk DEN,FW,Vitesse,21,2000,14.5,2,0,0,19,16,5,9,2,6,0,0,0,35,14,34,29.2,Matches
25,26,Samy Baghdadi,fr FRA,"FW,MF",Fortuna Sittard,24,1997,4.8,2,0,0,9,3,2,11,4,5,0,0,0,28,7,13,35.0,Matches
26,27,Saïd Bakari,km COM,"DF,MF",RKC Waalwijk,26,1994,26.3,1,0,0,4,12,2,78,24,21,0,0,0,162,20,25,44.4,Matches
27,28,Johan Bakayoko,be BEL,FW,PSV Eindhoven,18,2003,0.4,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,100.0,Matches
28,29,Navajo Bakboord,nl NED,DF,Heracles Almelo,22,1999,5.4,3,0,0,14,10,0,4,9,8,0,0,0,39,2,6,25.0,Matches
29,30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,2,1,1,22,16,19,0,8,5,0,0,0,38,46,63,42.2,Matches
30,31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,0,0,0,2,0,0,25,5,3,0,0,0,48,8,8,50.0,Matches
31,32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,1,0,0,12,3,0,0,22,13,0,0,0,86,27,35,43.5,Matches
32,33,Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,5.0,0,0,0,4,13,0,7,2,3,1,0,0,19,2,6,25.0,Matches
33,34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,8,1,1,39,54,1,26,29,34,1,0,0,188,12,16,42.9,Matches
34,35,Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,0.2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,Matches
35,36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,50.0,Matches
36,37,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,13.8,3,0,0,20,13,0,2,27,22,0,0,0,108,27,15,64.3,Matches
37,38,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Heracles Almelo,26,1995,16.4,4,0,0,22,25,6,123,10,27,0,0,0,64,15,18,45.5,Matches
38,39,Cole Bassett,us USA,"MF,DF",Feyenoord,20,2001,1.0,0,0,0,2,1,0,4,0,0,0,0,0,3,2,5,28.6,Matches
39,40,Riechedly Bazoer,nl NED,DF,Vitesse,24,1996,21.8,9,0,0,21,46,0,40,43,18,0,1,0,201,20,20,50.0,Matches
40,41,Sven van Beek,nl NED,DF,Heerenveen,27,1994,28.5,4,0,0,20,10,4,4,45,40,0,0,1,159,91,58,61.1,Matches
41,42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
42,43,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,0.8,0,0,0,1,0,0,0,0,6,0,0,0,6,2,5,28.6,Matches
43,44,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,9.3,1,0,0,1,12,1,37,5,7,0,0,0,37,2,3,40.0,Matches
44,45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,1,80.0,Matches
45,46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,0,0,0,9,4,4,0,1,5,0,0,0,20,37,30,55.2,Matches
46,47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,6.9,0,0,0,10,3,4,14,1,2,0,0,0,25,7,18,28.0,Matches
47,48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,0,0,0,2,0,0,5,2,1,0,0,0,5,0,2,0.0,Matches
48,49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,26.5,0,0,0,14,24,4,144,9,18,1,0,0,150,10,10,50.0,Matches
49,50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,0,1,0,5,2,0,0,13,6,0,0,0,40,27,19,58.7,Matches
50,51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,12,1,1,52,38,1,12,18,21,0,1,0,180,20,40,33.3,Matches
51,52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,5,0,0,22,10,0,1,38,11,0,2,0,78,62,43,59.0,Matches
52,53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,0,0,0,5,4,0,2,20,11,0,0,0,68,37,42,46.8,Matches
53,54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,0,0,0,0,4,0,0,1,0,0,0,0,41,2,0,100.0,Matches
54,55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,1,0,0,0,5,0,1,0,0,0,0,0,31,4,0,100.0,Matches
55,56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,2,0,0,14,20,2,73,44,25,0,0,0,220,51,37,58.0,Matches
56,57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,1,0,0,22,14,9,5,0,0,0,0,0,29,54,75,41.9,Matches
57,58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,2.7,0,0,0,3,2,0,2,5,5,0,0,0,13,3,12,20.0,Matches
58,59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,50.0,Matches
59,60,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,100.0,Matches
60,61,Olivier Boscagli,fr FRA,"DF,MF",PSV Eindhoven,23,1997,26.2,2,0,0,16,17,0,10,69,25,0,0,0,272,48,32,60.0,Matches
61,62,Jesse Bosch,nl NED,MF,Twente,21,2000,9.7,0,0,0,9,10,0,2,18,10,0,0,0,80,18,28,39.1,Matches
62,63,Jordan Botaka,cd COD,"MF,DF",Fortuna Sittard,28,1993,1.8,0,0,0,1,1,0,4,0,3,0,0,0,15,1,1,50.0,Matches
63,64,Ioannis-Foivos Botos,gr GRE,"MF,FW",Go Ahead Eag,20,2000,11.5,1,1,0,8,11,8,7,1,5,0,0,0,33,8,16,33.3,Matches
64,65,Achraf El Bouchataoui,nl NED,MF,RKC Waalwijk,21,2000,4.1,0,0,0,10,6,0,22,3,4,0,0,0,35,2,4,33.3,Matches
65,66,Yacine Bourhane,km COM,MF,Go Ahead Eag,22,1998,0.5,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,33.3,Matches
66,67,Othman Boussaid,be BEL,"FW,MF",Utrecht,21,2000,13.8,1,0,0,6,8,1,52,21,8,0,0,0,104,7,7,50.0,Matches
67,68,Róbert Boženík,sk SVK,FW,Feyenoord,21,1999,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.0,Matches
68,69,Wout Brama,nl NED,MF,Twente,34,1986,7.1,1,0,0,7,5,0,2,7,3,0,0,0,34,6,19,24.0,Matches
69,70,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,1,0,0,1,0,0,0,0,0,0,1,0,29,12,2,85.7,Matches
