,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
0,1,Yunis Abdelhamid,ma MAR,DF,Reims,33,1987,33.1,1578,1471,101,89,0,32,4,9,0,0,0,0,1284,6,26,Matches
1,2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,21,2000,27.4,1701,1678,21,17,1,3,14,4,0,0,0,0,1535,2,29,Matches
2,3,Laurent Abergel,fr FRA,MF,Lorient,28,1993,32.8,1659,1616,35,25,7,21,37,8,2,0,1,0,1341,8,48,Matches
3,4,Charles Abi,fr FRA,FW,Saint-Étienne,21,2000,0.5,7,7,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
4,5,Matthis Abline,fr FRA,FW,Rennes,18,2003,1.1,9,9,0,0,0,0,0,0,0,0,0,0,7,0,0,Matches
5,6,Mohamed Achi,fr FRA,MF,Nantes,19,2002,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,0,Matches
6,7,Martin Adeline,fr FRA,"MF,FW",Reims,17,2003,3.9,147,138,8,4,0,0,11,0,4,0,4,0,107,1,12,Matches
7,8,Yacine Adli,fr FRA,"MF,FW",Bordeaux,21,2000,25.1,1251,1105,138,48,11,30,114,12,68,38,17,1,906,8,25,Matches
8,9,Lucien Agoume,fr FRA,MF,Brest,19,2002,20.8,996,955,38,30,0,10,5,0,1,0,1,0,836,3,20,Matches
9,10,Nayef Aguerd,ma MAR,DF,Rennes,25,1996,30.4,2204,2127,74,69,2,41,1,5,0,0,0,0,1959,3,12,Matches
10,11,Ruben Aguilar,fr FRA,DF,Monaco,28,1993,23.8,1728,1445,277,34,4,16,64,242,1,0,1,0,1435,6,27,Matches
11,12,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,22,1999,15.0,858,826,31,23,0,7,6,8,0,0,0,0,766,1,3,Matches
12,13,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,27,1994,11.2,412,404,8,8,1,2,6,0,0,0,0,0,339,0,11,Matches
13,14,Ludovic Ajorque,re REU,FW,Strasbourg,27,1994,30.4,906,880,24,1,5,10,17,2,0,0,0,0,653,2,16,Matches
14,15,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,19,2002,0.6,22,22,0,0,0,0,1,0,0,0,0,0,20,0,0,Matches
15,16,Sofiane Alakouch,ma MAR,"DF,MF",Metz,23,1998,1.8,103,90,13,1,0,1,2,12,0,0,0,0,83,0,7,Matches
16,17,Josué Albert,gf GUF,DF,Clermont Foot,29,1992,0.2,6,5,1,0,0,0,0,1,0,0,0,0,5,0,0,Matches
17,18,Doğan Alemdar,tr TUR,GK,Rennes,18,2002,12.0,391,293,98,28,0,1,0,0,0,0,0,0,287,0,0,Matches
18,19,Mohamed Ali Cho,fr FRA,FW,Angers,17,2004,20.4,314,304,9,2,1,0,23,3,0,0,0,0,220,1,12,Matches
19,20,Jim Allevinah,ga GAB,FW,Clermont Foot,26,1995,16.5,545,524,16,3,1,5,34,4,9,5,1,0,416,5,18,Matches
20,21,Ibrahim Amadou,fr FRA,"DF,MF",Metz,28,1993,9.0,439,430,9,9,0,5,0,0,0,0,0,0,384,0,2,Matches
21,22,Jordan Amavi,fr FRA,DF,Nice,27,1994,4.6,319,272,46,4,0,2,6,42,0,0,0,0,269,1,5,Matches
22,23,Jordan Amavi,fr FRA,"DF,FW",Marseille,27,1994,1.4,86,69,17,2,0,2,2,15,0,0,0,0,74,0,1,Matches
23,24,Benjamin André,fr FRA,MF,Lille,30,1990,30.6,1766,1705,55,44,4,19,19,11,0,0,0,0,1404,6,33,Matches
24,25,Houssem Aouar,fr FRA,"MF,FW",Lyon,23,1998,27.8,1446,1379,64,23,13,10,21,15,10,6,0,0,1243,3,29,Matches
25,26,Adil Aouchiche,fr FRA,"MF,FW",Saint-Étienne,19,2002,12.0,614,550,61,18,1,18,68,3,38,14,14,0,457,3,14,Matches
26,27,Dennis Appiah,fr FRA,DF,Nantes,29,1992,23.3,1001,856,141,10,1,0,38,131,0,0,0,0,756,4,18,Matches
27,28,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,6.8,383,300,81,4,0,0,21,77,0,0,0,0,306,2,13,Matches
28,29,Youcef Atal,dz ALG,DF,Nice,25,1996,12.7,738,617,120,8,4,2,54,111,1,0,0,0,556,1,17,Matches
29,30,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,0.9,14,12,2,0,0,0,0,0,0,0,0,0,11,0,0,Matches
30,31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,148,139,9,2,0,0,1,7,0,0,0,0,102,0,5,Matches
31,32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,729,718,10,8,0,4,2,2,0,0,0,0,655,1,1,Matches
32,33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,1380,1352,27,24,1,15,1,3,0,0,0,0,1212,1,8,Matches
33,34,Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,1.5,35,34,1,0,0,0,1,0,0,0,0,0,22,0,1,Matches
34,35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,218,203,15,0,1,0,10,2,0,0,0,0,157,0,10,Matches
35,36,Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,84,81,3,3,0,1,0,0,0,0,0,0,79,0,0,Matches
36,37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,186,127,58,14,0,1,0,0,0,0,0,0,130,1,0,Matches
37,38,Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,67,62,5,0,0,0,3,1,0,0,0,0,50,0,0,Matches
38,39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,136,132,4,4,0,0,0,0,0,0,0,0,93,0,4,Matches
39,40,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,0.5,14,13,1,0,0,0,0,0,0,0,0,0,7,0,0,Matches
40,41,Ibrahima Baldé,fr FRA,"FW,MF",Lens,18,2003,0.6,11,9,2,0,0,0,1,1,0,0,0,0,7,0,0,Matches
41,42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,819,794,25,25,0,4,0,0,0,0,0,0,753,0,3,Matches
42,43,Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,5.1,183,138,45,3,0,0,10,42,0,0,0,0,140,0,6,Matches
43,44,Jonathan Bamba,fr FRA,"MF,FW",Lille,25,1996,27.0,1148,1003,139,33,3,4,115,37,69,27,33,0,866,6,37,Matches
44,45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,31,29,1,0,0,1,1,0,0,0,0,0,18,1,1,Matches
45,46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,42,41,1,1,0,0,0,0,0,0,0,0,32,0,0,Matches
46,47,Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,2.9,81,80,1,0,0,0,4,0,0,0,0,0,57,0,5,Matches
47,48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,1878,1578,297,30,0,4,87,267,0,0,0,0,1508,3,39,Matches
48,49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,95,84,11,2,1,0,18,0,9,5,3,0,67,0,2,Matches
49,50,Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,2.0,117,99,18,8,0,1,16,1,9,4,3,0,85,0,4,Matches
