,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
42,43,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,25,1996,24.3,1266,13,134,510,659,109,1265,84,143,58.7,51,47,945,143,Matches
43,44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,15.7,504,14,28,223,258,75,503,13,24,54.2,33,27,413,92,Matches
44,45,Adam Armour,us USA,MF,Charlotte,19,2002,0.9,56,3,12,23,23,4,56,1,3,33.3,4,0,38,4,Matches
45,46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,24.1,1443,194,768,646,38,14,1443,4,4,100.0,5,2,999,1,Matches
46,47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,21.0,1235,64,288,786,175,21,1235,14,30,46.7,33,9,794,14,Matches
47,48,Paul Arriola,us USA,FW,FC Dallas,26,1995,28.5,1147,19,123,432,601,99,1147,16,55,29.1,64,22,851,198,Matches
48,49,Artur,br BRA,MF,Columbus Crew,25,1996,18.2,1081,38,258,612,220,21,1081,9,15,60.0,16,16,721,25,Matches
49,50,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,29,1992,20.5,873,23,140,356,396,75,869,18,57,31.6,56,26,617,105,Matches
50,51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,0.5,14,1,6,8,2,0,14,1,2,50.0,1,1,8,0,Matches
51,52,Joshua Atencio,us USA,MF,Seattle,20,2002,8.1,611,17,134,388,98,6,611,11,13,84.6,10,2,432,12,Matches
52,53,Roberto Avila,us USA,"FW,MF",Houston Dynamo,21,2000,1.8,58,3,11,22,25,4,58,2,5,40.0,9,1,41,10,Matches
53,54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,8.2,555,29,125,344,90,5,555,21,28,75.0,16,9,368,11,Matches
54,55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,0.2,6,0,1,2,4,1,6,1,1,100.0,1,2,4,2,Matches
55,56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,12.2,376,22,66,158,158,44,376,8,16,50.0,23,17,233,47,Matches
56,57,Zico Bailey,us USA,"DF,MF",FC Cincinnati,21,2000,0.9,52,8,20,18,14,0,52,1,3,33.3,0,2,25,3,Matches
57,58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,14.9,500,16,86,197,222,31,500,5,21,23.8,25,13,332,61,Matches
58,59,Esmir Bajraktarevic,,"MF,FW",New England,,,1.4,62,1,12,34,17,3,62,3,4,75.0,2,1,46,6,Matches
59,60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,1.1,33,3,5,17,11,3,33,1,2,50.0,2,1,20,2,Matches
60,61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,5.1,284,17,84,160,46,3,284,7,9,77.8,5,9,185,5,Matches
61,62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,3.9,188,6,28,80,82,18,188,4,9,44.4,6,2,138,14,Matches
62,63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,12.2,392,13,30,161,204,44,391,8,16,50.0,48,18,300,70,Matches
63,64,Álvaro Barreal,ar ARG,"DF,MF",FC Cincinnati,21,2000,24.4,1528,44,309,650,587,66,1528,26,62,41.9,52,33,913,98,Matches
64,65,Michael Barrios,co COL,"FW,MF",Colorado Rapids,30,1991,21.2,755,7,64,249,455,126,755,31,74,41.9,52,21,538,148,Matches
65,66,Ethan Bartlow,us USA,"DF,MF",Houston Dynamo,21,2000,10.1,564,93,323,225,17,1,564,0,2,0.0,7,1,400,0,Matches
66,67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,2.1,135,8,34,51,52,3,135,1,3,33.3,2,0,85,9,Matches
67,68,Tanner Beason,us USA,DF,San Jose,24,1997,24.9,1566,171,809,694,72,16,1566,3,4,75.0,14,3,1021,3,Matches
68,69,Simon Becher,us USA,FW,Vancouver,22,1999,0.1,2,0,0,1,1,1,2,0,0,,0,0,1,0,Matches
69,70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,26.9,1380,44,253,646,493,85,1380,4,11,36.4,37,14,924,96,Matches
70,71,Steven Beitashour,ir IRN,"DF,MF",Colorado Rapids,34,1987,14.6,746,37,258,357,136,8,746,2,3,66.7,8,2,434,17,Matches
71,72,Jon Bell,us USA,DF,New England,24,1997,11.7,663,95,365,264,36,7,663,1,3,33.3,9,3,430,1,Matches
72,73,Ben Bender,us USA,MF,Charlotte,20,2001,18.3,862,13,123,417,331,37,862,17,36,47.2,60,22,598,84,Matches
73,74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,6.3,378,29,124,105,153,10,378,4,10,40.0,5,2,218,30,Matches
