,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
598,599,Vítor Tormena,br BRA,DF,Braga,25,1996,25,1861,74,60.8,20.7,19,89,18,6,28,3,1.72,23,20,+3,+0.15,-1.21,29.5,27.4,+2.1,+0.10,-0.94,Matches
599,600,Pedro Trigueira,pt POR,GK,Tondela,33,1988,29,2597,90,84.9,28.9,29,90,28,0,,5,0.97,38,53,-15,-0.52,+1.62,31.7,50.4,-18.8,-0.65,+0.29,Matches
600,601,Matouš Trmal,cz CZE,GK,Vitória,22,1998,9,810,90,26.5,9.0,9,90,9,0,,24,1.11,12,10,+2,+0.22,-0.06,14.2,12.7,+1.5,+0.17,+0.16,Matches
601,602,Manuel Ugarte Ribeiro,uy URU,MF,Sporting CP,20,2001,25,1107,44,36.2,12.3,10,75,2,15,24,6,2.60,29,8,+21,+1.71,+0.37,23.8,6.9,+16.9,+1.37,-0.09,Matches
602,603,Zé Uilton,br BRA,"FW,DF",Paços,29,1992,33,1889,57,61.7,21.0,20,84,13,13,16,0,1.15,16,24,-8,-0.38,+0.16,19.9,33.3,-13.3,-0.64,-0.14,Matches
603,604,Iker Undabarrena,es ESP,MF,Tondela,26,1995,28,2006,72,65.6,22.3,24,79,10,4,26,0,0.79,21,41,-20,-0.90,-0.38,20.5,36.3,-15.8,-0.71,-0.04,Matches
604,605,Mateus Uribe,co COL,MF,Porto,30,1991,25,1990,80,65.0,22.1,23,83,15,2,37,1,2.76,60,17,+43,+1.94,+0.18,58.0,15.1,+43.0,+1.94,+0.42,Matches
605,606,Eugeni Valderrama,es ESP,MF,Arouca,27,1994,11,528,48,17.3,5.9,7,65,0,4,19,3,0.82,3,14,-11,-1.87,-1.41,4.4,12.8,-8.5,-1.45,-1.11,Matches
606,607,Rodrigo Valente,pt POR,"MF,FW",Estoril,20,2001,4,42,11,1.4,0.5,0,,0,4,11,5,1.00,1,3,-2,-4.29,-4.14,1.1,1.4,-0.2,-0.52,-0.12,Matches
607,608,Bruno Varela,pt POR,GK,Vitória,26,1994,25,2250,90,73.5,25.0,25,90,25,0,,4,1.52,38,31,+7,+0.28,+0.06,35.1,35.0,0.0,0.00,-0.16,Matches
608,609,Nilton Varela,pt POR,"DF,MF",B-SAD,20,2001,17,781,46,25.5,8.7,10,63,3,7,21,6,0.53,6,15,-9,-1.04,-0.13,7.7,14.4,-6.7,-0.77,-0.02,Matches
609,610,Luciano Vega,ar ARG,MF,Estoril,21,1999,5,111,22,3.6,1.2,1,76,0,4,9,6,1.80,2,3,-1,-0.81,-0.63,1.3,4.4,-3.0,-2.51,-2.18,Matches
610,611,David Veiga,pt POR,MF,Braga,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
611,612,Igor Vekič,si SVN,GK,Paços,23,1998,1,4,4,0.1,0.0,1,4,0,0,,26,0.00,0,0,0,0.00,+0.44,0.0,0.6,-0.6,-14.01,-13.44,Matches
612,613,Calvin Verdonk,nl NED,FW,Famalicão,24,1997,1,14,14,0.5,0.2,0,,0,1,14,2,0.00,0,0,0,0.00,+0.18,0.4,0.9,-0.4,-2.77,-2.86,Matches
613,614,Lucas Veríssimo,br BRA,DF,Benfica,26,1995,10,837,84,27.4,9.3,10,84,7,0,,1,2.50,20,7,+13,+1.40,-0.02,17.1,7.5,+9.6,+1.03,-0.22,Matches
614,615,Jan Vertonghen,be BEL,DF,Benfica,34,1987,28,2480,89,81.0,27.6,28,89,25,0,,2,2.07,63,27,+36,+1.31,-0.56,52.3,28.6,+23.7,+0.86,-1.77,Matches
615,616,Paulo Victor Vidotti,br BRA,GK,Marítimo,34,1987,30,2699,90,88.2,30.0,30,90,29,0,,2,1.20,38,39,-1,-0.03,+0.96,32.5,49.5,-16.9,-0.56,+0.09,Matches
616,617,André Vidigal,pt POR,"FW,MF",Marítimo,22,1998,33,2150,65,70.3,23.9,25,77,7,8,28,0,1.12,25,32,-7,-0.29,-0.49,21.1,39.1,-18.0,-0.75,-0.60,Matches
617,618,Fabio Vieira,pt POR,"MF,FW",Porto,21,2000,27,1329,49,43.4,14.8,15,76,2,12,16,7,2.67,45,9,+36,+2.44,+0.98,36.2,9.6,+26.6,+1.80,+0.02,Matches
618,619,Mikel Villanueva,ve VEN,DF,Santa Clara,28,1993,21,1786,85,58.4,19.8,20,88,19,1,31,0,1.33,26,28,-2,-0.10,+0.89,25.2,22.7,+2.5,+0.13,+0.34,Matches
619,620,Rúben Vinagre,pt POR,"DF,MF",Sporting CP,22,1999,12,544,45,17.8,6.0,7,62,0,5,22,14,2.67,9,0,+9,+1.49,+0.02,11.9,2.2,+9.7,+1.61,+0.22,Matches
620,621,Carlos Vinícius,br BRA,FW,Benfica,26,1995,1,7,7,0.2,0.1,0,,0,1,7,1,3.00,0,0,0,0.00,-1.42,0.2,0.0,+0.2,+2.27,+1.08,Matches
621,622,João Virgínia,pt POR,GK,Sporting CP,21,1999,1,78,78,2.5,0.9,1,78,0,0,,30,3.00,4,0,+4,+4.62,+3.23,1.2,0.6,+0.6,+0.74,-0.71,Matches
622,623,Bernardo Vital,pt POR,DF,Estoril,20,2000,17,1389,82,45.4,15.4,15,89,13,2,27,7,1.06,17,19,-2,-0.13,+0.14,16.2,22.0,-5.8,-0.37,+0.06,Matches
623,624,Vitinha,pt POR,MF,Porto,21,2000,30,2251,75,73.6,25.0,27,80,10,3,29,3,2.77,60,17,+43,+1.72,-0.62,61.3,15.1,+46.1,+1.85,+0.20,Matches
