,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
436,437,Bryan Smeets,nl NED,MF,Sparta R'dam,28,1992,16.4,2,16,6,37.5,0.97,0.37,0.13,0.33,21.1,1,0,0,1.1,1.1,0.07,+0.9,+0.9,Matches
437,438,Milan Smit,nl NED,"FW,MF",Cambuur,18,2003,0.7,1,6,2,33.3,8.44,2.81,0.17,0.50,8.8,0,0,0,0.7,0.7,0.12,+0.3,+0.3,Matches
438,439,Sven Sonnenberg,de GER,DF,Heracles Almelo,22,1999,5.3,0,4,0,0.0,0.75,0.00,0.00,,14.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
439,440,Kamal Sowah,gh GHA,"FW,MF",AZ Alkmaar,21,2000,1.8,0,5,0,0.0,2.71,0.00,0.00,,15.9,0,0,0,0.5,0.5,0.11,-0.5,-0.5,Matches
440,441,Wesley Spieringhs,nl NED,"MF,FW",Willem II,19,2002,1.1,1,2,1,50.0,1.86,0.93,0.50,1.00,19.2,0,0,0,0.4,0.4,0.18,+0.6,+0.6,Matches
441,442,Tommy St. Jago,nl NED,DF,Utrecht,21,2000,2.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
442,443,Casper Staring,nl NED,MF,Twente,20,2001,1.1,0,1,0,0.0,0.92,0.00,0.00,,24.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
443,444,Maarten Stekelenburg,nl NED,GK,Ajax,38,1982,7.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
444,445,Filip Stevanovic,rs SRB,"FW,MF",Heerenveen,18,2002,9.5,1,12,7,58.3,1.26,0.74,0.08,0.14,16.3,0,0,0,1.6,1.6,0.13,-0.6,-0.6,Matches
445,446,Sonny Stevens,nl NED,GK,Cambuur,29,1992,28.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
446,447,Finn Stokkers,nl NED,"FW,MF",RKC Waalwijk,25,1996,12.4,4,18,9,50.0,1.45,0.72,0.22,0.44,16.3,0,0,0,3.0,3.0,0.16,+1.0,+1.0,Matches
447,448,Jørgen Strand Larsen,no NOR,FW,Groningen,21,2000,26.0,14,60,33,55.0,2.31,1.27,0.23,0.42,13.4,0,0,0,11.2,11.2,0.19,+2.8,+2.8,Matches
448,449,Sander van de Streek,nl NED,"MF,FW",Utrecht,28,1993,17.3,4,35,9,25.7,2.03,0.52,0.11,0.44,13.9,0,0,0,5.2,5.2,0.15,-1.2,-1.2,Matches
449,450,Rico Strieder,de GER,MF,Zwolle,29,1992,16.1,0,1,0,0.0,0.06,0.00,0.00,,31.4,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
450,451,Yukinari Sugawara,jp JPN,"DF,FW",AZ Alkmaar,21,2000,29.3,1,13,2,15.4,0.44,0.07,0.08,0.50,20.8,1,0,0,0.9,0.9,0.07,+0.1,+0.1,Matches
451,452,Tomáš Suslov,sk SVK,"MF,FW",Groningen,19,2002,26.1,1,45,13,28.9,1.72,0.50,0.02,0.08,24.3,6,0,0,2.4,2.4,0.05,-1.4,-1.4,Matches
452,453,Max Svensson,se SWE,"FW,MF",Willem II,23,1998,21.2,1,26,9,34.6,1.22,0.42,0.04,0.11,20.1,1,0,0,3.7,3.7,0.14,-2.7,-2.7,Matches
