,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
68,69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,4.3,0,0,0,1,3,0,23,3,1,0,0,0,27,6,3,66.7,Matches
69,70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,6,0,0,35,24,0,70,43,35,0,1,0,157,45,37,54.9,Matches
70,71,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,9.0,1,0,0,6,3,6,10,5,1,0,0,0,35,9,16,36.0,Matches
71,72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,0,0,0,0,2,0,0,0,1,0,0,0,13,2,0,100.0,Matches
72,73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,0.3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,2,0.0,Matches
73,74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,0,0,0,24,42,10,35,8,8,0,0,0,106,36,81,30.8,Matches
74,75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
75,76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,1.5,0,0,0,2,6,0,0,1,2,0,0,0,5,2,2,50.0,Matches
76,77,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,22.3,4,0,0,32,43,0,109,18,30,1,0,0,173,30,26,53.6,Matches
77,78,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,5,0,0,32,21,1,7,36,22,0,0,0,166,31,15,67.4,Matches
78,79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,1,0,0,0,2,0,0,0,0,0,0,0,41,9,0,100.0,Matches
79,80,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,0,0,0,7,4,2,21,3,3,0,0,0,26,3,2,60.0,Matches
80,81,Julian Chabot,de GER,DF,Köln,23,1998,2.3,1,0,0,5,7,0,0,3,3,0,0,0,14,9,10,47.4,Matches
81,82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,13.5,4,0,0,17,7,4,30,19,12,0,0,0,56,14,22,38.9,Matches
82,83,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,0.5,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,0.0,Matches
83,84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,5,0,0,20,19,1,3,68,25,0,0,0,179,41,39,51.3,Matches
84,85,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,15.1,1,1,0,9,22,5,79,8,8,0,0,0,78,9,14,39.1,Matches
85,86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches
86,87,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,3.6,2,0,0,5,11,5,3,0,3,0,0,0,11,14,22,38.9,Matches
87,88,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,8.1,2,0,0,8,2,0,22,11,4,0,1,0,48,14,6,70.0,Matches
88,89,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,12.0,8,0,0,24,14,6,14,4,15,0,0,0,57,8,14,36.4,Matches
89,90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,,Matches
90,91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,0,0,0,1,3,0,0,0,0,0,0,0,1,0,1,0.0,Matches
91,92,Rafael Czichos,de GER,DF,Köln,31,1990,15.6,4,0,0,16,11,0,3,19,18,0,0,1,103,43,37,53.8,Matches
92,93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,1,0,0,5,0,0,5,3,0,0,0,0,5,0,1,0.0,Matches
93,94,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,5,0,0,29,19,2,4,5,9,0,0,0,65,18,25,41.9,Matches
94,95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
95,96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,18.4,7,1,1,23,13,0,29,17,19,0,0,0,142,11,15,42.3,Matches
96,97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,8.4,2,0,0,10,6,0,8,20,4,0,0,0,33,12,11,52.2,Matches
97,98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,6,0,0,22,33,4,64,20,18,0,0,0,137,15,31,32.6,Matches
98,99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,19.3,3,0,0,15,27,3,41,23,17,0,0,0,144,11,17,39.3,Matches
99,100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
100,101,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
101,102,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,22.8,10,0,0,34,29,3,152,33,31,0,0,0,158,11,19,36.7,Matches
102,103,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,9.7,4,0,0,27,6,12,6,1,6,0,0,0,33,17,45,27.4,Matches
103,104,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,0.2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,Matches
104,105,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,30.7,10,1,1,38,25,17,82,8,11,0,0,0,119,6,20,23.1,Matches
105,106,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,3.1,1,0,0,3,7,2,9,1,2,0,0,0,15,4,2,66.7,Matches
106,107,Javairô Dilrosun,nl NED,FW,Hertha BSC,23,1998,1.5,0,0,0,3,2,0,1,0,1,0,0,0,14,0,2,0.0,Matches
107,108,Lee Dongjun,kr KOR,"MF,FW",Hertha BSC,24,1997,1.3,0,0,0,3,3,1,2,2,1,0,0,0,3,0,2,0.0,Matches
108,109,Niklas Dorsch,de GER,MF,Augsburg,23,1998,25.8,8,0,0,53,48,0,20,35,47,0,0,0,240,16,17,48.5,Matches
109,110,Ondrej Duda,sk SVK,"MF,FW",Köln,26,1994,17.9,5,0,0,41,34,0,27,17,16,0,0,0,129,16,21,43.2,Matches
110,111,Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,25,1995,12.6,1,0,0,11,24,3,34,10,6,2,0,0,55,9,19,32.1,Matches
111,112,Erik Durm,de GER,DF,Eint Frankfurt,29,1992,5.3,1,0,0,2,7,0,14,10,7,0,0,0,25,3,8,27.3,Matches
112,113,Maximilian Eggestein,de GER,MF,Freiburg,24,1996,24.4,2,0,0,32,26,1,11,30,28,0,0,0,145,46,51,47.4,Matches
113,114,Lilian Egloff,de GER,"MF,DF",Stuttgart,18,2002,0.3,0,0,0,2,0,0,0,0,0,0,0,0,2,1,2,33.3,Matches
114,115,Kingsley Ehizibue,nl NED,DF,Köln,26,1995,7.6,2,0,0,15,16,0,17,9,18,0,0,0,45,13,5,72.2,Matches
115,116,Julian Eitschberger,de GER,DF,Hertha BSC,17,2004,0.5,0,0,0,0,2,0,0,2,0,0,0,0,4,0,1,0.0,Matches
116,117,Jurgen Ekkelenkamp,nl NED,"MF,FW",Hertha BSC,21,2000,8.0,1,0,0,11,5,0,3,4,3,0,0,0,48,9,17,34.6,Matches
117,118,Nico Elvedi,ch SUI,DF,M'Gladbach,24,1996,27.0,3,1,0,21,21,0,0,34,24,0,0,0,158,72,38,65.5,Matches
118,119,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,24,1997,24.1,3,0,0,41,71,20,2,6,11,2,0,0,60,36,65,35.6,Matches
119,120,Keita Endo,jp JPN,MF,Union Berlin,23,1997,0.6,0,0,0,0,2,1,3,0,1,0,0,0,4,0,2,0.0,Matches
120,121,Wataru Endo,jp JPN,MF,Stuttgart,28,1993,32.2,4,0,0,30,61,1,7,30,41,0,0,0,226,75,38,66.4,Matches
121,122,Michael Esser,de GER,GK,Bochum,33,1987,3.0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,100.0,Matches
122,123,Wahidullah Faghir,dk DEN,FW,Stuttgart,18,2003,1.4,0,0,0,0,3,2,0,0,0,0,0,0,2,4,4,50.0,Matches
123,124,Ömer Faruk Beyaz,tr TUR,"DF,MF",Stuttgart,17,2003,0.8,0,0,0,0,0,0,2,2,3,0,0,0,5,0,1,0.0,Matches
124,125,Adrian Fein,de GER,MF,Greuther Fürth,22,1999,0.4,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,,Matches
125,126,Ohis Felix Uduokhai,de GER,DF,Augsburg,23,1997,8.7,1,0,0,6,7,0,4,9,6,0,0,0,42,23,12,65.7,Matches
126,127,Edimilson Fernandes,ch SUI,"MF,FW",Arminia,25,1996,3.1,0,0,0,3,1,0,14,2,0,0,0,0,23,5,3,62.5,Matches
127,128,Alfreð Finnbogason,is ISL,FW,Augsburg,32,1989,3.2,0,0,0,3,1,1,2,2,1,0,0,0,9,4,4,50.0,Matches
128,129,Mark Flekken,nl NED,GK,Freiburg,28,1993,32.0,0,0,0,0,1,0,0,2,0,0,0,0,70,4,0,100.0,Matches
129,130,Emil Forsberg,se SWE,MF,RB Leipzig,29,1991,19.0,2,0,0,11,22,4,38,2,12,0,0,0,58,9,18,33.3,Matches
130,131,Philipp Förster,de GER,"MF,FW",Stuttgart,26,1995,10.7,4,0,0,15,9,2,8,3,13,0,0,0,58,10,11,47.6,Matches
131,132,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23,1998,1.6,0,0,0,1,0,0,4,2,3,0,0,0,14,2,3,40.0,Matches
132,133,Raphael Framberger,de GER,DF,Augsburg,25,1995,9.4,3,0,0,17,8,0,36,9,19,0,1,0,44,9,12,42.9,Matches
133,134,Marvin Friedrich,de GER,DF,M'Gladbach,25,1995,6.7,1,0,0,4,2,1,0,5,8,0,1,0,38,19,8,70.4,Matches
134,135,Marvin Friedrich,de GER,DF,Union Berlin,25,1995,13.0,4,1,1,12,2,0,5,23,5,0,0,1,79,39,32,54.9,Matches
135,136,Jeremie Frimpong,nl NED,DF,Leverkusen,20,2000,22.8,6,0,0,17,45,1,58,17,18,0,1,1,120,19,18,51.4,Matches
136,137,Christian Früchtl,de GER,GK,Bayern Munich,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
137,138,Chris Führich,de GER,"FW,MF",Stuttgart,23,1998,19.0,3,0,0,9,19,2,61,8,16,0,0,0,107,3,12,20.0,Matches
138,139,Marius Funk,de GER,GK,Greuther Fürth,25,1996,8.0,0,0,0,1,1,0,0,0,0,0,1,0,19,3,0,100.0,Matches
139,140,Stephan Fürstner,de GER,MF,Mainz 05,33,1987,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
140,141,Mijat Gaćinović,rs SRB,"FW,MF",Hoffenheim,26,1995,1.2,1,0,0,4,1,0,0,1,3,0,0,0,3,3,3,50.0,Matches
141,142,Cristian Gamboa,cr CRC,DF,Bochum,31,1989,19.1,6,0,0,21,11,2,32,32,36,0,0,0,153,20,9,69.0,Matches
142,143,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,25,1996,1.7,0,0,0,2,1,6,0,0,0,0,0,0,5,22,8,73.3,Matches
143,144,Linus Gechter,de GER,DF,Hertha BSC,17,2004,8.0,0,0,0,6,0,0,2,11,8,0,1,0,44,8,14,36.4,Matches
144,145,Dennis Geiger,de GER,MF,Hoffenheim,23,1998,15.3,6,0,0,39,19,0,42,14,23,0,1,0,102,0,6,0.0,Matches
145,146,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,27,1994,17.5,2,0,0,18,24,2,32,25,20,0,0,0,115,26,25,51.0,Matches
146,147,Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,30,1990,5.5,2,0,0,13,6,3,1,0,4,0,0,0,10,16,19,45.7,Matches
147,148,Niko Gießelmann,de GER,"DF,FW",Union Berlin,29,1991,23.1,3,0,0,23,33,1,106,18,17,0,0,0,81,24,29,45.3,Matches
148,149,Rafał Gikiewicz,pl POL,GK,Augsburg,33,1987,34.0,0,0,0,0,6,0,0,3,0,0,0,0,46,11,0,100.0,Matches
149,150,Daniel Ginczek,de GER,"MF,FW",Wolfsburg,30,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
150,151,Matthias Ginter,de GER,DF,M'Gladbach,27,1994,26.2,2,0,0,9,29,2,20,34,22,0,0,0,138,77,45,63.1,Matches
151,152,Serge Gnabry,de GER,"FW,DF",Bayern Munich,26,1995,24.3,0,0,0,11,21,15,79,14,31,0,0,0,146,7,27,20.6,Matches
152,153,Leon Goretzka,de GER,MF,Bayern Munich,26,1995,15.5,0,0,0,15,10,1,9,17,15,0,0,0,108,31,15,67.4,Matches
153,154,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,30,1991,28.6,9,0,0,32,8,0,6,49,27,0,2,0,189,43,47,47.8,Matches
154,155,Jens Grahl,de GER,GK,Eint Frankfurt,32,1988,1.0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
155,156,Julian Green,us USA,MF,Greuther Fürth,26,1995,11.7,2,0,0,13,38,0,57,7,5,0,0,0,64,5,18,21.7,Matches
156,157,Michael Gregoritsch,at AUT,"FW,MF",Augsburg,27,1994,15.5,3,0,0,17,13,5,10,6,8,0,0,0,58,79,48,62.2,Matches
157,158,Sebastian Griesbeck,de GER,"DF,MF",Greuther Fürth,30,1990,27.1,7,0,0,32,16,0,1,43,31,0,1,2,148,56,43,56.6,Matches
158,159,Sebastian Griesbeck,de GER,MF,Union Berlin,30,1990,0.1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,Matches
159,160,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,28,1993,30.8,0,0,0,11,27,1,169,13,15,0,0,0,160,17,19,47.2,Matches
160,161,Lennart Grill,de GER,GK,Leverkusen,22,1999,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
161,162,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,25,1995,16.6,7,0,0,12,24,0,11,29,19,0,1,0,125,23,26,46.9,Matches
162,163,Carlos Gruezo,ec ECU,MF,Augsburg,26,1995,10.8,7,0,0,28,4,0,4,9,11,0,0,0,70,10,14,41.7,Matches
163,164,Raphaël Guerreiro,pt POR,DF,Dortmund,27,1993,19.9,1,0,0,12,8,1,39,25,19,0,0,0,130,5,6,45.5,Matches
164,165,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30,1990,10.5,4,0,0,20,6,2,0,25,14,0,0,0,106,41,14,74.5,Matches
165,166,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33.0,1,0,0,0,2,0,0,1,0,0,0,0,54,6,0,100.0,Matches
166,167,Manuel Gulde,de GER,DF,Freiburg,30,1991,13.6,2,0,0,17,9,0,3,17,10,0,0,0,60,25,15,62.5,Matches
167,168,Robert Gumny,pl POL,DF,Augsburg,23,1998,25.2,3,0,0,27,27,0,28,28,29,0,0,0,130,36,24,60.0,Matches
168,169,Christian Günter,de GER,"DF,MF",Freiburg,28,1993,34.0,2,0,0,37,14,4,211,17,20,1,0,0,184,11,22,33.3,Matches
169,170,Lasse Günther,de GER,DF,Augsburg,18,2003,1.8,1,0,0,3,1,0,3,2,5,0,0,0,8,0,3,0.0,Matches
170,171,Joško Gvardiol,hr CRO,DF,RB Leipzig,19,2002,26.8,7,0,0,41,34,1,8,51,31,0,0,1,230,53,35,60.2,Matches
171,172,Erling Haaland,no NOR,FW,Dortmund,21,2000,21.2,3,0,0,17,14,14,8,1,1,0,0,0,40,38,27,58.5,Matches
172,173,Janik Haberer,de GER,MF,Freiburg,27,1994,9.1,1,0,0,20,10,1,4,16,8,0,0,0,51,16,22,42.1,Matches
173,174,Alexander Hack,de GER,DF,Mainz 05,27,1993,23.0,6,1,0,28,34,2,5,51,26,0,1,0,172,67,47,58.8,Matches
174,175,Robin Hack,de GER,"FW,MF",Arminia,22,1998,15.2,2,0,0,17,21,4,34,5,8,0,0,0,73,8,20,28.6,Matches
175,176,André Hahn,de GER,"MF,FW",Augsburg,30,1990,23.3,5,0,0,56,18,17,41,15,20,1,0,0,73,58,71,45.0,Matches
176,177,Amadou Haidara,ml MLI,MF,RB Leipzig,23,1998,14.7,2,0,0,20,13,0,6,16,14,0,0,0,102,20,19,51.3,Matches
177,178,Marcel Halstenberg,de GER,DF,RB Leipzig,29,1991,5.6,0,0,0,4,4,1,6,7,7,0,0,0,35,8,2,80.0,Matches
