,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
52,53,Barcia,es ESP,DF,Granada,20,2000,0.8,26,1,13,12,1,0,26,0,0,,0,1,8,0,Matches
53,54,Enis Bardhi,mk MKD,"MF,FW",Levante,26,1995,18.9,982,12,124,423,449,40,980,38,74,51.4,52,32,661,73,Matches
54,55,Keidi Bare,al ALB,MF,Espanyol,23,1997,16.5,1032,51,273,632,135,15,1032,9,16,56.3,11,11,700,11,Matches
55,56,Kike Barja,es ESP,"MF,FW",Osasuna,24,1997,9.6,516,5,48,213,264,32,516,34,57,59.6,37,28,386,53,Matches
56,57,Antonio Barragán,es ESP,DF,Elche,34,1987,11.3,635,60,261,272,106,2,635,0,1,0.0,9,1,350,10,Matches
57,58,Ander Barrenetxea,es ESP,"FW,MF",Real Sociedad,19,2001,6.1,270,5,43,115,118,25,270,15,37,40.5,23,16,197,47,Matches
58,59,Marc Bartra,es ESP,DF,Betis,30,1991,22.1,1395,199,768,578,51,24,1395,7,8,87.5,12,4,859,4,Matches
59,60,Álvaro Bastida,es ESP,MF,Cádiz,17,2004,2.2,67,2,12,46,9,0,67,0,0,,0,0,39,0,Matches
60,61,Rodrigo Battaglia,ar ARG,MF,Mallorca,30,1991,13.1,664,53,197,393,81,14,664,10,15,66.7,12,11,336,1,Matches
61,62,Jon Bautista,es ESP,MF,Real Sociedad,26,1995,0.5,15,1,2,8,5,1,15,1,1,100.0,0,1,6,1,Matches
62,63,Bebé,cv CPV,FW,Rayo Vallecano,31,1990,9.6,487,8,47,181,277,21,487,29,48,60.4,41,19,325,50,Matches
63,64,Héctor Bellerín,es ESP,DF,Betis,26,1995,22.0,1262,67,359,568,348,43,1262,22,42,52.4,26,8,717,56,Matches
64,65,Fran Beltrán,es ESP,MF,Celta Vigo,22,1999,28.9,2169,62,579,1344,263,5,2169,19,27,70.4,31,20,1506,19,Matches
65,66,Darío Benedetto,ar ARG,"FW,MF",Elche,31,1990,6.6,173,0,11,97,68,20,173,10,18,55.6,16,4,127,24,Matches
66,67,Iker Benito,es ESP,"FW,MF",Osasuna,18,2002,1.3,50,1,9,21,20,0,50,2,6,33.3,4,4,28,6,Matches
67,68,Pedro Benito,es ESP,FW,Cádiz,21,2000,0.3,7,0,0,4,3,0,7,0,0,,2,0,6,2,Matches
68,69,Karim Benzema,fr FRA,FW,Real Madrid,33,1987,28.8,1488,15,59,509,931,223,1477,36,51,70.6,35,24,1263,208,Matches
69,70,Yuri Berchiche,es ESP,DF,Athletic Club,31,1990,11.3,748,33,222,346,191,12,748,8,11,72.7,13,7,415,26,Matches
70,71,Álex Berenguer,es ESP,MF,Athletic Club,26,1995,24.1,1215,22,162,443,622,81,1214,33,71,46.5,70,36,788,132,Matches
71,72,Pedro Bigas,es ESP,DF,Elche,30,1990,17.2,1113,119,580,488,49,10,1113,2,6,33.3,12,0,738,4,Matches
