,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
734,735,Mikel Vesga,es ESP,MF,Athletic Club,28,1993,32,1358,42,39.7,15.1,17,67,4,15,14,5,1.53,16,16,0,0.00,-0.31,23.5,17.8,+5.7,+0.38,+0.15,Matches
735,736,Rúben Vezo,pt POR,DF,Levante,27,1994,32,2420,76,70.8,26.9,27,86,23,5,20,2,0.84,35,55,-20,-0.74,-0.29,43.3,41.6,+1.7,+0.06,+0.19,Matches
736,737,Aleix Vidal,es ESP,"DF,MF",Espanyol,31,1989,31,1901,61,55.6,21.1,21,80,9,10,22,1,1.06,21,34,-13,-0.62,-0.62,22.4,33.6,-11.2,-0.53,-0.21,Matches
737,738,Nacho Vidal,es ESP,DF,Osasuna,26,1995,35,2902,83,84.9,32.2,33,87,27,2,10,1,1.31,32,40,-8,-0.25,+0.79,35.9,38.5,-2.6,-0.08,+0.92,Matches
738,739,Dídac Vilà,es ESP,"DF,MF",Espanyol,32,1989,9,203,23,5.9,2.3,1,90,1,8,14,23,0.67,1,4,-3,-1.33,-1.05,2.2,4.9,-2.7,-1.17,-0.78,Matches
739,740,Tonny Vilhena,nl NED,"MF,FW",Espanyol,26,1995,17,928,55,27.1,10.3,13,65,0,4,21,0,0.88,9,15,-6,-0.58,-0.33,7.9,14.7,-6.8,-0.66,-0.30,Matches
740,741,Daniel Villahermosa,es ESP,MF,Espanyol,20,2001,1,23,23,0.7,0.3,0,,0,1,23,2,1.00,0,0,0,0.00,+0.34,0.1,0.7,-0.6,-2.52,-2.10,Matches
741,742,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,19,548,29,16.0,6.1,3,80,1,16,19,3,1.53,8,8,0,0.00,-0.22,8.6,7.0,+1.6,+0.26,-0.03,Matches
742,743,Gonzalo Villar,es ESP,MF,Getafe,23,1998,10,298,30,8.7,3.3,2,82,1,8,17,8,0.70,2,6,-4,-1.21,-1.09,2.2,5.9,-3.7,-1.12,-0.97,Matches
743,744,Vitolo,es ESP,MF,Getafe,31,1989,7,221,32,6.5,2.5,1,45,0,6,29,15,0.43,1,3,-2,-0.81,-0.65,2.9,2.2,+0.7,+0.31,+0.57,Matches
744,745,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,24,1986,83,58.1,22.1,22,89,21,2,20,4,1.67,28,23,+5,+0.23,+0.10,32.3,27.8,+4.5,+0.21,-0.20,Matches
745,746,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,29,1992,21,914,44,26.7,10.2,10,62,4,11,27,10,1.86,18,12,+6,+0.59,+0.02,16.2,10.7,+5.5,+0.54,+0.02,Matches
746,747,Nikola Vukčević,me MNE,MF,Levante,29,1991,6,118,20,3.5,1.3,0,,0,6,20,26,1.17,1,3,-2,-1.53,-0.90,2.0,2.3,-0.3,-0.24,-0.26,Matches
747,748,Daniel Wass,dk DEN,"DF,FW",Atlético Madrid,32,1989,1,45,45,1.3,0.5,0,,0,1,45,9,0.00,1,1,0,0.00,-0.59,0.9,0.2,+0.7,+1.35,+0.83,Matches
748,749,Daniel Wass,dk DEN,MF,Valencia,32,1989,19,1582,83,46.3,17.6,19,83,9,0,,0,1.32,24,28,-4,-0.23,-0.18,22.6,22.0,+0.6,+0.03,+0.33,Matches
749,750,Victor Wehbi,br BRA,GK,Cádiz,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
750,751,Axel Werner,ar ARG,GK,Elche,25,1996,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
751,752,Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,38,2777,73,81.2,30.9,32,82,18,6,26,0,1.45,33,25,+8,+0.26,+0.40,45.3,35.4,+9.9,+0.32,+0.17,Matches
752,753,Nico Williams,es ESP,MF,Athletic Club,19,2002,34,1337,39,39.1,14.9,11,71,1,23,24,0,1.44,19,15,+4,+0.27,+0.14,22.6,17.0,+5.7,+0.38,+0.15,Matches
753,754,Rubén Yáñez,es ESP,GK,Getafe,27,1993,0,,,,,0,,0,0,,36,,,,,,,,,,,,Matches
754,755,Okay Yokuşlu,tr TUR,"DF,MF",Getafe,27,1994,11,465,42,13.6,5.2,5,80,3,6,11,5,1.09,1,4,-3,-0.58,-0.43,4.5,4.7,-0.3,-0.05,+0.21,Matches
755,756,Okay Yokuşlu,tr TUR,"DF,MF",Celta Vigo,27,1994,8,140,18,4.1,1.6,1,90,1,7,7,9,2.13,3,0,+3,+1.93,+2.01,2.8,2.6,+0.2,+0.13,+0.21,Matches
756,757,Joseba Zaldúa,es ESP,DF,Real Sociedad,29,1992,24,1172,49,34.3,13.0,14,74,5,10,14,10,1.63,14,17,-3,-0.23,-0.47,17.7,18.1,-0.4,-0.03,-0.59,Matches
757,758,Bryan Zaragoza,,MF,Granada,20,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
758,759,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,31,1166,38,34.1,13.0,8,77,3,23,24,2,1.45,15,13,+2,+0.15,-0.05,15.6,16.6,-1.0,-0.07,-0.55,Matches
759,760,Zarzana,es ESP,FW,Sevilla,19,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
760,761,Luca Zidane,fr FRA,GK,Rayo Vallecano,23,1998,8,645,81,18.9,7.2,8,81,7,0,,29,0.13,4,13,-9,-1.26,-1.19,10.2,12.8,-2.6,-0.36,-0.39,Matches
761,762,Igor Zubeldia,es ESP,DF,Real Sociedad,24,1997,26,1648,63,48.2,18.3,19,82,12,7,12,7,1.46,17,25,-8,-0.44,-1.00,26.3,24.1,+2.2,+0.12,-0.47,Matches
762,763,Martín Zubimendi,es ESP,MF,Real Sociedad,22,1999,36,2591,72,75.8,28.8,26,90,25,10,25,0,1.67,30,30,0,0.00,-0.33,46.8,36.6,+10.1,+0.35,-0.04,Matches
