,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
40,41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,6,7.20,5,0,1,0,0,0,1,1.20,1,0,0,0,0,0,Matches
41,42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,8,1.49,7,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
42,43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
43,44,Saïd Benrahma,dz ALG,"FW,MF",West Ham,25,1995,24.1,74,3.07,57,0,7,7,3,0,8,0.33,7,0,0,1,0,0,Matches
44,45,Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,38,2.51,33,0,1,2,1,1,7,0.46,6,0,0,1,0,0,Matches
45,46,Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,23,1.81,19,0,1,1,2,0,2,0.16,1,0,0,0,1,0,Matches
46,47,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,22,1.80,16,0,1,3,2,0,2,0.16,2,0,0,0,0,0,Matches
47,48,Steven Bergwijn,nl NED,"FW,MF",Tottenham,23,1997,6.3,21,3.35,15,1,2,1,1,1,3,0.48,1,0,1,0,1,0,Matches
48,49,Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,2,0.53,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,50,Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
50,51,Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,31,1.32,23,0,4,1,0,3,5,0.21,3,0,0,0,0,2,Matches
51,52,Willy Boly,ci CIV,DF,Wolves,30,1991,10.0,3,0.30,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
52,53,Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,98,2.96,56,16,11,9,5,1,19,0.57,9,3,3,1,3,0,Matches
53,54,Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
54,55,Armando Broja,al ALB,FW,Southampton,19,2001,21.9,38,1.73,19,0,7,7,4,1,4,0.18,0,0,2,0,2,0,Matches
