,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
0,1,Luis Abram,pe PER,DF,Granada,25,1996,6.2,2,0,0,5,4,0,0,5,3,0,0,1,14,7,14,33.3,Matches
1,2,Marcos Acuña,ar ARG,DF,Sevilla,29,1991,25.1,10,0,0,38,48,0,178,14,29,0,1,0,173,22,32,40.7,Matches
2,3,Martin Agirregabiria,es ESP,DF,Alavés,25,1996,18.0,4,0,0,24,22,1,45,25,22,0,1,0,79,31,27,53.4,Matches
3,4,Julen Agirrezabala,es ESP,GK,Athletic Club,20,2000,4.0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,,Matches
4,5,Sergio Agüero,ar ARG,FW,Barcelona,33,1988,1.7,0,0,0,1,2,1,3,0,1,0,0,0,3,3,2,60.0,Matches
5,6,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
6,7,Joseph Aidoo,gh GHA,DF,Celta Vigo,25,1995,29.3,1,0,0,10,18,1,3,38,26,0,0,1,164,62,47,56.9,Matches
7,8,Carlos Akapo,gq EQG,DF,Cádiz,28,1993,20.5,4,0,0,23,25,2,45,51,31,0,1,0,112,37,32,53.6,Matches
8,9,Ilias Akhomach,es ESP,FW,Barcelona,17,2004,1.4,0,0,0,3,4,0,6,0,0,0,0,0,11,1,2,33.3,Matches
9,10,Paul Akouokou,ci CIV,MF,Betis,23,1997,5.7,2,1,0,13,2,0,1,11,9,0,0,0,42,6,2,75.0,Matches
10,11,David Alaba,at AUT,DF,Real Madrid,29,1992,29.4,2,0,0,16,6,2,40,22,13,0,0,0,141,14,22,38.9,Matches
11,12,Tomás Alarcón,cl CHI,MF,Cádiz,22,1999,15.8,5,0,0,19,9,1,64,30,20,0,2,0,107,15,19,44.1,Matches
12,13,Jordi Alba,es ESP,DF,Barcelona,32,1989,29.4,11,0,0,26,19,11,121,33,34,0,0,0,214,13,23,36.1,Matches
13,14,Raúl Albiol,es ESP,DF,Villarreal,35,1985,27.4,8,0,0,18,12,2,3,21,15,0,0,0,137,41,27,60.3,Matches
14,15,Paco Alcácer,es ESP,FW,Villarreal,27,1993,8.7,1,0,0,5,7,8,1,6,3,0,0,0,28,10,25,28.6,Matches
15,16,Rubén Alcaraz,es ESP,MF,Cádiz,30,1991,12.3,7,0,0,30,35,1,23,13,20,0,1,0,86,22,23,48.9,Matches
16,17,Omar Alderete,py PAR,DF,Valencia,24,1996,26.7,15,0,0,42,7,0,4,35,34,0,2,0,158,69,39,63.9,Matches
17,18,Iván Alejo,es ESP,"MF,FW",Cádiz,26,1995,11.8,7,0,0,37,33,5,97,8,15,0,1,0,74,11,12,47.8,Matches
18,19,Carles Aleñá,es ESP,MF,Getafe,23,1998,25.8,6,1,0,50,37,1,44,15,19,0,0,0,129,13,25,34.2,Matches
19,20,Mircea Alexandru Tirlea,ro ROU,DF,Alavés,21,2000,0.2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0.0,Matches
20,21,Hugo Álvarez,es ESP,FW,Celta Vigo,18,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
21,22,Yeray Álvarez,es ESP,DF,Athletic Club,26,1995,20.7,6,0,0,23,13,1,3,45,14,0,0,0,141,56,41,57.7,Matches
22,23,Dani Alves,br BRA,DF,Barcelona,38,1983,12.2,2,1,0,27,6,0,75,11,19,0,1,0,98,9,8,52.9,Matches
