,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
29,30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,22.0,615,806,76.3,11065,4471,286,332,86.1,256,314,81.5,64,125,51.2,3,1.4,1.8,+1.6,22,100,18,3,94,Matches
30,31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,0.5,30,34,88.2,329,85,24,25,96.0,5,6,83.3,0,1,0.0,0,0.0,0.0,0.0,0,3,0,0,0,Matches
31,32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,23.3,1000,1320,75.8,16431,6050,511,579,88.3,383,493,77.7,87,166,52.4,1,2.8,3.0,-1.8,22,58,27,12,76,Matches
32,33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1.0,13,19,68.4,295,182,3,3,100.0,7,7,100.0,3,8,37.5,0,0.0,0.0,0.0,0,0,0,0,0,Matches
33,34,Sebastian Anderson,us USA,"DF,MF",Colorado Rapids,19,2002,0.1,6,8,75.0,87,12,4,4,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
34,35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,28.0,989,1258,78.6,19332,7155,393,459,85.6,427,505,84.6,154,241,63.9,2,0.7,1.3,+1.3,6,139,13,2,109,Matches
35,36,Iván Angulo,co COL,FW,Orlando City,22,1999,6.1,141,167,84.4,2009,425,91,103,88.3,35,42,83.3,10,12,83.3,2,0.8,0.7,+1.2,10,7,4,1,5,Matches
36,37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,2.5,100,121,82.6,2093,874,31,34,91.2,52,57,91.2,17,30,56.7,0,0.0,0.0,0.0,0,8,0,0,6,Matches
37,38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,0.5,10,15,66.7,134,60,8,9,88.9,2,3,66.7,0,3,0.0,0,0.0,0.0,0.0,1,0,0,0,0,Matches
38,39,Brian Anunga,cm CMR,MF,Nashville,25,1996,9.4,350,417,83.9,5754,1208,167,185,90.3,144,157,91.7,28,53,52.8,0,0.0,0.1,0.0,1,16,3,1,11,Matches
39,40,Cristian Arango,co COL,FW,Los Angeles FC,26,1995,26.0,312,484,64.5,4426,1285,190,259,73.4,93,132,70.5,15,29,51.7,4,4.0,3.2,0.0,21,28,27,3,49,Matches
40,41,César Araujo,uy URU,MF,Orlando City,20,2001,27.3,1335,1489,89.7,23402,7664,606,650,93.2,594,647,91.8,115,151,76.2,0,0.6,1.1,-0.6,12,155,8,2,94,Matches
41,42,Julian Araujo,mx MEX,DF,LA Galaxy,20,2001,30.5,1519,1831,83.0,24323,7910,760,831,91.5,630,741,85.0,83,156,53.2,5,4.1,3.9,+0.9,36,109,39,17,95,Matches
42,43,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,25,1996,24.3,674,940,71.7,11664,2803,322,370,87.0,230,308,74.7,86,160,53.8,5,5.0,5.4,0.0,44,57,34,8,62,Matches
43,44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,15.7,276,369,74.8,3595,509,164,211,77.7,72,94,76.6,14,14,100.0,1,1.7,1.9,-0.7,16,15,7,0,14,Matches
44,45,Adam Armour,us USA,MF,Charlotte,19,2002,0.9,29,41,70.7,424,114,18,24,75.0,10,13,76.9,1,2,50.0,0,0.2,0.1,-0.2,3,1,1,1,1,Matches
45,46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,24.1,1084,1230,88.1,22574,8485,309,333,92.8,609,650,93.7,157,223,70.4,0,0.9,0.3,-0.9,5,62,3,0,63,Matches
46,47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,21.0,850,1012,84.0,16245,6129,360,404,89.1,355,400,88.8,119,166,71.7,0,0.4,1.3,-0.4,12,132,9,1,118,Matches
47,48,Paul Arriola,us USA,FW,FC Dallas,26,1995,28.5,616,891,69.1,9329,2829,362,426,85.0,189,268,70.5,43,122,35.2,5,6.8,5.8,-1.8,58,71,42,7,80,Matches
48,49,Artur,br BRA,MF,Columbus Crew,25,1996,18.2,780,904,86.3,13960,3485,346,382,90.6,333,367,90.7,84,109,77.1,0,0.9,1.1,-0.9,11,72,8,1,40,Matches
49,50,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,29,1992,20.5,452,611,74.0,7068,1503,244,284,85.9,147,194,75.8,40,65,61.5,2,3.2,2.4,-1.2,16,22,10,4,33,Matches
50,51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,0.5,4,10,40.0,85,61,2,5,40.0,1,3,33.3,1,2,50.0,0,0.2,0.2,-0.2,1,1,0,0,1,Matches
51,52,Joshua Atencio,us USA,MF,Seattle,20,2002,8.1,458,540,84.8,7508,2040,234,256,91.4,165,190,86.8,44,69,63.8,0,0.1,0.3,-0.1,4,31,4,1,26,Matches
52,53,Roberto Avila,us USA,"FW,MF",Houston Dynamo,21,2000,1.8,24,27,88.9,335,84,16,17,94.1,4,4,100.0,1,3,33.3,0,0.0,0.1,0.0,0,1,1,0,1,Matches
53,54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,8.2,376,435,86.4,7298,1877,134,151,88.7,174,190,91.6,55,68,80.9,0,0.5,0.4,-0.5,8,41,9,1,38,Matches
54,55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,0.2,3,4,75.0,50,2,1,1,100.0,0,1,0.0,1,1,100.0,0,0.1,0.1,-0.1,1,0,0,0,0,Matches
55,56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,12.2,188,245,76.7,2664,646,113,134,84.3,59,74,79.7,7,17,41.2,2,1.5,1.4,+0.5,9,13,8,3,12,Matches
56,57,Zico Bailey,us USA,"DF,MF",FC Cincinnati,21,2000,0.9,28,36,77.8,384,151,17,22,77.3,10,11,90.9,0,1,0.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
57,58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,14.9,270,367,73.6,3603,873,167,200,83.5,83,104,79.8,8,26,30.8,4,3.3,2.8,+0.7,14,12,9,3,18,Matches
