,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
298,299,Gaël Kakuta,cd COD,"MF,FW",Lens,30,1991,18.6,945,3,58,531,365,41,944,27,53,50.9,65,36,755,118,Matches
299,300,Arnaud Kalimuendo,fr FRA,FW,Paris S-G,19,2002,0.1,7,0,0,4,3,0,7,0,0,,0,0,5,0,Matches
300,301,Arnaud Kalimuendo,fr FRA,FW,Lens,19,2002,23.9,723,0,24,296,413,96,721,27,61,44.3,81,61,598,169,Matches
301,302,Samuel Kalu,ng NGA,"FW,MF",Bordeaux,23,1997,3.6,175,1,17,74,87,20,175,10,22,45.5,12,8,132,35,Matches
302,303,Boubacar Kamara,fr FRA,"MF,DF",Marseille,21,1999,30.9,2705,88,635,1718,372,38,2705,16,26,61.5,31,14,2066,46,Matches
303,304,Hassane Kamara,ci CIV,"MF,DF",Nice,27,1994,6.0,362,9,65,189,112,12,362,4,9,44.4,6,6,253,23,Matches
304,305,Jean-Armel Kana-Biyik,cm CMR,DF,Metz,32,1989,7.4,389,47,249,136,8,2,389,1,3,33.3,1,1,232,0,Matches
305,306,Nordine Kandil,fr FRA,"MF,FW",Strasbourg,19,2001,1.0,82,2,11,35,39,2,82,5,10,50.0,2,5,63,9,Matches
306,307,Eiji Kawashima,jp JPN,GK,Strasbourg,38,1983,1.0,30,27,30,0,0,0,30,0,0,,0,0,15,0,Matches
307,308,Ilan Kebbal,dz ALG,"MF,FW",Reims,23,1998,19.7,1036,12,122,484,454,41,1036,29,53,54.7,54,38,769,110,Matches
308,309,Thilo Kehrer,de GER,DF,Paris S-G,24,1996,16.8,1349,93,474,729,150,23,1349,2,6,33.3,6,11,1040,21,Matches
309,310,Habib Keita,ml MLI,"MF,FW",Lyon,19,2002,0.1,8,0,1,3,4,1,8,0,0,,0,0,8,0,Matches
310,311,Saîf-Eddine Khaoui,tn TUN,"MF,FW",Clermont Foot,26,1995,10.3,483,5,55,243,191,29,483,12,17,70.6,23,13,318,51,Matches
311,312,Wahbi Khazri,tn TUN,"FW,MF",Saint-Étienne,30,1991,24.7,909,11,64,431,434,81,905,33,68,48.5,79,48,618,133,Matches
312,313,Presnel Kimpembe,fr FRA,DF,Paris S-G,25,1995,28.6,2453,224,836,1539,90,12,2453,8,11,72.7,15,5,1937,7,Matches
313,314,Thibault Klidje,tg TOG,"MF,FW",Bordeaux,20,2001,1.0,45,0,1,12,32,6,45,4,6,66.7,3,3,34,10,Matches
314,315,Justin Kluivert,nl NED,MF,Nice,22,1999,20.8,882,15,92,320,489,56,882,41,80,51.3,50,35,557,94,Matches
315,316,Samuel Koeberlé,fr FRA,FW,Reims,16,2004,0.0,2,0,0,1,1,0,2,0,0,,0,0,2,0,Matches
316,317,Philippe Koffi,fr FRA,FW,Reims,19,2002,4.2,133,5,13,54,66,24,133,5,7,71.4,22,3,100,32,Matches
