,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
29,30,Rocco Ascone,fr FRA,FW,Lille,17,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
30,31,Lorenz Assignon,tg TOG,DF,Rennes,21,2000,20,616,31,18.0,6.8,5,90,5,15,11,16,1.70,23,6,+17,+2.48,+1.68,14.3,7.2,+7.2,+1.05,+0.56,Matches
31,32,Youcef Atal,dz ALG,DF,Nice,25,1996,17,1140,67,33.3,12.7,13,78,6,4,31,4,1.29,20,12,+8,+0.63,+0.32,21.7,12.7,+9.0,+0.71,+0.59,Matches
32,33,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,7,84,12,2.5,0.9,0,,0,7,12,7,1.14,1,1,0,0.00,-0.19,0.7,1.4,-0.8,-0.81,-0.68,Matches
33,34,Eric Ayiah,gh GHA,FW,Monaco,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
34,35,Karim Azamoum,fr FRA,DF,Troyes,31,1990,7,388,55,11.3,4.3,4,75,3,3,29,0,0.71,4,6,-2,-0.46,-0.05,4.2,6.0,-1.8,-0.41,-0.11,Matches
35,36,Ousmane Ba,sn SEN,GK,Metz,19,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
36,37,Loïc Bade,fr FRA,DF,Rennes,21,2000,14,985,70,28.8,10.9,11,85,9,3,15,12,1.64,17,9,+8,+0.73,-0.53,19.2,13.8,+5.4,+0.50,-0.13,Matches
37,38,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,24,1838,77,53.7,20.4,21,86,18,3,8,2,2.08,35,22,+13,+0.64,-0.05,36.0,24.8,+11.2,+0.55,-0.01,Matches
38,39,Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,9,135,15,3.9,1.5,1,71,0,8,8,8,0.33,2,3,-1,-0.67,-0.47,1.3,2.8,-1.5,-1.00,-0.61,Matches
39,40,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,29,1099,38,32.1,12.2,12,70,0,17,15,2,1.17,15,16,-1,-0.08,+0.31,16.5,14.8,+1.7,+0.14,+0.43,Matches
40,41,Dénys Bain,fr FRA,DF,Brest,28,1993,2,180,90,5.3,2.0,2,90,2,0,,17,0.00,2,6,-4,-2.00,-1.89,1.3,6.0,-4.7,-2.37,-2.07,Matches
41,42,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,7,510,73,14.9,5.7,4,90,4,3,50,12,0.14,4,13,-9,-1.59,-0.78,5.8,10.0,-4.3,-0.76,-0.29,Matches
42,43,Cédric Bakambu,cd COD,FW,Marseille,30,1991,12,356,30,10.4,4.0,5,57,0,7,10,3,2.25,11,10,+1,+0.25,-0.45,8.5,3.5,+5.0,+1.26,+0.76,Matches
43,44,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,4,307,77,9.0,3.4,4,77,2,0,,1,1.00,4,6,-2,-0.59,+0.37,3.4,4.9,-1.5,-0.43,+0.08,Matches
44,45,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,5,43,9,1.3,0.5,0,,0,5,9,4,1.40,0,2,-2,-4.19,-3.20,0.4,1.6,-1.2,-2.28,-1.69,Matches
45,46,Ibrahima Baldé,fr FRA,"FW,MF",Lens,18,2003,4,58,15,1.7,0.6,0,,0,4,15,9,0.75,1,1,0,0.00,-0.37,0.9,0.9,+0.1,+0.10,-0.13,Matches
46,47,Carlos Baleba,cm CMR,MF,Lille,17,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
47,48,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,17,950,56,27.8,10.6,10,88,7,7,11,8,2.29,21,11,+10,+0.95,+0.40,17.9,11.8,+6.0,+0.57,-0.01,Matches
48,49,Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,10,458,46,13.4,5.1,4,88,3,6,18,13,1.20,4,9,-5,-0.98,-0.80,5.3,12.1,-6.8,-1.34,-1.37,Matches
49,50,Jonathan Bamba,fr FRA,"MF,FW",Lille,25,1996,31,2428,78,71.0,27.0,28,83,10,3,31,0,1.35,31,31,0,0.00,0.00,37.9,29.7,+8.2,+0.30,+0.10,Matches
50,51,Robson Bambu,br BRA,DF,Nice,23,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
51,52,Simon Banza,fr FRA,FW,Lens,24,1996,4,124,31,3.6,1.4,1,64,0,3,20,0,1.50,4,1,+3,+2.18,+1.88,2.3,1.2,+1.1,+0.78,+0.57,Matches
52,53,Danilo Barbosa,br BRA,DF,Nice,25,1996,1,90,90,2.6,1.0,1,90,1,0,,8,1.00,0,0,0,0.00,-0.43,0.2,1.1,-1.0,-0.99,-1.34,Matches
53,54,Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,11,263,24,7.7,2.9,2,70,0,9,14,8,1.82,11,5,+6,+2.05,+1.80,10.4,7.7,+2.7,+0.91,+0.50,Matches
54,55,Malcolm Barcola,tg TOG,GK,Lyon,22,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
55,56,Melvin Bard,fr FRA,DF,Nice,20,2000,33,2589,78,75.7,28.8,30,85,23,3,16,2,1.67,38,28,+10,+0.35,-0.30,45.9,38.6,+7.3,+0.25,-0.28,Matches
56,57,Gabriel Bares,ch SUI,MF,Montpellier,20,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
57,58,Yacouba Barry,fr FRA,MF,Lens,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
58,59,Teddy Bartouche,fr FRA,GK,Lorient,24,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
59,60,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,3,209,70,6.1,2.3,3,70,0,0,,0,0.67,3,3,0,0.00,+1.09,2.0,4.1,-2.1,-0.92,-0.33,Matches
60,61,Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,5,184,37,5.4,2.0,2,68,0,3,16,13,0.80,1,3,-2,-0.98,-0.09,1.9,3.2,-1.3,-0.63,+0.32,Matches
61,62,Paul Baysse,fr FRA,"MF,DF",Bordeaux,33,1988,2,11,6,0.3,0.1,0,,0,2,6,7,2.00,0,0,0,0.00,+1.03,0.0,0.5,-0.5,-4.06,-3.46,Matches
62,63,Joffrey Bazié,bf BFA,FW,Lille,17,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
63,64,Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,13,825,63,24.1,9.2,11,68,1,2,38,1,0.85,15,16,-1,-0.11,+0.13,14.6,17.4,-2.8,-0.31,+0.13,Matches
64,65,Haris Belkebla,dz ALG,MF,Brest,27,1994,31,2310,75,67.5,25.7,26,84,19,5,24,3,1.29,32,37,-5,-0.19,+0.05,28.6,44.7,-16.1,-0.63,-0.68,Matches
65,66,Yassin Belkhdim,fr FRA,MF,Angers,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
66,67,Alaa Bellaarouch,ma MAR,GK,Strasbourg,19,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
67,68,Yuliwes Bellache,fr FRA,MF,Clermont Foot,18,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
68,69,Raoul Bellanova,it ITA,"DF,MF",Bordeaux,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
69,70,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,36,2332,65,68.2,25.9,26,83,14,10,19,0,1.67,35,31,+4,+0.15,-0.92,40.5,35.6,+5.0,+0.19,-0.37,Matches
