,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
52,53,Tom Bischof,de GER,MF,Hoffenheim,16,2005,0.2,7,1,1,1,5,0,7,0,0,,0,1,5,1,Matches
53,54,Danny Blum,de GER,FW,Bochum,30,1991,3.8,217,1,18,90,112,14,217,5,8,62.5,8,3,141,23,Matches
54,55,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,7.7,400,12,58,249,96,12,400,6,9,66.7,18,13,262,13,Matches
55,56,Herbert Bockhorn,de GER,DF,Bochum,26,1995,9.4,490,25,138,235,129,11,490,15,23,65.2,20,9,236,14,Matches
56,57,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,20.0,1156,20,223,674,270,12,1156,22,32,68.8,41,28,733,43,Matches
57,58,Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,0.2,18,0,2,6,11,2,18,1,1,100.0,3,1,12,1,Matches
58,59,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,0.1,5,0,1,3,1,0,5,0,0,,0,0,3,0,Matches
59,60,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,22.3,1411,202,844,543,31,26,1411,2,4,50.0,5,3,905,6,Matches
60,61,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,26.4,983,10,59,467,474,102,983,29,56,51.8,95,30,715,161,Matches
61,62,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,21.1,1019,211,637,358,28,18,1019,3,4,75.0,8,0,591,0,Matches
62,63,Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,23.1,1567,24,179,790,611,49,1567,38,65,58.5,58,31,1140,135,Matches
63,64,Iker Bravo,es ESP,FW,Leverkusen,16,2005,0.1,2,0,0,1,1,0,2,0,0,,1,0,1,0,Matches
64,65,Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4.0,142,117,140,2,0,0,142,0,0,,2,0,56,0,Matches
65,66,Josip Brekalo,hr CRO,FW,Wolfsburg,23,1998,0.2,19,0,1,9,10,1,19,1,1,100.0,1,2,15,2,Matches
66,67,Brian Brobbey,nl NED,"FW,MF",RB Leipzig,19,2002,1.5,48,0,0,23,25,7,48,2,2,100.0,8,1,39,10,Matches
67,68,John Brooks,us USA,DF,Wolfsburg,28,1993,29.1,2041,216,1017,966,69,25,2041,9,13,69.2,23,5,1280,3,Matches
68,69,Daniel Brosinski,de GER,DF,Mainz 05,33,1988,4.3,275,16,72,122,85,0,275,0,2,0.0,6,2,146,12,Matches
69,70,Cédric Brunner,ch SUI,DF,Arminia,27,1994,24.3,1410,105,482,643,300,6,1410,15,28,53.6,20,11,595,24,Matches
70,71,Jacob Bruun Larsen,dk DEN,"FW,MF",Hoffenheim,22,1998,9.0,384,5,54,149,187,47,384,9,21,42.9,22,6,290,76,Matches
71,72,Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,600,503,592,8,0,0,600,0,0,,0,0,259,0,Matches
72,73,Delano Burgzorg,nl NED,MF,Mainz 05,22,1998,0.3,13,0,1,2,10,5,13,1,4,25.0,2,0,8,3,Matches
73,74,Jonathan Burkardt,de GER,"FW,MF",Mainz 05,21,2000,29.0,985,21,78,437,491,158,984,40,79,50.6,117,62,705,180,Matches
74,75,Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,24,14,23,1,0,0,24,0,0,,0,0,10,0,Matches
75,76,Jamie Bynoe-Gittens,eng ENG,FW,Dortmund,16,2004,1.5,72,3,8,27,39,8,72,13,21,61.9,6,5,57,10,Matches
76,77,Daniel Caligiuri,it ITA,"DF,MF",Augsburg,33,1988,22.3,1226,61,261,568,422,30,1223,40,64,62.5,69,37,595,66,Matches
77,78,Emre Can,de GER,"DF,MF",Dortmund,27,1994,18.8,1634,102,550,943,155,16,1630,18,27,66.7,22,9,1137,21,Matches
78,79,Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,1144,917,1137,11,0,0,1144,2,2,100.0,1,0,605,0,Matches
79,80,Gonzalo Castro,de GER,"MF,FW",Arminia,34,1987,4.8,213,4,37,108,75,8,213,2,5,40.0,10,2,114,15,Matches
80,81,Julian Chabot,de GER,DF,Köln,23,1998,2.3,186,12,99,83,4,2,186,1,2,50.0,3,0,108,0,Matches
81,82,Timothy Chandler,us USA,DF,Eint Frankfurt,31,1990,13.5,672,39,187,284,206,26,672,3,8,37.5,15,6,350,27,Matches
82,83,Justin Che,us USA,"FW,DF",Hoffenheim,17,2003,0.5,27,0,4,16,7,2,27,0,0,,0,0,19,4,Matches
83,84,Max Christiansen,de GER,MF,Greuther Fürth,24,1996,22.8,1229,101,384,753,103,7,1229,5,12,41.7,16,8,632,6,Matches
84,85,Kingsley Coman,fr FRA,"FW,DF",Bayern Munich,25,1996,15.1,914,11,70,316,541,107,914,48,85,56.5,51,29,733,145,Matches
85,86,Lucas Copado,de GER,FW,Bayern Munich,17,2004,0.2,8,0,2,2,4,2,8,1,1,100.0,1,0,3,0,Matches
86,87,Sergio Córdova,ve VEN,"FW,MF",Augsburg,23,1997,3.6,93,4,12,36,47,16,93,2,8,25.0,8,9,63,11,Matches
87,88,Danny da Costa,de GER,"DF,MF",Eint Frankfurt,28,1993,8.1,396,28,117,174,111,9,396,5,11,45.5,11,2,171,12,Matches
88,89,Tanguy Coulibaly,fr FRA,"FW,MF",Stuttgart,20,2001,12.0,491,10,99,210,194,25,491,22,43,51.2,43,15,303,62,Matches
89,90,Mickaël Cuisance,fr FRA,MF,Bayern Munich,21,1999,0.1,13,0,2,8,3,1,13,1,1,100.0,0,2,10,1,Matches
90,91,Matheus Cunha,br BRA,FW,Hertha BSC,22,1999,0.7,20,0,2,11,7,3,20,1,2,50.0,3,2,11,1,Matches
91,92,Rafael Czichos,de GER,DF,Köln,31,1990,15.6,1226,143,652,553,31,15,1226,4,6,66.7,8,0,790,2,Matches
92,93,Lennart-Marten Czyborra,de GER,DF,Arminia,22,1999,1.5,63,4,19,27,19,0,63,1,4,25.0,1,3,25,1,Matches
93,94,Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,29,1992,14.6,676,5,58,326,301,75,676,17,45,37.8,41,36,480,99,Matches
94,95,Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,83,69,83,0,0,0,83,0,0,,0,0,42,0,Matches
95,96,Mahmoud Dahoud,de GER,MF,Dortmund,25,1996,18.4,1259,43,236,743,294,24,1259,26,41,63.4,31,13,867,36,Matches
96,97,Márton Dárdai,de GER,DF,Hertha BSC,19,2002,8.4,479,48,290,164,27,6,479,3,3,100.0,5,4,281,1,Matches
97,98,Vladimír Darida,cz CZE,MF,Hertha BSC,30,1990,19.8,1146,32,254,635,264,19,1146,18,29,62.1,37,23,735,49,Matches
98,99,Alphonso Davies,ca CAN,DF,Bayern Munich,20,2000,19.3,1572,46,358,666,587,82,1572,80,124,64.5,47,24,1022,103,Matches
99,100,Saulo Decarli,ch SUI,DF,Bochum,29,1992,0.1,7,0,1,4,2,1,7,0,0,,0,0,5,0,Matches
100,101,Thomas Delaney,dk DEN,MF,Dortmund,29,1991,0.2,13,0,2,10,1,0,13,0,1,0.0,0,0,8,0,Matches
101,102,Kerem Demirbay,de GER,MF,Leverkusen,28,1993,22.8,1670,74,358,930,397,33,1669,28,42,66.7,34,23,1038,38,Matches
102,103,Ermedin Demirović,ba BIH,FW,Freiburg,23,1998,9.7,299,8,33,101,169,54,299,10,19,52.6,31,14,191,64,Matches
103,104,Mike van der Hoorn,nl NED,DF,Arminia,28,1992,0.2,5,2,4,1,0,0,5,0,0,,0,0,2,0,Matches
104,105,Moussa Diaby,fr FRA,"FW,MF",Leverkusen,22,1999,30.7,1294,6,98,594,629,128,1293,56,129,43.4,71,30,1021,191,Matches
105,106,Daniel Didavi,de GER,"MF,FW",Stuttgart,31,1990,3.1,146,1,13,68,68,8,146,5,7,71.4,9,6,104,23,Matches
106,107,Javairô Dilrosun,nl NED,FW,Hertha BSC,23,1998,1.5,51,1,14,28,11,0,51,2,4,50.0,3,3,34,2,Matches
107,108,Lee Dongjun,kr KOR,"MF,FW",Hertha BSC,24,1997,1.3,46,0,7,17,23,7,46,2,8,25.0,6,4,23,6,Matches
108,109,Niklas Dorsch,de GER,MF,Augsburg,23,1998,25.8,1362,81,469,784,132,0,1362,34,48,70.8,22,24,717,7,Matches
109,110,Ondrej Duda,sk SVK,"MF,FW",Köln,26,1994,17.9,893,17,85,485,337,47,893,37,66,56.1,66,24,594,78,Matches
110,111,Jeremy Dudziak,tn TUN,"MF,FW",Greuther Fürth,25,1995,12.6,464,4,57,226,190,32,464,14,33,42.4,29,23,268,51,Matches
111,112,Erik Durm,de GER,DF,Eint Frankfurt,29,1992,5.3,333,13,84,179,72,4,333,0,1,0.0,6,4,165,6,Matches
112,113,Maximilian Eggestein,de GER,MF,Freiburg,24,1996,24.4,1204,53,239,661,312,34,1204,7,19,36.8,42,22,686,43,Matches
113,114,Lilian Egloff,de GER,"MF,DF",Stuttgart,18,2002,0.3,16,0,2,7,7,1,16,0,0,,5,0,12,4,Matches
114,115,Kingsley Ehizibue,nl NED,DF,Köln,26,1995,7.6,474,30,194,201,85,4,474,5,15,33.3,13,6,232,11,Matches
115,116,Julian Eitschberger,de GER,DF,Hertha BSC,17,2004,0.5,38,4,16,18,4,1,38,0,0,,0,0,19,1,Matches
116,117,Jurgen Ekkelenkamp,nl NED,"MF,FW",Hertha BSC,21,2000,8.0,330,3,44,170,120,26,330,6,12,50.0,27,11,219,38,Matches
117,118,Nico Elvedi,ch SUI,DF,M'Gladbach,24,1996,27.0,1988,204,1071,888,41,23,1988,6,7,85.7,9,6,1323,3,Matches
118,119,Breel Embolo,ch SUI,"FW,MF",M'Gladbach,24,1997,24.1,861,18,43,445,381,103,861,42,77,54.5,93,63,684,160,Matches
119,120,Keita Endo,jp JPN,MF,Union Berlin,23,1997,0.6,36,0,5,12,19,4,36,0,1,0.0,2,0,27,5,Matches
120,121,Wataru Endo,jp JPN,MF,Stuttgart,28,1993,32.2,1970,95,493,1145,356,54,1970,34,54,63.0,51,42,1280,57,Matches
121,122,Michael Esser,de GER,GK,Bochum,33,1987,3.0,146,126,146,0,0,0,146,0,0,,0,0,73,0,Matches
122,123,Wahidullah Faghir,dk DEN,FW,Stuttgart,18,2003,1.4,47,0,0,17,32,6,47,5,6,83.3,4,1,43,17,Matches
123,124,Ömer Faruk Beyaz,tr TUR,"DF,MF",Stuttgart,17,2003,0.8,54,0,6,22,26,3,54,0,1,0.0,6,1,34,3,Matches
124,125,Adrian Fein,de GER,MF,Greuther Fürth,22,1999,0.4,12,0,2,8,2,1,12,0,0,,0,1,7,1,Matches
125,126,Ohis Felix Uduokhai,de GER,DF,Augsburg,23,1997,8.7,503,65,291,196,22,3,503,8,9,88.9,1,5,311,2,Matches
126,127,Edimilson Fernandes,ch SUI,"MF,FW",Arminia,25,1996,3.1,157,11,30,68,61,6,157,3,4,75.0,5,6,102,6,Matches
127,128,Alfreð Finnbogason,is ISL,FW,Augsburg,32,1989,3.2,110,10,18,47,46,13,110,2,7,28.6,9,5,74,12,Matches
128,129,Mark Flekken,nl NED,GK,Freiburg,28,1993,32.0,1397,1089,1372,27,0,0,1397,2,2,100.0,0,0,686,0,Matches
129,130,Emil Forsberg,se SWE,MF,RB Leipzig,29,1991,19.0,943,8,69,477,410,61,939,23,31,74.2,55,26,735,110,Matches
130,131,Philipp Förster,de GER,"MF,FW",Stuttgart,26,1995,10.7,572,3,66,280,231,36,572,9,18,50.0,23,10,396,49,Matches
131,132,Timothy Fosu-Mensah,nl NED,DF,Leverkusen,23,1998,1.6,109,5,33,51,28,1,109,1,2,50.0,2,0,54,4,Matches
132,133,Raphael Framberger,de GER,DF,Augsburg,25,1995,9.4,543,30,159,236,154,4,543,6,12,50.0,14,2,263,17,Matches
133,134,Marvin Friedrich,de GER,DF,M'Gladbach,25,1995,6.7,549,48,306,228,15,9,549,0,1,0.0,2,0,397,3,Matches
134,135,Marvin Friedrich,de GER,DF,Union Berlin,25,1995,13.0,773,91,404,330,46,19,773,5,7,71.4,11,5,462,6,Matches
135,136,Jeremie Frimpong,nl NED,DF,Leverkusen,20,2000,22.8,1449,70,458,642,375,60,1449,47,79,59.5,48,26,876,67,Matches
136,137,Christian Früchtl,de GER,GK,Bayern Munich,21,2000,0.1,4,2,4,0,0,0,4,0,0,,0,0,2,0,Matches
137,138,Chris Führich,de GER,"FW,MF",Stuttgart,23,1998,19.0,894,16,109,408,400,41,894,40,65,61.5,42,23,577,66,Matches
138,139,Marius Funk,de GER,GK,Greuther Fürth,25,1996,8.0,391,326,390,1,0,0,391,0,0,,0,0,195,0,Matches
139,140,Stephan Fürstner,de GER,MF,Mainz 05,33,1987,0.1,5,0,1,4,0,0,5,0,0,,0,0,2,0,Matches
140,141,Mijat Gaćinović,rs SRB,"FW,MF",Hoffenheim,26,1995,1.2,63,2,11,36,18,1,63,3,3,100.0,2,2,36,2,Matches
141,142,Cristian Gamboa,cr CRC,DF,Bochum,31,1989,19.1,1169,77,470,564,159,7,1169,14,22,63.6,17,7,565,13,Matches
142,143,Silvère Ganvoula M'Boussy,cg CGO,FW,Bochum,25,1996,1.7,80,2,3,36,43,9,80,2,3,66.7,9,4,57,9,Matches
143,144,Linus Gechter,de GER,DF,Hertha BSC,17,2004,8.0,467,61,252,200,19,6,467,1,1,100.0,8,1,294,2,Matches
144,145,Dennis Geiger,de GER,MF,Hoffenheim,23,1998,15.3,903,25,184,530,199,13,903,5,10,50.0,15,9,580,19,Matches
145,146,Yannick Gerhardt,de GER,"MF,DF",Wolfsburg,27,1994,17.5,1019,39,223,556,256,34,1019,14,21,66.7,34,15,597,63,Matches
146,147,Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,30,1990,5.5,169,7,14,77,78,21,169,0,4,0.0,16,6,121,31,Matches
147,148,Niko Gießelmann,de GER,"DF,FW",Union Berlin,29,1991,23.1,1288,42,311,585,406,32,1288,4,20,20.0,24,9,703,36,Matches
148,149,Rafał Gikiewicz,pl POL,GK,Augsburg,33,1987,34.0,1350,1085,1329,21,0,0,1350,0,0,,3,0,553,0,Matches
149,150,Daniel Ginczek,de GER,"MF,FW",Wolfsburg,30,1991,0.1,7,0,1,3,3,1,7,0,0,,1,0,4,1,Matches
150,151,Matthias Ginter,de GER,DF,M'Gladbach,27,1994,26.2,2014,137,883,966,175,44,2014,6,10,60.0,11,3,1435,25,Matches
151,152,Serge Gnabry,de GER,"FW,DF",Bayern Munich,26,1995,24.3,1647,14,170,680,818,148,1647,63,104,60.6,62,21,1248,221,Matches
152,153,Leon Goretzka,de GER,MF,Bayern Munich,26,1995,15.5,1035,27,188,555,302,57,1035,10,14,71.4,27,13,733,67,Matches
153,154,Jeffrey Gouweleeuw,nl NED,DF,Augsburg,30,1991,28.6,1531,198,857,622,76,26,1530,14,19,73.7,23,6,787,9,Matches
154,155,Jens Grahl,de GER,GK,Eint Frankfurt,32,1988,1.0,32,32,32,0,0,0,32,0,0,,0,0,14,0,Matches
155,156,Julian Green,us USA,MF,Greuther Fürth,26,1995,11.7,531,9,67,282,189,9,531,8,17,47.1,19,5,340,38,Matches
156,157,Michael Gregoritsch,at AUT,"FW,MF",Augsburg,27,1994,15.5,608,35,72,323,219,60,607,5,20,25.0,39,14,383,65,Matches
157,158,Sebastian Griesbeck,de GER,"DF,MF",Greuther Fürth,30,1990,27.1,1177,133,630,514,44,18,1177,4,7,57.1,24,8,572,4,Matches
158,159,Sebastian Griesbeck,de GER,MF,Union Berlin,30,1990,0.1,2,0,0,2,0,0,2,0,0,,0,0,0,0,Matches
159,160,Vincenzo Grifo,it ITA,"MF,FW",Freiburg,28,1993,30.8,1678,38,207,779,710,72,1672,37,60,61.7,48,28,1100,95,Matches
160,161,Lennart Grill,de GER,GK,Leverkusen,22,1999,1.0,50,45,50,0,0,0,50,0,0,,0,0,23,0,Matches
161,162,Florian Grillitsch,at AUT,"DF,MF",Hoffenheim,25,1995,16.6,1206,115,484,649,85,6,1206,5,8,62.5,9,5,785,14,Matches
162,163,Carlos Gruezo,ec ECU,MF,Augsburg,26,1995,10.8,412,24,118,240,59,4,412,3,3,100.0,11,8,217,5,Matches
163,164,Raphaël Guerreiro,pt POR,DF,Dortmund,27,1993,19.9,1702,44,410,860,445,29,1701,26,49,53.1,30,13,1196,63,Matches
164,165,Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,30,1990,10.5,665,66,264,342,68,12,665,7,8,87.5,12,9,352,10,Matches
165,166,Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33.0,1240,1011,1211,31,0,0,1240,0,0,,2,1,649,0,Matches
166,167,Manuel Gulde,de GER,DF,Freiburg,30,1991,13.6,692,71,372,308,17,3,692,2,4,50.0,6,1,409,0,Matches
167,168,Robert Gumny,pl POL,DF,Augsburg,23,1998,25.2,1189,92,478,499,219,25,1189,12,23,52.2,20,17,575,19,Matches
168,169,Christian Günter,de GER,"DF,MF",Freiburg,28,1993,34.0,1893,72,428,780,705,51,1893,20,45,44.4,39,7,1046,104,Matches
169,170,Lasse Günther,de GER,DF,Augsburg,18,2003,1.8,83,5,34,33,17,2,83,1,1,100.0,1,1,45,3,Matches
170,171,Joško Gvardiol,hr CRO,DF,RB Leipzig,19,2002,26.8,2414,190,986,1271,185,31,2414,37,49,75.5,28,20,1691,14,Matches
171,172,Erling Haaland,no NOR,FW,Dortmund,21,2000,21.2,692,31,51,290,357,144,686,13,24,54.2,58,16,501,145,Matches
172,173,Janik Haberer,de GER,MF,Freiburg,27,1994,9.1,413,20,104,217,98,11,413,2,6,33.3,14,6,209,12,Matches
173,174,Alexander Hack,de GER,DF,Mainz 05,27,1993,23.0,1431,172,768,610,61,31,1431,7,12,58.3,15,1,713,4,Matches
174,175,Robin Hack,de GER,"FW,MF",Arminia,22,1998,15.2,684,10,82,327,288,33,684,28,58,48.3,58,36,477,64,Matches
175,176,André Hahn,de GER,"MF,FW",Augsburg,30,1990,23.3,758,52,138,298,330,77,758,13,31,41.9,64,22,447,57,Matches
176,177,Amadou Haidara,ml MLI,MF,RB Leipzig,23,1998,14.7,930,8,136,643,161,13,930,19,24,79.2,16,15,615,21,Matches
177,178,Marcel Halstenberg,de GER,DF,RB Leipzig,29,1991,5.6,468,23,176,248,47,8,468,7,8,87.5,5,1,322,6,Matches
178,179,Genki Haraguchi,jp JPN,MF,Union Berlin,30,1991,19.5,758,24,147,419,201,27,758,13,21,61.9,25,14,407,36,Matches
179,180,Luis Hartwig,de GER,FW,Bochum,18,2002,0.0,2,0,0,2,0,0,2,0,0,,0,0,1,0,Matches
180,181,Makoto Hasebe,jp JPN,DF,Eint Frankfurt,37,1984,13.2,1062,91,479,565,23,0,1062,5,7,71.4,4,3,678,2,Matches
181,182,Thorgan Hazard,be BEL,"FW,DF",Dortmund,28,1993,14.9,977,18,151,432,402,54,977,23,42,54.8,23,17,652,84,Matches
182,183,Jonas Hector,de GER,DF,Köln,31,1990,28.4,1956,114,617,936,428,60,1956,16,31,51.6,28,12,1098,71,Matches
183,184,Hwang Hee-chan,kr KOR,FW,RB Leipzig,25,1996,0.5,15,0,1,7,7,2,15,2,3,66.7,2,0,12,2,Matches
184,185,Dominique Heintz,de GER,DF,Union Berlin,27,1993,5.2,305,25,113,183,11,2,305,3,4,75.0,3,0,189,1,Matches
185,186,Dominique Heintz,de GER,DF,Freiburg,27,1993,0.3,22,1,17,5,0,0,22,0,0,,0,0,18,0,Matches
