,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
30,31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,2.3,0,1,0,0.0,0.43,0.00,0.00,,25.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
31,32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,0,5,1,20.0,0.27,0.05,0.00,0.00,12.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
32,33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,1,13,5,38.5,0.54,0.21,0.08,0.20,9.9,0,0,0,1.8,1.8,0.14,-0.8,-0.8,Matches
34,35,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,21.0,7,42,17,40.5,2.00,0.81,0.17,0.41,13.5,0,0,0,7.6,7.6,0.18,-0.6,-0.6,Matches
36,37,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,2.7,1,7,3,42.9,2.61,1.12,0.14,0.33,14.2,0,0,0,0.7,0.7,0.10,+0.3,+0.3,Matches
37,38,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,23.2,7,46,14,30.4,1.98,0.60,0.15,0.50,11.8,0,0,0,9.5,9.5,0.21,-2.5,-2.5,Matches
38,39,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,19.5,4,37,18,48.6,1.89,0.92,0.11,0.22,20.1,1,0,0,3.3,3.3,0.09,+0.7,+0.7,Matches
39,40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,5.5,2,16,7,43.8,2.89,1.26,0.13,0.29,11.5,0,0,0,3.0,3.0,0.19,-1.0,-1.0,Matches
40,41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,18.2,5,31,17,54.8,1.71,0.94,0.13,0.24,13.1,0,1,1,4.3,3.5,0.11,+0.7,+0.5,Matches
41,42,Stefan Bell,de GER,DF,Mainz 05,29,1991,31.8,2,22,5,22.7,0.69,0.16,0.09,0.40,10.2,0,0,0,2.0,2.0,0.09,0.0,0.0,Matches
42,43,Armel Bella Kotchap,de GER,DF,Bochum,19,2001,19.6,0,10,3,30.0,0.51,0.15,0.00,0.00,15.6,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
43,44,Karim Bellarabi,de GER,"FW,MF",Leverkusen,31,1990,7.6,3,28,11,39.3,3.69,1.45,0.11,0.27,17.4,0,0,0,2.5,2.5,0.09,+0.5,+0.5,Matches
44,45,Jude Bellingham,eng ENG,MF,Dortmund,18,2003,31.0,3,44,12,27.3,1.42,0.39,0.07,0.25,18.1,0,0,0,5.2,5.2,0.12,-2.2,-2.2,Matches
45,46,George Bello,us USA,DF,Arminia,19,2002,4.8,0,3,0,0.0,0.62,0.00,0.00,,24.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
46,47,László Bénes,sk SVK,MF,M'Gladbach,23,1997,2.7,0,7,5,71.4,2.56,1.83,0.00,0.00,22.6,2,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches
47,48,Keanan Bennetts,eng ENG,"FW,DF",M'Gladbach,22,1999,0.6,0,1,0,0.0,1.80,0.00,0.00,,19.3,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
48,49,Ramy Bensebaini,dz ALG,DF,M'Gladbach,26,1995,22.4,4,28,7,25.0,1.25,0.31,0.07,0.29,17.4,1,2,2,4.1,2.5,0.09,-0.1,-0.5,Matches
49,50,Louis Beyer,de GER,DF,M'Gladbach,21,2000,15.4,0,7,0,0.0,0.46,0.00,0.00,,13.1,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
50,51,Bartosz Bialek,pl POL,"FW,DF",Wolfsburg,19,2001,2.0,0,6,2,33.3,3.03,1.01,0.00,0.00,13.7,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
51,52,Ermin Bičakčić,ba BIH,DF,Hoffenheim,31,1990,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
52,53,Tom Bischof,de GER,MF,Hoffenheim,16,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
53,54,Danny Blum,de GER,FW,Bochum,30,1991,3.8,2,11,5,45.5,2.86,1.30,0.18,0.40,16.5,1,0,0,0.9,0.9,0.08,+1.1,+1.1,Matches
54,55,Kevin-Prince Boateng,gh GHA,"MF,FW",Hertha BSC,34,1987,7.7,0,10,2,20.0,1.29,0.26,0.00,0.00,22.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
55,56,Herbert Bockhorn,de GER,DF,Bochum,26,1995,9.4,0,7,2,28.6,0.74,0.21,0.00,0.00,23.4,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
56,57,Jean-Paul Boëtius,nl NED,MF,Mainz 05,27,1994,20.0,2,24,8,33.3,1.20,0.40,0.08,0.25,24.4,1,0,0,1.3,1.3,0.06,+0.7,+0.7,Matches
57,58,Tarsis Bonga,de GER,"MF,FW",Bochum,24,1997,0.2,0,3,1,33.3,15.88,5.29,0.00,0.00,14.9,0,0,0,0.5,0.5,0.16,-0.5,-0.5,Matches
58,59,Solomon Bonnah,nl NED,DF,RB Leipzig,17,2003,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
59,60,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,22,1999,22.3,1,13,4,30.8,0.58,0.18,0.08,0.25,11.0,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
60,61,Rafael Borré,co COL,FW,Eint Frankfurt,25,1995,26.4,8,53,24,45.3,2.01,0.91,0.15,0.33,14.5,0,0,0,8.9,8.9,0.17,-0.9,-0.9,Matches
61,62,Dedryck Boyata,be BEL,DF,Hertha BSC,30,1990,21.1,0,10,2,20.0,0.47,0.09,0.00,0.00,9.7,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
62,63,Julian Brandt,de GER,"MF,FW",Dortmund,25,1996,23.1,9,34,15,44.1,1.47,0.65,0.26,0.60,17.1,0,0,0,5.6,5.6,0.17,+3.4,+3.4,Matches
63,64,Iker Bravo,es ESP,FW,Leverkusen,16,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
