,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
29,30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,2,3,66.7,24,11,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
30,31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,220,292,75.3,5868,3676,36,36,100.0,109,112,97.3,74,142,52.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches
31,32,Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,528,658,80.2,7849,2118,296,343,86.3,190,229,83.0,26,40,65.0,1,2.0,1.6,-1.0,30,44,13,4,38,Matches
32,33,Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,168,238,70.6,2191,412,109,123,88.6,46,69,66.7,5,15,33.3,0,0.2,0.9,-0.2,1,10,6,1,11,Matches
33,34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,1102,1633,67.5,21196,9940,495,561,88.2,440,622,70.7,156,375,41.6,5,4.7,4.1,+0.3,44,103,26,19,75,Matches
34,35,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,168,239,70.3,2246,616,108,140,77.1,47,61,77.0,6,15,40.0,1,0.8,0.6,+0.2,7,7,5,3,7,Matches
35,36,Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,97,138,70.3,1268,113,58,76,76.3,33,44,75.0,2,6,33.3,1,0.9,0.3,+0.1,10,2,0,0,3,Matches
36,37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,20,29,69.0,628,524,4,4,100.0,9,9,100.0,7,16,43.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
37,38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,27,28,96.4,350,83,16,16,100.0,8,8,100.0,1,1,100.0,0,0.1,0.0,-0.1,3,2,1,0,1,Matches
38,39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,21,29,72.4,503,119,2,2,100.0,15,19,78.9,4,8,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
39,40,Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,152,223,68.2,2943,1079,65,83,78.3,65,80,81.3,21,53,39.6,0,0.6,0.6,-0.6,4,12,6,3,11,Matches
40,41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,55,61,90.2,1093,387,17,18,94.4,32,33,97.0,5,9,55.6,0,0.0,0.0,0.0,0,2,0,0,3,Matches
41,42,Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,54,68,79.4,1085,234,23,27,85.2,13,18,72.2,13,17,76.5,0,0.0,0.3,0.0,0,5,1,1,2,Matches
42,43,Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,489,676,72.3,7407,2005,279,325,85.8,156,197,79.2,35,93,37.6,4,3.8,3.7,+0.2,41,23,17,7,31,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,266,322,82.6,5449,1538,99,118,83.9,114,122,93.4,48,65,73.8,0,0.1,0.2,-0.1,4,30,3,1,28,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,163,247,66.0,4581,3339,29,29,100.0,81,85,95.3,52,132,39.4,0,0.0,0.0,0.0,0,5,0,0,0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,27,51,52.9,384,123,14,22,63.6,10,15,66.7,1,5,20.0,0,0.0,0.3,0.0,1,3,2,1,3,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,105,123,85.4,2418,1081,29,31,93.5,57,62,91.9,19,30,63.3,1,0.4,0.0,+0.6,2,10,0,0,6,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,611,737,82.9,13314,5231,174,190,91.6,319,339,94.1,112,196,57.1,0,0.3,0.1,-0.3,3,27,2,0,28,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,36,50,72.0,899,319,4,6,66.7,22,28,78.6,10,14,71.4,0,0.0,0.0,0.0,0,1,0,0,1,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,1010,1187,85.1,23114,9797,230,264,87.1,594,651,91.2,183,256,71.5,1,0.8,0.5,+0.2,3,77,1,0,60,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,120,140,85.7,2384,680,44,50,88.0,55,60,91.7,17,23,73.9,0,0.0,0.0,0.0,0,8,0,0,11,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,10,11,90.9,148,29,5,6,83.3,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,1,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,305,465,65.6,4231,906,172,232,74.1,71,117,60.7,25,41,61.0,2,2.9,1.5,-0.9,17,31,10,2,32,Matches
53,54,Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,189,284,66.5,3051,692,89,118,75.4,76,104,73.1,14,30,46.7,1,2.0,1.5,-1.0,14,14,5,2,18,Matches
54,55,Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,498,708,70.3,9099,2266,225,273,82.4,184,243,75.7,74,136,54.4,2,1.1,1.4,+0.9,16,64,14,5,56,Matches
55,56,Romário Baró,pt POR,MF,Estoril,21,2000,4.3,83,116,71.6,1403,318,43,57,75.4,24,29,82.8,12,14,85.7,0,0.5,0.1,-0.5,5,14,1,0,9,Matches
56,57,Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,78,119,65.5,1259,545,43,52,82.7,23,34,67.6,9,18,50.0,2,1.3,0.5,+0.7,8,8,2,1,7,Matches
57,58,Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,340,406,83.7,5011,1305,184,205,89.8,121,144,84.0,20,24,83.3,1,2.1,2.1,-1.1,15,21,15,2,22,Matches
58,59,Dylan Batubinsika,fr FRA,DF,Famalicão,25,1996,16.7,619,714,86.7,12577,3896,185,213,86.9,352,379,92.9,77,108,71.3,0,0.0,0.2,0.0,0,27,1,0,23,Matches
