,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
31,32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,23.3,0,14,1,7.1,0.60,0.04,0.00,0.00,20.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
32,33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
33,34,Sebastian Anderson,us USA,"DF,MF",Colorado Rapids,19,2002,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
34,35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,28.0,0,30,4,13.3,1.07,0.14,0.00,0.00,30.0,1,0,0,0.9,0.9,0.03,-0.9,-0.9,Matches
35,36,Iván Angulo,co COL,FW,Orlando City,22,1999,6.1,0,14,5,35.7,2.30,0.82,0.00,0.00,17.8,0,0,0,0.9,0.8,0.06,-0.9,-0.8,Matches
36,37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,2.5,0,1,0,0.0,0.40,0.00,0.00,,7.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
37,38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,0.5,0,1,0,0.0,2.20,0.00,0.00,,10.6,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
38,39,Brian Anunga,cm CMR,MF,Nashville,25,1996,9.4,0,4,0,0.0,0.43,0.00,0.00,,26.1,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
39,40,Cristian Arango,co COL,FW,Los Angeles FC,26,1995,26.0,16,106,45,42.5,4.08,1.73,0.14,0.33,18.0,6,1,2,16.3,14.7,0.14,-0.3,+0.3,Matches
40,41,César Araujo,uy URU,MF,Orlando City,20,2001,27.3,0,17,2,11.8,0.62,0.07,0.00,0.00,25.5,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
41,42,Julian Araujo,mx MEX,DF,LA Galaxy,20,2001,30.5,0,14,2,14.3,0.46,0.07,0.00,0.00,17.3,0,0,0,1.5,1.5,0.11,-1.5,-1.5,Matches
42,43,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,25,1996,24.3,4,97,31,32.0,3.99,1.27,0.04,0.13,21.0,4,0,1,9.0,8.2,0.08,-5.0,-4.2,Matches
43,44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,15.7,7,37,13,35.1,2.35,0.83,0.16,0.46,12.9,0,1,1,6.6,5.8,0.16,+0.4,+0.2,Matches
44,45,Adam Armour,us USA,MF,Charlotte,19,2002,0.9,1,3,2,66.7,3.18,2.12,0.33,0.50,20.1,0,0,0,0.2,0.2,0.05,+0.8,+0.8,Matches
45,46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,24.1,1,9,3,33.3,0.37,0.12,0.11,0.33,14.1,0,0,0,1.1,1.1,0.12,-0.1,-0.1,Matches
46,47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,21.0,1,21,3,14.3,1.00,0.14,0.05,0.33,21.7,2,0,0,1.2,1.2,0.06,-0.2,-0.2,Matches
47,48,Paul Arriola,us USA,FW,FC Dallas,26,1995,28.5,10,55,21,38.2,1.93,0.74,0.18,0.48,16.7,2,0,0,6.7,6.7,0.12,+3.3,+3.3,Matches
48,49,Artur,br BRA,MF,Columbus Crew,25,1996,18.2,0,23,4,17.4,1.26,0.22,0.00,0.00,23.3,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
