,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
701,702,Thomas Strakosha,al ALB,GK,Lazio,26,1995,23,2070,90,60.5,23.0,23,90,23,0,,15,1.83,48,29,+19,+0.83,+0.83,38.6,28.7,+9.9,+0.43,+0.54,Matches
702,703,Diego Stramaccioni,it ITA,DF,Juventus,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
703,704,Stefan Strandberg,no NOR,DF,Salernitana,31,1990,11,933,85,27.3,10.4,11,85,10,0,,0,0.64,8,19,-11,-1.06,+0.17,11.7,17.8,-6.0,-0.58,+0.25,Matches
704,705,Dávid Strelec,sk SVK,"FW,MF",Spezia,20,2001,10,502,50,14.7,5.6,7,62,1,3,22,15,0.40,4,8,-4,-0.72,+0.08,5.6,9.3,-3.7,-0.65,+0.16,Matches
705,706,Kevin Strootman,nl NED,MF,Cagliari,31,1990,10,640,64,18.7,7.1,7,77,2,3,33,6,0.70,9,14,-5,-0.70,+0.24,8.1,11.2,-3.1,-0.44,+0.16,Matches
706,707,Jens Stryger Larsen,dk DEN,DF,Udinese,30,1991,11,684,62,20.0,7.6,8,76,2,3,25,0,1.00,7,12,-5,-0.66,-0.92,7.7,13.0,-5.3,-0.70,-0.91,Matches
707,708,Leo Štulac,si SVN,MF,Empoli,26,1994,23,833,36,24.4,9.3,8,67,1,15,20,14,1.39,14,21,-7,-0.76,-0.30,10.5,25.1,-14.6,-1.58,-1.15,Matches
708,709,Stefano Sturaro,it ITA,MF,Genoa,28,1993,25,1766,71,51.6,19.6,24,72,8,1,45,0,0.81,8,25,-17,-0.87,0.00,18.8,28.6,-9.8,-0.50,-0.14,Matches
709,710,Isaac Success,ng NGA,"FW,MF",Udinese,25,1996,22,911,41,26.6,10.1,11,65,1,11,18,2,1.23,19,20,-1,-0.10,-0.24,17.2,16.3,+0.9,+0.09,+0.09,Matches
710,711,Vladyslav Supriaha,ua UKR,FW,Sampdoria,21,2000,1,22,22,0.6,0.2,0,,0,1,22,10,3.00,0,0,0,0.00,+0.45,0.2,0.7,-0.5,-1.96,-1.42,Matches
711,712,Bosko Sutalo,hr CRO,DF,Hellas Verona,21,2000,24,920,38,26.9,10.2,6,77,4,18,26,9,1.21,14,20,-6,-0.59,-1.02,15.3,14.9,+0.3,+0.03,-0.09,Matches
712,713,Bosko Sutalo,hr CRO,DF,Atalanta,21,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
713,714,Mattias Svanberg,se SWE,MF,Bologna,22,1999,36,2564,71,75.0,28.5,31,79,15,5,26,1,1.11,25,42,-17,-0.60,-1.23,30.5,44.4,-13.9,-0.49,-0.73,Matches
714,715,Michael Svoboda,at AUT,DF,Venezia,22,1998,18,1236,69,36.1,13.7,13,85,10,5,26,17,0.78,14,29,-15,-1.09,-0.27,17.3,31.7,-14.4,-1.05,+0.04,Matches
715,716,Wojciech Szczęsny,pl POL,GK,Juventus,31,1990,33,2970,90,86.8,33.0,33,90,33,0,,4,1.91,50,29,+21,+0.64,+0.84,51.5,37.6,+13.9,+0.42,+0.30,Matches
716,717,Adrien Tameze,cm CMR,"MF,DF",Hellas Verona,27,1994,38,2574,68,75.3,28.6,26,85,16,12,30,0,1.39,45,36,+9,+0.31,+0.63,41.4,38.4,+3.0,+0.11,+0.01,Matches
717,718,Ciprian Tătărușanu,ro ROU,GK,Milan,35,1986,6,540,90,15.8,6.0,6,90,6,0,,30,2.17,14,10,+4,+0.67,-0.40,9.3,9.0,+0.3,+0.05,-0.81,Matches
718,719,Filippo Terracciano,it ITA,DF,Hellas Verona,18,2003,1,7,7,0.2,0.1,0,,0,1,7,2,1.00,0,0,0,0.00,-0.16,0.1,0.0,+0.1,+1.80,+1.70,Matches
719,720,Pietro Terracciano,it ITA,GK,Fiorentina,31,1990,32,2862,89,83.7,31.8,31,90,31,1,72,5,1.66,52,43,+9,+0.28,+0.44,58.0,37.5,+20.5,+0.64,+0.79,Matches
720,721,Aleksa Terzić,rs SRB,DF,Fiorentina,21,1999,14,274,20,8.0,3.0,1,90,1,13,14,24,2.07,4,3,+1,+0.33,+0.13,4.2,2.4,+1.9,+0.62,+0.11,Matches
721,722,Tanner Tessmann,us USA,MF,Venezia,19,2001,20,680,34,19.9,7.6,6,65,2,14,21,17,0.75,3,13,-10,-1.32,-0.50,6.3,19.2,-12.9,-1.71,-0.79,Matches
722,723,Arthur Theate,be BEL,DF,Bologna,21,2000,31,2424,78,70.9,26.9,28,84,22,3,24,3,1.03,29,36,-7,-0.26,+0.10,31.1,42.7,-11.6,-0.43,-0.43,Matches
723,724,Morten Thorsby,no NOR,MF,Sampdoria,25,1996,35,2943,84,86.1,32.7,35,84,25,0,,0,0.91,41,58,-17,-0.52,-0.52,35.7,54.0,-18.3,-0.56,-0.05,Matches
724,725,Eljon Toci,al ALB,FW,Fiorentina,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
725,726,Jeremy Toljan,de GER,DF,Sassuolo,26,1994,20,1399,70,40.9,15.5,15,84,12,5,28,5,1.25,30,25,+5,+0.32,+0.63,28.2,27.4,+0.8,+0.05,+0.55,Matches
726,727,Rafael Tolói,it ITA,DF,Atalanta,30,1990,20,1438,72,42.0,16.0,16,84,12,4,26,1,1.80,33,22,+11,+0.69,+0.42,31.3,21.4,+9.9,+0.62,+0.12,Matches
727,728,Takehiro Tomiyasu,jp JPN,DF,Bologna,22,1998,1,10,10,0.3,0.1,0,,0,1,10,0,1.00,0,0,0,0.00,+0.29,0.1,0.1,0.0,-0.31,-0.01,Matches
728,729,Fikayo Tomori,eng ENG,DF,Milan,23,1997,31,2718,88,79.5,30.2,30,90,28,1,32,1,2.45,56,20,+36,+1.19,+0.94,52.0,32.1,+19.8,+0.66,-0.36,Matches
729,730,Sandro Tonali,it ITA,MF,Milan,21,2000,36,2600,72,76.0,28.9,31,80,18,5,22,1,2.31,54,18,+36,+1.25,+1.03,52.1,27.1,+24.9,+0.86,+0.55,Matches
730,731,Lorenzo Tonelli,it ITA,DF,Sampdoria,31,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
731,732,Lorenzo Tonelli,it ITA,DF,Empoli,31,1990,14,870,62,25.4,9.7,8,82,7,6,36,11,1.21,14,19,-5,-0.52,+0.01,15.4,21.1,-5.6,-0.58,+0.16,Matches
732,733,Giacomo Toniolo,it ITA,GK,Hellas Verona,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
733,734,Ernesto Torregrossa,it ITA,FW,Sampdoria,29,1992,10,116,12,3.4,1.3,0,,0,10,12,4,0.50,2,3,-1,-0.78,-0.34,1.4,3.0,-1.6,-1.22,-0.69,Matches
734,735,Lucas Torreira,uy URU,MF,Fiorentina,25,1996,31,2195,71,64.2,24.4,26,81,12,5,20,3,1.52,42,32,+10,+0.41,+0.56,48.9,27.3,+21.6,+0.89,+1.04,Matches
735,736,Abdoulaye Touré,fr FRA,MF,Genoa,27,1994,8,430,54,12.6,4.8,6,67,1,2,14,10,0.75,4,9,-5,-1.05,-0.20,3.9,8.6,-4.7,-0.99,-0.64,Matches
736,737,Lisandru Tramoni,fr FRA,FW,Cagliari,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
737,738,Simone Trimboli,it ITA,MF,Sampdoria,19,2002,5,65,13,1.9,0.7,0,,0,5,13,30,0.60,1,2,-1,-1.38,-0.96,1.7,2.3,-0.5,-0.72,-0.17,Matches
738,739,Filippo Tripi,it ITA,MF,Roma,19,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
739,740,Axel Tuanzebe,eng ENG,DF,Napoli,23,1997,1,11,11,0.3,0.1,0,,0,1,11,9,3.00,0,0,0,0.00,-1.14,0.4,0.1,+0.3,+2.42,+1.64,Matches
740,741,Mattia Turra,it ITA,MF,Hellas Verona,18,2002,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
741,742,Iyenoma Udogie,it ITA,DF,Udinese,18,2002,35,2477,71,72.4,27.5,29,80,16,6,26,1,1.23,50,39,+11,+0.40,+1.16,45.3,37.4,+7.9,+0.29,+0.93,Matches
742,743,Samir Ujkani,xk KVX,GK,Empoli,33,1988,0,,,,,0,,0,0,,35,,,,,,,,,,,,Matches
743,744,Maximilian Ullmann,at AUT,DF,Venezia,25,1996,5,246,49,7.2,2.7,2,90,2,3,22,10,0.20,3,6,-3,-1.10,-0.19,2.3,8.2,-6.0,-2.19,-1.20,Matches
744,745,Kacper Urbanski,pl POL,MF,Bologna,16,2004,1,45,45,1.3,0.5,0,,0,1,45,0,3.00,1,0,+1,+2.00,+2.32,0.6,0.7,-0.1,-0.21,+0.09,Matches
745,746,Antonio Vacca,it ITA,MF,Venezia,31,1990,21,1064,51,31.1,11.8,15,57,0,6,35,2,0.81,17,18,-1,-0.08,+1.21,15.2,21.0,-5.8,-0.49,+0.84,Matches
746,747,Zinho Vanheusden,be BEL,DF,Genoa,22,1999,14,989,71,28.9,11.0,11,83,8,3,25,4,0.57,8,25,-17,-1.55,-0.95,10.6,19.1,-8.5,-0.78,-0.48,Matches
747,748,Johan Vásquez,mx MEX,DF,Genoa,22,1998,28,2279,81,66.6,25.3,27,83,22,1,35,7,0.71,14,31,-17,-0.67,+0.59,25.1,36.4,-11.3,-0.45,-0.04,Matches
748,749,Denis Vavro,sk SVK,DF,Lazio,25,1996,1,8,8,0.2,0.1,0,,0,1,8,12,3.00,0,0,0,0.00,-0.50,0.1,0.0,+0.1,+1.42,+1.20,Matches
749,750,Matías Vecino,uy URU,MF,Inter,29,1991,17,377,22,11.0,4.2,2,78,1,15,15,18,2.18,12,4,+8,+1.91,+0.61,13.9,4.4,+9.4,+2.27,+1.24,Matches
750,751,Miguel Veloso,pt POR,MF,Hellas Verona,35,1986,22,1343,61,39.3,14.9,17,73,8,5,19,3,1.50,24,25,-1,-0.07,-0.37,24.9,19.8,+5.2,+0.35,+0.40,Matches
751,752,Lorenzo Venuti,it ITA,DF,Fiorentina,26,1995,23,1571,68,45.9,17.5,20,77,11,3,14,12,1.87,26,21,+5,+0.29,+0.14,27.7,17.1,+10.6,+0.61,+0.17,Matches
752,753,Daniele Verde,it ITA,"FW,MF",Spezia,25,1996,33,1957,59,57.2,21.7,21,77,7,12,29,2,0.94,31,46,-15,-0.69,+0.23,24.6,39.5,-14.9,-0.69,+0.23,Matches
753,754,Simone Verdi,it ITA,"MF,FW",Torino,29,1992,3,46,15,1.3,0.5,0,,0,3,15,6,1.00,3,2,+1,+1.96,+1.85,0.4,0.7,-0.3,-0.54,-0.79,Matches
754,755,Simone Verdi,it ITA,"FW,MF",Salernitana,29,1992,15,829,55,24.2,9.2,11,68,0,4,20,1,1.07,10,17,-7,-0.76,+0.56,12.3,18.1,-5.8,-0.63,+0.18,Matches
755,756,Jordan Veretout,fr FRA,MF,Roma,28,1993,36,2319,64,67.8,25.8,26,82,9,10,20,0,1.58,44,29,+15,+0.58,+0.50,48.7,29.3,+19.4,+0.75,+0.02,Matches
756,757,Edoardo Vergani,it ITA,"FW,MF",Salernitana,20,2001,6,102,17,3.0,1.1,1,61,0,5,8,13,0.17,2,4,-2,-1.76,-0.60,0.6,5.3,-4.7,-4.14,-3.48,Matches
757,758,Antonio Vergara,it ITA,FW,Napoli,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
758,759,Valerio Verre,it ITA,"MF,FW",Sampdoria,27,1994,11,420,38,12.3,4.7,6,51,0,5,23,0,1.36,6,11,-5,-1.07,-0.71,5.7,8.0,-2.3,-0.50,+0.06,Matches
759,760,Valerio Verre,it ITA,MF,Empoli,27,1994,8,310,39,9.1,3.4,4,63,0,4,15,4,0.88,2,5,-3,-0.87,-0.38,4.4,6.2,-1.8,-0.52,+0.21,Matches
760,761,Freddie Veseli,al ALB,DF,Salernitana,28,1992,9,596,66,17.4,6.6,8,73,4,1,12,10,0.56,5,15,-10,-1.51,-0.39,4.5,14.9,-10.5,-1.58,-0.99,Matches
761,762,Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38,3420,90,100.0,38.0,38,90,38,0,,0,1.08,50,70,-20,-0.53,,49.4,76.2,-26.8,-0.71,,Matches
762,763,Arturo Vidal,cl CHI,MF,Inter,34,1987,28,741,26,21.7,8.2,2,85,0,26,22,2,2.29,16,5,+11,+1.34,-0.04,19.4,8.8,+10.6,+1.29,+0.16,Matches
763,764,Ronaldo Vieira,gw GNB,MF,Sampdoria,23,1998,14,495,35,14.5,5.5,4,77,0,10,19,4,1.14,6,6,0,0.00,+0.52,,,,,,Matches
764,765,Luca Vignali,it ITA,"DF,MF",Spezia,25,1996,2,85,43,2.5,0.9,1,79,0,1,6,0,0.50,1,5,-4,-4.24,-3.53,1.0,3.1,-2.0,-2.13,-1.38,Matches
765,766,Emanuel Vignato,it ITA,"MF,DF",Bologna,20,2000,24,594,25,17.4,6.6,3,68,0,21,19,11,1.08,10,13,-3,-0.45,-0.20,10.5,13.2,-2.7,-0.41,-0.13,Matches
766,767,Gonzalo Villar,es ESP,MF,Roma,23,1998,0,,,,,0,,0,0,,12,,,,,,,,,,,,Matches
767,768,Matías Viña,uy URU,"DF,FW",Roma,23,1997,26,1565,60,45.8,17.4,18,80,9,8,16,8,1.77,26,24,+2,+0.12,-0.56,30.5,21.4,+9.2,+0.53,-0.41,Matches
768,769,Nicolas Viola,it ITA,MF,Bologna,31,1989,6,102,17,3.0,1.1,1,51,0,5,10,18,0.17,1,4,-3,-2.65,-2.43,1.4,3.7,-2.3,-2.02,-1.76,Matches
769,770,Samuele Vitale,it ITA,GK,Sassuolo,18,2002,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
770,771,Mattia Viti,it ITA,DF,Empoli,19,2002,20,1491,75,43.6,16.6,16,87,14,4,27,14,1.35,24,24,0,0.00,+0.93,19.8,32.8,-13.0,-0.79,-0.15,Matches
771,772,Dušan Vlahović,rs SRB,FW,Fiorentina,21,2000,21,1857,88,54.3,20.6,21,88,17,0,,0,1.67,39,28,+11,+0.53,+0.71,35.4,24.2,+11.2,+0.54,+0.06,Matches
772,773,Dušan Vlahović,rs SRB,FW,Juventus,21,2000,15,1076,72,31.5,12.0,12,83,6,3,26,0,1.87,20,11,+9,+0.75,+0.33,18.4,14.9,+3.5,+0.29,-0.13,Matches
773,774,Rok Vodišek,si SVN,GK,Genoa,22,1998,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
774,775,Mërgim Vojvoda,xk KVX,DF,Torino,26,1995,29,1976,68,57.8,22.0,22,81,14,7,27,7,1.55,26,21,+5,+0.23,+0.23,32.0,25.4,+6.6,+0.30,+0.13,Matches
775,776,Cristian Volpato,it ITA,"FW,MF",Roma,17,2003,3,38,13,1.1,0.4,0,,0,3,13,5,0.67,2,0,+2,+4.74,+4.36,1.7,0.1,+1.6,+3.77,+3.06,Matches
776,777,Stefan de Vrij,nl NED,DF,Inter,29,1992,30,2410,80,70.5,26.8,28,85,23,2,9,2,2.13,64,27,+37,+1.38,+0.05,63.7,31.6,+32.1,+1.20,+0.11,Matches
777,778,Walace,br BRA,MF,Udinese,26,1995,36,2970,83,86.8,33.0,33,88,27,3,26,0,1.28,56,54,+2,+0.06,-0.14,50.7,50.8,-0.1,0.00,-0.24,Matches
778,779,Sebastian Walukiewicz,pl POL,DF,Cagliari,21,2000,7,302,43,8.8,3.4,4,61,0,3,20,7,0.29,3,8,-5,-1.49,-0.65,3.7,4.7,-1.0,-0.29,+0.31,Matches
779,780,Magnus Warming,dk DEN,"MF,FW",Torino,21,2000,4,58,15,1.7,0.6,0,,0,4,15,23,0.75,0,0,0,0.00,-0.13,0.9,0.3,+0.6,+0.91,+0.68,Matches
780,781,Kelvin Yeboah,it ITA,"FW,MF",Genoa,21,2000,17,850,50,24.9,9.4,9,71,3,8,26,0,0.94,5,11,-6,-0.64,+0.31,14.4,13.6,+0.8,+0.08,+0.68,Matches
781,782,Gerard Yepes,es ESP,"MF,DF",Sampdoria,18,2002,4,21,5,0.6,0.2,0,,0,4,5,14,0.25,0,0,0,0.00,+0.45,0.1,0.7,-0.6,-2.68,-2.14,Matches
782,783,Maya Yoshida,jp JPN,DF,Sampdoria,32,1988,26,1823,70,53.3,20.3,19,86,16,7,27,5,0.81,27,42,-15,-0.74,-0.63,25.0,37.1,-12.1,-0.60,-0.10,Matches
783,784,Mattia Zaccagni,it ITA,MF,Hellas Verona,26,1995,2,180,90,5.3,2.0,2,90,2,0,,0,0.00,3,6,-3,-1.50,-1.75,3.8,3.4,+0.3,+0.17,+0.08,Matches
