,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
522,523,Brandon Sartiaguin,mx MEX,DF,Toluca,21,2000,3.1,92,111,82.9,1681,898,33,35,94.3,50,59,84.7,6,11,54.5,0,0.2,0.0,-0.2,2,3,1,1,6,Matches
523,524,Sebastián Saucedo,us USA,"MF,FW",UNAM,24,1997,16.2,389,526,74.0,6977,1338,190,222,85.6,149,189,78.8,43,83,51.8,3,2.8,2.3,+0.2,25,17,16,4,29,Matches
524,525,Francisco Sebastián Córdova,mx MEX,"FW,MF",América,24,1997,9.1,162,254,63.8,2542,762,92,111,82.9,43,72,59.7,16,40,40.0,0,1.3,1.1,-1.3,11,12,8,5,12,Matches
525,526,Francisco Sebastián Córdova,mx MEX,MF,UANL,24,1997,5.0,178,233,76.4,2941,983,98,112,87.5,56,73,76.7,18,32,56.3,2,1.4,1.6,+0.6,10,23,11,3,24,Matches
526,527,Ángel Sepúlveda,mx MEX,"FW,MF",Necaxa,30,1991,6.4,121,177,68.4,1986,578,61,80,76.3,43,64,67.2,11,19,57.9,2,1.2,0.3,+0.8,14,10,2,2,14,Matches
527,528,Ángel Sepúlveda,mx MEX,FW,Querétaro,30,1991,14.5,183,264,69.3,2986,551,99,131,75.6,63,94,67.0,17,22,77.3,0,1.9,1.3,-1.9,16,17,8,1,19,Matches
528,529,Gilberto Sepúlveda,mx MEX,DF,Guadalajara,22,1999,17.4,702,899,78.1,13975,5120,244,273,89.4,362,423,85.6,90,176,51.1,0,0.1,0.4,-0.1,3,44,3,1,37,Matches
529,530,Leonardo Sequeira,ar ARG,"MF,FW",Querétaro,26,1995,13.4,187,295,63.4,2867,879,107,133,80.5,58,95,61.1,16,32,50.0,2,3.2,2.3,-1.2,18,21,12,5,24,Matches
530,531,Jordan Sierra,ec ECU,MF,Toluca,24,1997,14.5,522,609,85.7,8262,2202,282,322,87.6,188,214,87.9,40,49,81.6,1,0.5,0.4,+0.5,12,35,5,0,30,Matches
531,532,Antony Silva,py PAR,GK,Puebla,37,1984,30.0,528,810,65.2,17168,13975,130,131,99.2,159,164,97.0,225,496,45.4,0,0.6,0.2,-0.6,6,30,3,0,0,Matches
532,533,Jordan Silva,mx MEX,DF,América,27,1994,12.4,410,499,82.2,8677,3205,122,142,85.9,208,232,89.7,73,113,64.6,1,0.3,0.1,+0.7,2,10,1,0,11,Matches
