,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
24,25,Artur Jorge Marques Amorim,pt POR,DF,Moreirense,26,1994,22.2,1,8,3,37.5,0.36,0.14,0.13,0.33,14.6,0,0,0,1.0,1.0,0.13,0.0,0.0,Matches
25,26,Anderson,br BRA,"FW,MF",Portimonense,23,1998,11.4,1,15,5,33.3,1.31,0.44,0.07,0.20,22.0,1,0,1,1.8,1.1,0.07,-0.8,-0.1,Matches
26,27,Rodrigo Andrad,pt POR,MF,Marítimo,19,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
27,28,Léo Andrade,br BRA,DF,Marítimo,23,1998,14.3,0,4,0,0.0,0.28,0.00,0.00,,6.3,0,0,0,0.6,0.6,0.14,-0.6,-0.6,Matches
28,29,André André,pt POR,MF,Vitória,31,1989,10.4,1,6,0,0.0,0.58,0.00,0.00,,21.8,0,1,1,1.0,0.3,0.04,0.0,-0.3,Matches
29,30,Mauro Andrés Caballero,py PAR,FW,Arouca,26,1994,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
30,31,Andrew,br BRA,GK,Gil Vicente FC,20,2001,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
31,32,Iván Angulo,co COL,"FW,MF",Portimonense,22,1999,26.2,1,18,5,27.8,0.69,0.19,0.06,0.20,18.4,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
32,33,Antony,br BRA,"FW,MF",Arouca,19,2001,7.4,2,11,4,36.4,1.49,0.54,0.18,0.50,19.1,0,0,0,1.4,1.4,0.13,+0.6,+0.6,Matches
33,34,Vitorino Antunes,pt POR,DF,Paços,34,1987,28.2,3,32,6,18.8,1.13,0.21,0.03,0.17,30.5,15,2,2,3.1,1.5,0.05,-0.1,-0.5,Matches
34,35,Bilel Aouacheria,fr FRA,"FW,MF",Gil Vicente FC,27,1994,7.1,0,9,2,22.2,1.26,0.28,0.00,0.00,22.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
35,36,Wilinton Aponzá,co COL,"FW,MF",Portimonense,21,2000,8.3,1,14,6,42.9,1.69,0.73,0.07,0.17,15.0,0,0,0,1.6,1.6,0.12,-0.6,-0.6,Matches
36,37,Brian Araújo,fr FRA,GK,Gil Vicente FC,21,2000,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
37,38,Henrique Araújo,pt POR,FW,Benfica,19,2002,1.4,3,11,4,36.4,8.11,2.95,0.27,0.75,8.2,0,0,0,2.9,2.9,0.26,+0.1,+0.1,Matches
38,39,Guilherme Araújo Soares,pt POR,DF,Braga,20,2001,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
39,40,Tiago Araújo,pt POR,"DF,FW",Arouca,20,2001,5.3,0,5,2,40.0,0.95,0.38,0.00,0.00,20.5,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
40,41,Tomás Araújo,pt POR,DF,Benfica,19,2002,1.1,0,1,0,0.0,0.94,0.00,0.00,,8.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
41,42,Telmo Arcanjo,cv CPV,"MF,FW",Tondela,20,2001,1.4,0,6,1,16.7,4.43,0.74,0.00,0.00,28.8,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
42,43,Arthur,br BRA,"FW,MF",Estoril,23,1998,24.4,2,26,8,30.8,1.07,0.33,0.08,0.25,20.2,1,0,0,1.9,1.9,0.07,+0.1,+0.1,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,0,8,2,25.0,1.19,0.30,0.00,0.00,24.0,1,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,0,1,0,0.0,0.59,0.00,0.00,,31.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,0,6,1,16.7,0.40,0.07,0.00,0.00,16.3,0,0,0,0.7,0.7,0.12,-0.7,-0.7,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,0,2,1,50.0,2.00,1.00,0.00,0.00,23.4,1,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,0,7,1,14.3,0.29,0.04,0.00,0.00,12.6,0,0,0,0.6,0.6,0.09,-0.6,-0.6,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,0,2,0,0.0,0.61,0.00,0.00,,30.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,0,1,0,0.0,4.09,0.00,0.00,,28.1,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,14,77,41,53.2,2.98,1.58,0.17,0.32,13.2,1,1,2,13.3,11.7,0.16,+0.7,+1.3,Matches
53,54,Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,2,15,5,33.3,1.27,0.42,0.13,0.40,16.5,1,0,0,2.0,2.0,0.13,0.0,0.0,Matches
54,55,Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,2,30,17,56.7,1.56,0.88,0.07,0.12,20.3,1,0,0,3.2,3.2,0.11,-1.2,-1.2,Matches
55,56,Romário Baró,pt POR,MF,Estoril,21,2000,4.3,0,7,1,14.3,1.64,0.23,0.00,0.00,21.5,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
56,57,Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,0,8,2,25.0,2.06,0.51,0.00,0.00,17.7,0,0,0,1.0,1.0,0.13,-1.0,-1.0,Matches
57,58,Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,1,14,5,35.7,1.93,0.69,0.07,0.20,20.7,0,0,0,1.3,1.3,0.09,-0.3,-0.3,Matches
58,59,Dylan Batubinsika,fr FRA,DF,Famalicão,25,1996,16.7,1,8,1,12.5,0.48,0.06,0.13,1.00,7.8,0,0,0,1.7,1.7,0.22,-0.7,-0.7,Matches
59,60,Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,0,5,2,40.0,0.95,0.38,0.00,0.00,23.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
60,61,Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,0,3,0,0.0,0.20,0.00,0.00,,22.4,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
61,62,Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
62,63,Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,1,18,5,27.8,1.17,0.32,0.06,0.20,25.2,4,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches
63,64,Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
64,65,Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,0,18,5,27.8,2.08,0.58,0.00,0.00,19.1,0,0,0,1.6,1.6,0.09,-1.6,-1.6,Matches
65,66,Beto,gw GNB,FW,Portimonense,23,1998,3.0,2,7,4,57.1,2.36,1.35,0.29,0.50,10.9,0,0,0,1.3,1.3,0.19,+0.7,+0.7,Matches
66,67,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,3,15,5,33.3,1.22,0.41,0.13,0.40,18.5,0,1,1,1.6,0.8,0.05,+1.4,+1.2,Matches
67,68,Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,0,13,1,7.7,0.56,0.04,0.00,0.00,8.7,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Matches
68,69,Kiko Bondoso,pt POR,FW,FC Vizela,25,1995,30.2,6,45,15,33.3,1.49,0.50,0.13,0.40,16.4,0,0,0,4.6,4.6,0.10,+1.4,+1.4,Matches
69,70,Trova Boni,bf BFA,MF,B-SAD,21,1999,4.9,0,1,0,0.0,0.20,0.00,0.00,,31.3,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
70,71,Toni Borevkovic,hr CRO,DF,Vitória,24,1997,22.1,0,9,2,22.2,0.41,0.09,0.00,0.00,11.2,0,0,0,1.3,1.3,0.15,-1.3,-1.3,Matches
71,72,Gonçalo Borges,pt POR,MF,Porto,20,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
72,73,Neto Borges,br BRA,"DF,MF",Tondela,24,1996,23.7,1,14,4,28.6,0.59,0.17,0.07,0.25,20.2,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
73,74,Pedro Borges,br BRA,MF,Tondela,24,1997,22.1,2,12,6,50.0,0.54,0.27,0.17,0.33,17.6,0,0,0,1.5,1.5,0.13,+0.5,+0.5,Matches
74,75,Mohamed Bouldini,ma MAR,FW,Santa Clara,25,1995,1.7,0,9,2,22.2,5.33,1.18,0.00,0.00,10.2,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches
75,76,Rafael Bracalli,br BRA,GK,Boavista,40,1981,26.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
76,77,Victor Braga,br BRA,GK,Arouca,29,1992,23.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
77,78,Daniel Bragança,pt POR,MF,Sporting CP,22,1999,8.7,2,14,5,35.7,1.62,0.58,0.14,0.40,23.0,0,0,0,1.3,1.3,0.09,+0.7,+0.7,Matches
78,79,Pedro Brazão,pt POR,"MF,FW",Famalicão,18,2002,4.2,1,4,2,50.0,0.96,0.48,0.25,0.50,15.2,0,0,0,0.6,0.6,0.15,+0.4,+0.4,Matches
79,80,Brunão,br BRA,MF,Arouca,24,1997,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
80,81,Bruninho,br BRA,FW,Arouca,22,1999,3.3,1,27,8,29.6,8.21,2.43,0.04,0.13,15.5,0,0,0,2.4,2.4,0.09,-1.4,-1.4,Matches
81,82,David Bruno,pt POR,DF,Estoril,29,1992,13.5,0,2,1,50.0,0.15,0.07,0.00,0.00,26.6,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
82,83,Matheus Bueno,br BRA,"MF,FW",Gil Vicente FC,23,1998,7.3,1,10,3,30.0,1.37,0.41,0.10,0.33,21.9,1,0,0,0.9,0.9,0.09,+0.1,+0.1,Matches
83,84,André Bukia,cd COD,"FW,MF",Arouca,26,1995,28.5,4,55,11,20.0,1.93,0.39,0.07,0.36,21.7,1,0,0,4.3,4.3,0.08,-0.3,-0.3,Matches
84,85,Leonardo Buta,pt POR,DF,Braga,19,2002,1.5,0,1,0,0.0,0.68,0.00,0.00,,24.5,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
85,86,Adrián Butzke,es ESP,FW,Paços,22,1999,6.4,2,13,4,30.8,2.02,0.62,0.15,0.50,17.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches
86,87,Jovane Cabral,cv CPV,"MF,FW",Sporting CP,23,1998,3.8,1,8,1,12.5,2.09,0.26,0.13,1.00,16.6,0,0,1,1.6,0.8,0.10,-0.6,+0.2,Matches
87,88,Paulo Henrique Rodrigues Cabral,pt POR,DF,Santa Clara,24,1996,13.9,0,8,1,12.5,0.58,0.07,0.00,0.00,10.9,0,0,0,1.1,1.1,0.13,-1.1,-1.1,Matches
88,89,Jhonder Cádiz,ve VEN,"FW,DF",Famalicão,26,1995,5.0,1,21,9,42.9,4.22,1.81,0.05,0.11,14.2,0,0,0,2.3,2.3,0.11,-1.3,-1.3,Matches
89,90,João Caiado,pt POR,FW,Gil Vicente FC,22,1999,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
90,91,Juan Calero,co COL,FW,Gil Vicente FC,22,1998,1.6,1,3,1,33.3,1.90,0.63,0.33,1.00,17.8,0,0,0,0.3,0.3,0.10,+0.7,+0.7,Matches
91,92,Diogo Calila,pt POR,"DF,MF",B-SAD,22,1998,21.3,0,3,1,33.3,0.14,0.05,0.00,0.00,29.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
92,93,Rafael Camacho,pt POR,"FW,MF",B-SAD,21,2000,9.8,0,20,7,35.0,2.05,0.72,0.00,0.00,21.7,2,0,0,1.5,1.5,0.07,-1.5,-1.5,Matches
93,94,Abel Camará,gw GNB,FW,B-SAD,31,1990,17.3,5,47,18,38.3,2.71,1.04,0.11,0.28,14.6,0,0,0,6.1,6.1,0.13,-1.1,-1.1,Matches
94,95,Ibrahima Camará,gn GUI,MF,Moreirense,22,1999,18.9,0,35,6,17.1,1.86,0.32,0.00,0.00,24.8,3,0,1,2.2,1.4,0.04,-2.2,-1.4,Matches
95,96,Gastón Campi,ar ARG,DF,Arouca,30,1991,4.0,0,3,0,0.0,0.75,0.00,0.00,,13.0,0,0,0,0.3,0.3,0.09,-0.3,-0.3,Matches
96,97,Fali Candé,gw GNB,DF,Portimonense,23,1998,14.6,1,10,3,30.0,0.69,0.21,0.10,0.33,27.3,4,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
97,98,Francis Cann,gh GHA,"FW,MF",FC Vizela,23,1998,2.4,0,2,1,50.0,0.85,0.42,0.00,0.00,27.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
98,99,Reggie Cannon,us USA,DF,Boavista,23,1998,19.0,0,4,0,0.0,0.21,0.00,0.00,,24.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
99,100,Fábio Cardoso,pt POR,DF,Porto,27,1994,12.0,0,5,0,0.0,0.42,0.00,0.00,,12.3,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
100,101,Carlinhos,br BRA,MF,Portimonense,27,1994,25.4,3,46,15,32.6,1.81,0.59,0.07,0.20,26.6,8,0,1,2.9,2.1,0.05,+0.1,+0.9,Matches
101,102,Carlos,br BRA,FW,Santa Clara,25,1995,2.0,2,9,1,11.1,4.50,0.50,0.11,1.00,20.5,0,1,1,1.6,0.8,0.09,+0.4,+0.2,Matches
102,103,José Carlos,pt POR,DF,Gil Vicente FC,23,1998,27.3,0,8,2,25.0,0.29,0.07,0.00,0.00,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
103,104,Luíz Carlos,br BRA,MF,Paços,36,1985,28.9,0,11,1,9.1,0.38,0.03,0.00,0.00,23.5,0,0,0,0.4,0.4,0.04,-0.4,-0.4,Matches
104,105,João Carlos Teixeira,pt POR,"FW,MF",Famalicão,28,1993,8.8,2,15,7,46.7,1.70,0.79,0.13,0.29,19.2,0,0,0,1.3,1.3,0.10,+0.7,+0.7,Matches
105,106,David Carmo,pt POR,DF,Braga,22,1999,11.0,0,4,1,25.0,0.36,0.09,0.00,0.00,12.8,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
106,107,Carraça,pt POR,"DF,MF",B-SAD,28,1993,24.5,0,31,7,22.6,1.26,0.29,0.00,0.00,28.1,10,0,0,1.4,1.4,0.05,-1.4,-1.4,Matches
107,108,Anderson Carvalho,br BRA,MF,Santa Clara,31,1990,21.1,0,21,1,4.8,1.00,0.05,0.00,0.00,23.1,0,0,0,0.9,0.9,0.04,-0.9,-0.9,Matches
108,109,Duarte Carvalho,pt POR,MF,Estoril,19,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
109,110,Martim Carvalho,pt POR,MF,Benfica,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
110,111,Vitor Carvalho,br BRA,MF,Gil Vicente FC,24,1997,24.8,0,15,3,20.0,0.60,0.12,0.00,0.00,19.4,0,0,0,1.1,1.1,0.07,-1.1,-1.1,Matches
111,112,Cassiano,br BRA,FW,FC Vizela,32,1989,17.7,7,46,11,23.9,2.61,0.62,0.13,0.55,14.9,2,1,1,6.8,6.0,0.13,+0.2,0.0,Matches
112,113,Mateo Cassierra,co COL,FW,B-SAD,24,1997,1.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,114,Moises Castillo,co COL,"DF,FW",Marítimo,20,2001,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
114,115,André Castro,pt POR,MF,Braga,33,1988,12.8,0,14,4,28.6,1.10,0.31,0.00,0.00,12.8,0,0,0,1.6,1.6,0.12,-1.6,-1.6,Matches
115,116,Tomás Castro,pt POR,MF,B-SAD,22,1999,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,117,Geny Catamo,mz MOZ,DF,Sporting CP,20,2001,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
117,118,Geny Catamo,mz MOZ,"FW,MF",Vitória,20,2001,2.5,0,8,1,12.5,3.16,0.39,0.00,0.00,23.4,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches
118,119,Charles,br BRA,GK,FC Vizela,27,1994,14.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
119,120,Francisco Chico,pt POR,"MF,FW",B-SAD,23,1998,6.1,0,4,1,25.0,0.66,0.16,0.00,0.00,12.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
120,121,Fábio China,pt POR,DF,Marítimo,29,1992,6.4,0,2,1,50.0,0.31,0.16,0.00,0.00,21.3,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
121,122,Chiquinho,pt POR,FW,Estoril,21,2000,9.3,3,20,7,35.0,2.15,0.75,0.15,0.43,17.6,2,0,0,1.8,1.8,0.09,+1.2,+1.2,Matches
122,123,Chiquinho,pt POR,"MF,FW",Braga,26,1995,2.3,0,5,3,60.0,2.18,1.31,0.00,0.00,16.0,0,0,0,0.7,0.7,0.13,-0.7,-0.7,Matches
123,124,André Clóvis,br BRA,FW,Estoril,23,1997,9.7,1,21,6,28.6,2.16,0.62,0.05,0.17,15.7,0,0,1,2.6,1.9,0.09,-1.6,-0.9,Matches
124,125,Sebastián Coates,uy URU,DF,Sporting CP,30,1990,29.3,2,33,11,33.3,1.13,0.38,0.06,0.18,10.3,0,0,0,3.7,3.6,0.11,-1.7,-1.6,Matches
125,126,Racine Coly,sn SEN,DF,Estoril,25,1995,1.9,0,1,0,0.0,0.53,0.00,0.00,,32.7,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
126,127,Francisco Conceição,pt POR,"MF,FW",Porto,18,2002,5.5,2,25,8,32.0,4.58,1.47,0.08,0.25,14.6,0,0,0,2.8,2.8,0.11,-0.8,-0.8,Matches
127,128,Rodrigo Conceição,pt POR,"DF,MF",Moreirense,21,2000,4.3,0,1,0,0.0,0.23,0.00,0.00,,15.3,0,0,0,0.1,0.1,0.11,-0.1,-0.1,Matches
128,129,Abdu Conté,pt POR,"DF,MF",Moreirense,23,1998,15.3,0,5,1,20.0,0.33,0.07,0.00,0.00,13.3,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
129,130,Jeriel Córdova,ve VEN,"FW,MF",Boavista,19,2002,2.3,2,8,3,37.5,3.43,1.29,0.25,0.67,12.1,0,0,0,1.5,1.5,0.19,+0.5,+0.5,Matches
130,131,Jesús Corona,mx MEX,"DF,MF",Porto,28,1993,4.3,0,3,2,66.7,0.70,0.46,0.00,0.00,12.7,0,0,0,0.6,0.6,0.21,-0.6,-0.6,Matches
131,132,Alexandre Manuel Penetra Correia,pt POR,DF,Famalicão,19,2001,28.9,1,5,1,20.0,0.17,0.03,0.20,1.00,11.1,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches
132,133,Rui Filipe Cunha Correia,pt POR,MF,Santa Clara,26,1995,13.4,0,5,1,20.0,0.37,0.07,0.00,0.00,22.9,1,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
133,134,Bruno Xavier Almeida Costa,pt POR,"MF,DF",Porto,24,1997,7.5,0,7,3,42.9,0.94,0.40,0.00,0.00,25.5,1,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
134,135,Diogo Costa,pt POR,GK,Porto,21,1999,33.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
135,136,Edgar Costa,pt POR,"MF,FW",Marítimo,34,1987,14.4,1,20,4,20.0,1.39,0.28,0.05,0.25,28.2,3,0,0,1.3,1.3,0.07,-0.3,-0.3,Matches
136,137,Matheus Costa,br BRA,DF,Marítimo,26,1995,21.1,5,15,9,60.0,0.71,0.43,0.33,0.56,9.4,0,0,0,2.7,2.7,0.18,+2.3,+2.3,Matches
137,138,Murilo Costa,br BRA,"FW,MF",Gil Vicente FC,26,1994,9.4,2,28,14,50.0,2.99,1.49,0.07,0.14,20.3,0,0,0,2.7,2.7,0.10,-0.7,-0.7,Matches
138,139,Diogo Costa Rodrigues,pt POR,MF,Portimonense,21,1999,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
139,140,Rui Costa,pt POR,FW,Santa Clara,25,1996,21.8,5,55,21,38.2,2.52,0.96,0.09,0.24,21.1,0,0,0,7.0,7.0,0.13,-2.0,-2.0,Matches
140,141,Tomás Costa Silva,pt POR,"FW,MF",FC Vizela,21,1999,0.4,0,2,1,50.0,4.62,2.31,0.00,0.00,9.5,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
141,142,Vitor Costa,br BRA,DF,Marítimo,27,1994,28.4,0,14,1,7.1,0.49,0.04,0.00,0.00,24.7,5,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
142,143,Costinha,pt POR,FW,Santa Clara,28,1992,0.9,0,2,0,0.0,2.34,0.00,0.00,,30.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
143,144,Filipe Couto,pt POR,MF,Marítimo,27,1994,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
