,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
600,601,Asier Villalibre,es ESP,FW,Athletic Club,23,1997,6.1,120,113,3,0,1,0,4,1,0,0,0,0,70,4,3,Matches
601,602,Gonzalo Villar,es ESP,MF,Getafe,23,1998,3.3,140,133,7,5,2,6,1,2,0,0,0,0,118,0,3,Matches
602,603,Vitolo,es ESP,MF,Getafe,31,1989,2.5,113,106,7,1,0,0,2,5,1,0,0,0,90,0,6,Matches
603,604,Daniel Vivian,es ESP,DF,Athletic Club,22,1999,22.1,951,891,57,56,0,14,3,1,0,0,0,0,787,3,10,Matches
604,605,Šime Vrsaljko,hr CRO,DF,Atlético Madrid,29,1992,10.2,601,497,102,3,0,2,44,99,0,0,0,0,436,2,12,Matches
605,606,Nikola Vukčević,me MNE,MF,Levante,29,1991,1.3,73,72,1,1,0,0,0,0,0,0,0,0,60,0,3,Matches
606,607,Daniel Wass,dk DEN,"DF,FW",Atlético Madrid,32,1989,0.5,28,19,9,0,0,0,2,9,0,0,0,0,20,0,3,Matches
607,608,Daniel Wass,dk DEN,MF,Valencia,32,1989,17.6,689,604,84,33,3,13,35,5,14,3,6,0,534,1,5,Matches
608,609,Iñaki Williams,gh GHA,FW,Athletic Club,27,1994,30.9,665,640,19,0,5,5,48,4,0,0,0,0,420,6,26,Matches
609,610,Nico Williams,es ESP,MF,Athletic Club,19,2002,14.9,455,443,8,0,1,0,58,4,4,0,1,0,315,4,16,Matches
610,611,Okay Yokuşlu,tr TUR,"DF,MF",Getafe,27,1994,5.2,195,192,3,3,0,3,0,0,0,0,0,0,155,0,1,Matches
611,612,Okay Yokuşlu,tr TUR,"DF,MF",Celta Vigo,27,1994,1.6,80,79,1,1,0,1,0,0,0,0,0,0,72,0,0,Matches
612,613,Joseba Zaldúa,es ESP,DF,Real Sociedad,29,1992,13.0,616,480,135,12,0,1,33,123,0,0,0,0,473,1,12,Matches
613,614,Oier Zarraga,es ESP,MF,Athletic Club,22,1999,13.0,491,484,5,4,1,4,19,1,0,0,0,0,378,2,9,Matches
614,615,Luca Zidane,fr FRA,GK,Rayo Vallecano,23,1998,7.2,231,163,68,15,0,1,0,0,0,0,0,0,172,0,0,Matches
615,616,Igor Zubeldia,es ESP,DF,Real Sociedad,24,1997,18.3,1045,1009,35,28,2,3,4,7,0,0,0,0,908,1,6,Matches
616,617,Martín Zubimendi,es ESP,MF,Real Sociedad,22,1999,28.8,1459,1430,25,24,2,11,2,1,0,0,0,0,1245,4,14,Matches
