,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
40,41,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31.0,5,0,0,2,2,0,0,1,0,0,1,1,30,7,0,100.0,Matches
41,42,Miguel Ángel Herrera,mx MEX,DF,Pachuca,32,1989,8.1,2,1,0,8,6,1,2,16,4,0,0,0,32,24,18,57.1,Matches
42,43,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,0,0,0,1,1,0,9,3,3,0,0,0,17,1,6,14.3,Matches
43,44,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,3,1,0,18,12,0,15,18,14,0,0,0,77,11,12,47.8,Matches
44,45,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,2,0,0,13,24,3,5,4,6,1,0,0,39,27,43,38.6,Matches
45,46,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,6,0,0,36,17,2,81,44,42,0,1,0,182,48,60,44.4,Matches
46,47,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,1,0,0,16,39,3,38,7,13,0,0,0,135,10,17,37.0,Matches
47,48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,0,0,0,2,6,0,21,3,3,0,0,0,16,0,1,0.0,Matches
48,49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,0,0,0,0,1,0,8,0,1,0,0,0,8,0,1,0.0,Matches
49,50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,7,1,0,29,28,0,36,32,27,0,2,0,102,50,40,55.6,Matches
50,51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,66.7,Matches
51,52,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,Matches
52,53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,2,0,0,14,30,7,76,14,6,3,0,0,46,8,18,30.8,Matches
53,54,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,2,0,0,5,24,5,41,7,6,0,0,0,29,8,10,44.4,Matches
54,55,Javier Aquino,mx MEX,"DF,MF",UANL,31,1990,32.9,4,0,0,28,61,1,84,71,59,0,0,0,204,30,25,54.5,Matches
55,56,Pedro Aquino,pe PER,MF,América,26,1995,15.4,5,0,0,40,24,0,0,26,29,0,0,0,110,51,34,60.0,Matches
56,57,Ángelo Araos,cl CHI,"MF,FW",Necaxa,24,1997,5.2,1,0,0,13,7,0,9,4,7,0,0,0,30,6,8,42.9,Matches
57,58,Maximiliano Araújo,uy URU,"MF,DF",Puebla,21,2000,29.2,2,0,0,40,84,7,113,20,24,0,1,0,164,19,27,41.3,Matches
58,59,Fernando Arce Jr.,us USA,MF,FC Juárez,24,1996,12.7,4,1,0,20,23,1,2,23,18,0,1,0,70,11,10,52.4,Matches
59,60,Fernando Arce Jr.,us USA,"FW,MF",Necaxa,24,1996,0.2,0,1,0,1,1,0,0,0,1,0,0,0,2,0,0,,Matches
60,61,Sagir Arce,us USA,"FW,MF",Mazatlán,19,2002,3.6,0,0,0,5,13,0,6,0,3,0,0,0,14,3,9,25.0,Matches
61,62,Fernando Aristeguieta,ve VEN,FW,Puebla,29,1992,16.9,6,0,0,20,24,6,9,2,3,0,1,0,44,80,85,48.5,Matches
62,63,Blas Armoa,py PAR,"FW,MF",FC Juárez,21,2000,1.5,1,0,0,3,2,0,2,1,1,0,0,0,7,0,4,0.0,Matches
63,64,Alejandro Arribas,es ESP,DF,FC Juárez,32,1989,13.9,1,0,0,6,15,1,0,27,14,0,0,1,81,23,13,63.9,Matches
64,65,Giovanni Augusto,br BRA,"FW,MF",Mazatlán,31,1989,8.0,0,0,0,7,10,4,29,2,4,1,0,0,32,6,8,42.9,Matches
65,66,Erick Ávalos,mx MEX,DF,UANL,21,2000,1.6,0,0,0,0,2,0,3,2,8,0,0,0,7,2,3,40.0,Matches
66,67,José Ávila,mx MEX,"MF,DF",Santos,23,1998,1.1,0,0,0,2,3,0,5,1,3,0,0,0,6,1,1,50.0,Matches
67,68,David Ayala,mx MEX,MF,UANL,21,2000,2.7,0,0,0,3,0,0,0,7,7,0,0,0,17,4,7,36.4,Matches
68,69,Hugo Ayala,mx MEX,DF,UANL,34,1987,13.0,2,1,0,7,5,0,0,32,16,0,1,1,41,14,22,38.9,Matches
69,70,Ettson Ayon,mx MEX,FW,Tijuana,20,2001,0.3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0.0,Matches
70,71,Rafael Baca,mx MEX,MF,Cruz Azul,31,1989,26.0,2,0,0,29,15,0,8,26,19,0,0,0,160,25,23,52.1,Matches
71,72,Claudio Baeza,cl CHI,MF,Toluca,27,1993,30.4,11,1,1,51,33,0,16,40,51,0,0,0,226,21,20,51.2,Matches
72,73,Kevin Balanta,co COL,"MF,DF",Querétaro,24,1997,20.6,3,0,0,34,20,0,3,31,30,0,0,0,147,25,15,62.5,Matches
73,74,Miguel Barbieri,ar ARG,DF,Toluca,27,1993,6.5,2,0,0,15,5,0,0,7,4,0,0,0,29,19,14,57.6,Matches
74,75,David Barbona,ar ARG,"FW,MF",Tijuana,26,1995,11.9,2,0,0,13,5,3,82,6,7,0,0,0,68,11,20,35.5,Matches
75,76,Diego Barbosa,mx MEX,DF,Atlas,24,1996,22.1,3,0,0,37,8,2,81,19,46,0,0,0,120,21,20,51.2,Matches
76,77,Adam Bareiro,py PAR,FW,Atlético,25,1996,6.8,0,0,0,13,10,1,5,0,0,0,0,0,21,16,23,41.0,Matches
77,78,Sergio Bareiro,py PAR,FW,Necaxa,22,1998,2.5,0,0,0,8,3,1,1,1,1,0,0,0,9,9,7,56.3,Matches
78,79,Marcelo Barovero,ar ARG,GK,Atlético,37,1984,30.0,2,0,0,0,2,0,0,2,0,0,0,0,34,7,0,100.0,Matches
79,80,Martín Barragán,mx MEX,"MF,DF",Puebla,30,1991,3.0,2,0,0,2,11,0,1,1,5,0,0,0,18,13,7,65.0,Matches
80,81,Jaine Barreiro,co COL,DF,León,27,1994,27.0,9,1,0,36,33,2,5,47,24,0,0,0,143,47,31,60.3,Matches
81,82,Pablo Barrera,mx MEX,"MF,FW",Querétaro,34,1987,29.2,2,0,0,13,46,6,236,31,12,0,0,0,145,7,10,41.2,Matches
82,83,Damián Batallini,ar ARG,FW,Atlético,25,1996,2.2,0,0,0,5,5,0,12,0,0,0,0,0,11,1,3,25.0,Matches
