,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
39,40,Fidel Ambríz,mx MEX,MF,León,18,2003,10.7,17,1.59,14,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
40,41,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31.0,14,0.45,11,2,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
41,42,Miguel Ángel Herrera,mx MEX,DF,Pachuca,32,1989,8.1,6,0.74,4,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
42,43,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,10,4.13,6,0,3,0,1,0,0,0.00,0,0,0,0,0,0,Matches
43,44,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,17,1.12,7,5,0,4,0,1,0,0.00,0,0,0,0,0,0,Matches
44,45,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,29,2.02,16,0,3,6,3,1,3,0.21,1,0,1,1,0,0,Matches
45,46,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,85,2.80,62,10,4,2,1,6,4,0.13,3,1,0,0,0,0,Matches
46,47,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,97,3.66,76,6,6,1,7,1,5,0.19,4,0,0,0,1,0,Matches
47,48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,21,6.02,14,2,0,2,3,0,1,0.29,1,0,0,0,0,0,Matches
48,49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,3,3.10,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
49,50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,30,1.36,20,6,1,1,2,0,2,0.09,2,0,0,0,0,0,Matches
50,51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,2,0.40,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
51,52,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
52,53,Uriel Antuna,mx MEX,"FW,MF",Cruz Azul,23,1997,14.0,46,3.28,31,1,3,4,7,0,7,0.50,4,0,0,0,3,0,Matches
53,54,Uriel Antuna,mx MEX,"FW,MF",Guadalajara,23,1997,9.6,22,2.30,16,1,2,1,2,0,0,0.00,0,0,0,0,0,0,Matches
