,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
29,30,Sinan Bakış,tr TUR,FW,Heracles Almelo,27,1994,17.0,238,341,69.8,3382,646,123,171,71.9,82,108,75.9,12,23,52.2,0,0.7,1.1,-0.7,8,21,3,0,16,Matches
30,31,Justin Bakker,nl NED,DF,Go Ahead Eag,23,1998,8.2,363,498,72.9,7913,3653,118,130,90.8,166,204,81.4,72,144,50.0,1,0.9,1.1,+0.1,9,39,15,4,34,Matches
31,32,Nick Bakker,nl NED,DF,Heerenveen,29,1992,18.2,686,804,85.3,13522,4191,212,240,88.3,386,422,91.5,78,122,63.9,1,1.1,1.0,-0.1,6,32,3,0,33,Matches
32,33,Remco Balk,nl NED,"FW,MF",Utrecht,20,2001,5.0,77,122,63.1,1102,239,44,63,69.8,27,38,71.1,3,9,33.3,1,1.3,1.9,-0.3,6,1,7,2,6,Matches
33,34,Alex Bangura,sl SLE,DF,Cambuur,22,1999,26.8,1044,1266,82.5,16636,4253,550,609,90.3,390,464,84.1,74,127,58.3,0,0.7,0.6,-0.7,12,48,7,0,34,Matches
34,35,Naoufal Bannis,nl NED,"MF,FW",Feyenoord,19,2002,0.2,3,4,75.0,33,12,0,1,0.0,1,1,100.0,0,0,,0,0.3,0.0,-0.3,1,1,0,0,0,Matches
35,36,Yusuf Barasi,tr TUR,FW,AZ Alkmaar,18,2003,0.6,14,17,82.4,182,27,9,10,90.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,1,0,1,0,1,Matches
36,37,Édgar Barreto,py PAR,"MF,DF",NEC Nijmegen,37,1984,13.8,553,684,80.8,8766,3262,286,332,86.1,201,223,90.1,43,91,47.3,0,0.3,0.6,-0.3,6,52,11,1,50,Matches
37,38,Bilal Başaçıkoğlu,tr TUR,"FW,MF",Heracles Almelo,26,1995,16.4,296,497,59.6,5242,1557,151,189,79.9,92,156,59.0,46,108,42.6,2,3.8,3.1,-1.8,25,17,20,13,21,Matches
38,39,Cole Bassett,us USA,"MF,DF",Feyenoord,20,2001,1.0,49,61,80.3,760,135,24,29,82.8,15,18,83.3,6,10,60.0,1,0.3,0.2,+0.7,4,4,2,0,4,Matches
39,40,Riechedly Bazoer,nl NED,DF,Vitesse,24,1996,21.8,1129,1380,81.8,24067,8725,402,437,92.0,480,529,90.7,221,361,61.2,4,1.5,1.3,+2.5,17,136,22,6,98,Matches
40,41,Sven van Beek,nl NED,DF,Heerenveen,27,1994,28.5,1298,1538,84.4,25066,9497,464,518,89.6,657,714,92.0,154,261,59.0,0,0.4,0.6,-0.4,5,53,6,1,61,Matches
41,42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,0,2,0.0,0,0,0,1,0.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
42,43,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,0.8,30,36,83.3,487,185,15,18,83.3,13,13,100.0,2,3,66.7,0,0.0,0.0,0.0,0,4,1,0,5,Matches
43,44,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,9.3,245,364,67.3,4512,1599,113,144,78.5,71,98,72.4,48,83,57.8,2,1.5,1.8,+0.5,15,37,11,1,34,Matches
44,45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,68,82,82.9,1247,434,27,31,87.1,37,42,88.1,4,9,44.4,0,0.0,0.0,0.0,0,2,0,0,1,Matches
45,46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,68,121,56.2,841,191,46,71,64.8,16,30,53.3,1,4,25.0,0,0.6,0.1,-0.6,3,7,2,0,3,Matches
46,47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,6.9,99,147,67.3,1436,403,56,67,83.6,27,43,62.8,9,14,64.3,2,1.4,1.2,+0.6,8,4,5,2,10,Matches
47,48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,32,41,78.0,501,94,17,19,89.5,11,14,78.6,2,4,50.0,0,0.1,0.1,-0.1,1,0,2,1,1,Matches
48,49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,26.5,1247,1589,78.5,21039,6453,633,714,88.7,397,491,80.9,156,259,60.2,11,9.9,12.1,+1.1,79,122,82,13,167,Matches
49,50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,299,376,79.5,6052,1747,74,94,78.7,184,208,88.5,37,65,56.9,0,0.3,0.1,-0.3,3,16,0,0,12,Matches
50,51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,708,979,72.3,10738,2713,364,447,81.4,254,337,75.4,48,94,51.1,1,1.4,1.5,-0.4,16,69,17,4,65,Matches
51,52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,514,664,77.4,10320,3522,152,196,77.6,295,343,86.0,61,107,57.0,0,0.7,0.8,-0.7,3,20,2,0,26,Matches
52,53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,540,646,83.6,10056,3959,189,214,88.3,300,330,90.9,43,84,51.2,1,0.4,0.4,+0.6,3,38,3,1,35,Matches
53,54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,558,729,76.5,14729,10392,108,108,100.0,283,285,99.3,165,332,49.7,0,0.5,0.0,-0.5,2,11,0,0,1,Matches
54,55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,577,812,71.1,16176,11078,81,81,100.0,308,321,96.0,188,406,46.3,0,0.0,0.1,0.0,2,12,2,1,1,Matches
55,56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,2592,3096,83.7,46574,20707,1143,1262,90.6,1157,1332,86.9,269,399,67.4,2,3.9,7.6,-1.9,28,434,93,12,381,Matches
56,57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,203,306,66.3,3233,490,101,142,71.1,81,101,80.2,11,14,78.6,1,1.9,1.0,-0.9,15,17,5,2,20,Matches
57,58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,2.7,63,91,69.2,1073,302,26,35,74.3,28,38,73.7,5,8,62.5,0,0.0,0.1,0.0,1,4,3,1,6,Matches
58,59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,0.2,4,5,80.0,32,4,3,4,75.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
59,60,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,143,217,65.9,4265,3197,28,28,100.0,62,62,100.0,52,121,43.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
60,61,Olivier Boscagli,fr FRA,"DF,MF",PSV Eindhoven,23,1997,26.2,1718,2081,82.6,35971,13117,517,594,87.0,891,970,91.9,288,457,63.0,0,1.1,1.6,-1.1,13,214,7,0,139,Matches
61,62,Jesse Bosch,nl NED,MF,Twente,21,2000,9.7,300,414,72.5,4417,975,160,200,80.0,105,131,80.2,14,38,36.8,0,1.2,1.2,-1.2,7,22,4,0,12,Matches
