,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
43,44,Gustavo Assuncao,pt POR,MF,Famalicão,21,2000,6.7,393,15,101,247,49,4,393,6,10,60.0,8,3,232,4,Matches
44,45,Fernando Augusto,br BRA,GK,Arouca,24,1997,6.9,266,228,266,0,0,0,266,0,0,,1,0,105,0,Matches
45,46,Javier Avilés,es ESP,"MF,FW",Tondela,23,1997,1.7,75,1,11,30,37,4,75,5,13,38.5,6,7,52,10,Matches
46,47,Chidozie Awaziem,ng NGA,DF,Boavista,24,1997,3.0,150,23,103,48,1,0,150,0,0,,0,2,99,0,Matches
47,48,Abdoulaye Ba,sn SEN,DF,Arouca,30,1991,14.9,881,114,542,331,9,7,881,2,3,66.7,12,0,522,1,Matches
48,49,Abdoulaye Ba,sn SEN,DF,Moreirense,30,1991,1.0,67,5,35,29,4,3,67,1,1,100.0,1,1,32,1,Matches
49,50,Marco Baixinho,pt POR,DF,Paços,32,1989,24.3,1376,140,798,563,23,12,1376,2,2,100.0,6,2,928,1,Matches
50,51,Ibrahima Bamba,ci CIV,MF,Vitória,19,2002,3.3,176,8,65,94,19,1,176,1,1,100.0,2,0,104,2,Matches
51,52,Daniel Bandeira,pt POR,MF,Vitória,21,2000,0.2,16,1,3,7,6,0,16,0,0,,2,0,11,0,Matches
52,53,Simon Banza,fr FRA,FW,Famalicão,24,1996,25.9,793,39,62,333,404,125,791,27,60,45.0,91,42,644,151,Matches
53,54,Yves Baraye,sn SEN,"FW,MF",B-SAD,29,1992,11.8,451,11,80,215,167,40,451,19,49,38.8,34,18,261,34,Matches
54,55,Rafael Barbosa,pt POR,"MF,FW",Tondela,25,1996,19.2,881,7,110,473,311,43,881,22,46,47.8,37,31,629,70,Matches
55,56,Romário Baró,pt POR,MF,Estoril,21,2000,4.3,182,7,32,97,58,7,182,10,19,52.6,15,11,131,15,Matches
56,57,Oscar Barreto,co COL,"FW,MF",Santa Clara,28,1993,3.9,170,5,35,77,63,9,170,4,8,50.0,8,2,100,14,Matches
57,58,Gil Bastião Dias,pt POR,"DF,FW",Benfica,24,1996,7.3,508,5,75,214,231,24,508,23,38,60.5,26,6,342,39,Matches
58,59,Dylan Batubinsika,fr FRA,DF,Famalicão,25,1996,16.7,914,104,536,364,20,11,914,7,9,77.8,10,1,513,3,Matches
59,60,Clésio Baúque,mz MOZ,"DF,FW",Marítimo,26,1994,5.3,249,12,74,99,82,4,249,14,23,60.9,17,11,146,10,Matches
60,61,Bebeto,br BRA,"DF,MF",Tondela,31,1990,15.4,907,42,356,375,193,7,907,11,19,57.9,26,8,441,34,Matches
61,62,Alireza Beiranvand,ir IRN,GK,Boavista,28,1992,7.5,301,272,301,0,0,0,301,4,4,100.0,2,0,105,0,Matches
62,63,Stefano Beltrame,it ITA,MF,Marítimo,28,1993,15.4,753,20,159,415,198,8,753,18,31,58.1,30,12,509,25,Matches
63,64,Berna,pt POR,MF,Braga,18,2002,0.0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
64,65,Paulo Bernardo,pt POR,MF,Benfica,19,2002,8.7,547,11,79,281,192,28,547,17,24,70.8,21,11,392,33,Matches
65,66,Beto,gw GNB,FW,Portimonense,23,1998,3.0,69,4,7,26,38,10,69,2,4,50.0,4,4,47,12,Matches
66,67,Aylton Boa Morte,pt POR,"FW,MF",Portimonense,27,1993,12.3,386,9,48,137,214,37,385,22,41,53.7,37,13,292,86,Matches
67,68,Kennedy Boateng,tg TOG,DF,Santa Clara,24,1996,23.3,1162,138,728,406,35,30,1162,2,4,50.0,13,0,639,1,Matches
68,69,Kiko Bondoso,pt POR,FW,FC Vizela,25,1995,30.2,1221,23,131,535,578,108,1221,25,62,40.3,63,37,894,171,Matches
69,70,Trova Boni,bf BFA,MF,B-SAD,21,1999,4.9,171,15,52,103,18,1,171,7,10,70.0,11,12,70,2,Matches
70,71,Toni Borevkovic,hr CRO,DF,Vitória,24,1997,22.1,1303,125,627,653,28,19,1303,1,1,100.0,7,5,882,3,Matches
71,72,Gonçalo Borges,pt POR,MF,Porto,20,2001,0.1,5,0,0,1,4,1,5,0,0,,0,0,5,1,Matches
72,73,Neto Borges,br BRA,"DF,MF",Tondela,24,1996,23.7,1404,69,525,610,290,33,1404,36,48,75.0,45,23,719,48,Matches
73,74,Pedro Borges,br BRA,MF,Tondela,24,1997,22.1,1058,55,314,597,156,18,1058,20,24,83.3,43,20,640,30,Matches
74,75,Mohamed Bouldini,ma MAR,FW,Santa Clara,25,1995,1.7,73,5,9,26,38,11,73,2,3,66.7,8,2,58,12,Matches
75,76,Rafael Bracalli,br BRA,GK,Boavista,40,1981,26.5,904,797,903,2,0,0,904,1,1,100.0,2,0,306,0,Matches
76,77,Victor Braga,br BRA,GK,Arouca,29,1992,23.1,832,665,826,8,0,0,832,0,0,,0,0,331,1,Matches
77,78,Daniel Bragança,pt POR,MF,Sporting CP,22,1999,8.7,706,10,87,473,152,15,706,22,29,75.9,16,14,544,26,Matches
78,79,Pedro Brazão,pt POR,"MF,FW",Famalicão,18,2002,4.2,155,1,21,83,57,4,155,8,20,40.0,6,8,101,15,Matches
