,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
29,30,Jean-Kévin Augustin,fr FRA,"FW,MF",Nantes,24,1997,0.9,11,14,78.6,133,3,5,5,100.0,4,7,57.1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
30,31,Karim Azamoum,fr FRA,DF,Troyes,31,1990,4.3,102,148,68.9,1716,670,53,64,82.8,41,55,74.5,7,22,31.8,0,0.0,0.0,0.0,0,2,0,0,3,Matches
31,32,Loïc Bade,fr FRA,DF,Rennes,21,2000,10.9,655,729,89.8,13508,4364,177,196,90.3,398,422,94.3,74,104,71.2,1,0.7,0.3,+0.3,2,34,3,1,26,Matches
32,33,Benoît Badiashile,fr FRA,DF,Monaco,20,2001,20.4,1212,1380,87.8,23885,8489,395,437,90.4,662,710,93.2,136,198,68.7,0,0.5,0.6,-0.5,3,81,2,0,87,Matches
33,34,Youssouph Badji,sn SEN,"FW,MF",Brest,19,2001,1.5,22,35,62.9,210,44,18,28,64.3,1,3,33.3,0,0,,0,0.1,0.2,-0.1,2,2,0,0,1,Matches
34,35,Stéphane Bahoken,cm CMR,FW,Angers,29,1992,12.2,157,218,72.0,2051,397,82,105,78.1,41,54,75.9,10,16,62.5,1,1.0,0.5,0.0,8,10,4,1,9,Matches
35,36,Dénys Bain,fr FRA,DF,Brest,28,1993,2.0,79,84,94.0,1670,707,16,17,94.1,49,51,96.1,13,14,92.9,0,0.0,0.0,0.0,0,3,0,0,7,Matches
36,37,Stefan Bajic,fr FRA,GK,Saint-Étienne,19,2001,5.7,130,186,69.9,3466,2833,29,29,100.0,67,67,100.0,34,89,38.2,0,0.0,0.0,0.0,0,2,0,0,0,Matches
37,38,Cédric Bakambu,cd COD,FW,Marseille,30,1991,4.0,50,67,74.6,684,148,30,34,88.2,15,23,65.2,1,3,33.3,0,0.9,0.3,-0.9,7,3,1,0,4,Matches
38,39,Abdoulaye Bakayoko,fr FRA,DF,Saint-Étienne,18,2002,3.4,93,136,68.4,1619,718,37,43,86.0,46,59,78.0,7,26,26.9,0,0.0,0.0,0.0,0,6,1,0,8,Matches
39,40,Dilane Bakwa,fr FRA,"FW,MF",Bordeaux,18,2002,0.5,7,14,50.0,107,23,2,5,40.0,2,4,50.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
40,41,Ibrahima Baldé,fr FRA,"FW,MF",Lens,18,2003,0.6,7,11,63.6,105,26,3,6,50.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
41,42,Leonardo Balerdi,ar ARG,DF,Marseille,22,1999,10.6,753,819,91.9,14191,4930,269,283,95.1,396,418,94.7,80,107,74.8,0,0.1,0.1,-0.1,1,32,0,0,31,Matches
42,43,Abdoulaye Bamba,ci CIV,"DF,FW",Angers,31,1990,5.1,140,183,76.5,2236,914,70,79,88.6,56,74,75.7,8,19,42.1,0,0.1,0.1,-0.1,2,7,2,1,11,Matches
43,44,Jonathan Bamba,fr FRA,"MF,FW",Lille,25,1996,27.0,866,1148,75.4,13258,4314,511,587,87.1,235,301,78.1,79,154,51.3,2,4.3,4.8,-2.3,46,76,34,8,87,Matches
44,45,Simon Banza,fr FRA,FW,Lens,24,1996,1.4,18,31,58.1,296,70,10,16,62.5,5,8,62.5,2,3,66.7,1,0.5,0.6,+0.5,2,1,0,0,1,Matches
45,46,Danilo Barbosa,br BRA,DF,Nice,25,1996,1.0,32,42,76.2,596,204,10,12,83.3,17,19,89.5,4,8,50.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches
46,47,Bradley Barcola,fr FRA,"FW,MF",Lyon,18,2002,2.9,57,81,70.4,759,237,38,49,77.6,13,22,59.1,2,3,66.7,1,0.8,1.0,+0.2,6,3,7,3,11,Matches
47,48,Melvin Bard,fr FRA,DF,Nice,20,2000,28.8,1508,1878,80.3,24326,8654,790,882,89.6,560,677,82.7,112,206,54.4,2,3.0,2.4,-1.0,22,111,22,13,113,Matches
48,49,Toma Bašić,hr CRO,MF,Bordeaux,24,1996,2.3,67,95,70.5,1318,354,27,30,90.0,29,40,72.5,11,23,47.8,1,0.5,0.4,+0.5,5,6,1,1,5,Matches
49,50,Amine Bassi,fr FRA,"MF,FW",Metz,23,1997,2.0,85,117,72.6,1461,496,41,53,77.4,37,44,84.1,6,15,40.0,0,0.5,0.4,-0.5,7,13,0,0,8,Matches
50,51,Paul Baysse,fr FRA,"MF,DF",Bordeaux,33,1988,0.1,2,4,50.0,47,12,0,1,0.0,1,1,100.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
51,52,Youcef Belaïli,dz ALG,"MF,FW",Brest,29,1992,9.2,271,390,69.5,5100,1639,123,148,83.1,88,119,73.9,46,85,54.1,2,3.0,2.3,-1.0,18,31,17,2,33,Matches
52,53,Haris Belkebla,dz ALG,MF,Brest,27,1994,25.7,826,986,83.8,14445,4109,381,430,88.6,337,396,85.1,89,117,76.1,0,1.0,1.3,-1.0,15,71,11,4,67,Matches
53,54,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,23,1998,25.9,876,1073,81.6,14498,3130,422,472,89.4,348,404,86.1,78,130,60.0,3,3.5,2.4,-0.5,23,75,18,2,62,Matches
54,55,Jeanöel Belocian,fr FRA,DF,Rennes,16,2005,0.1,8,10,80.0,126,46,3,3,100.0,4,5,80.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
55,56,Hatem Ben Arfa,fr FRA,"FW,MF",Lille,34,1987,3.5,132,153,86.3,1922,355,77,80,96.3,40,49,81.6,8,13,61.5,1,0.8,1.1,+0.2,6,5,4,0,7,Matches
56,57,Salim Ben Seghir,fr FRA,MF,Marseille,18,2003,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
57,58,Wissam Ben Yedder,fr FRA,FW,Monaco,30,1990,28.1,495,688,71.9,6641,1263,299,370,80.8,145,216,67.1,20,32,62.5,5,5.0,4.8,0.0,32,32,30,0,50,Matches
58,59,Darío Benedetto,ar ARG,"FW,MF",Marseille,31,1990,0.6,9,12,75.0,153,32,3,4,75.0,5,6,83.3,0,1,0.0,0,0.1,0.0,-0.1,1,1,0,0,0,Matches
59,60,Walter Benítez,ar ARG,GK,Nice,28,1993,37.0,777,1036,75.0,20536,15860,213,213,100.0,330,337,97.9,232,481,48.2,0,0.0,0.1,0.0,0,6,1,0,0,Matches
60,61,Loris Benito,ch SUI,DF,Bordeaux,29,1992,0.7,42,52,80.8,781,289,11,14,78.6,30,33,90.9,1,5,20.0,0,0.0,0.0,0.0,0,1,0,0,5,Matches
61,62,Nabil Bentaleb,dz ALG,MF,Angers,26,1994,16.8,755,913,82.7,13017,4028,324,370,87.6,333,387,86.0,66,96,68.8,0,0.1,0.4,-0.1,3,81,5,0,65,Matches
62,63,Patrick Berg,no NOR,MF,Lens,23,1997,3.4,179,217,82.5,2936,633,83,94,88.3,75,92,81.5,12,18,66.7,0,0.1,0.1,-0.1,1,13,1,0,10,Matches
63,64,Mitchell van Bergen,nl NED,"FW,MF",Reims,21,1999,10.9,139,225,61.8,2171,618,77,95,81.1,34,55,61.8,20,47,42.6,0,1.5,1.1,-1.5,18,1,12,5,10,Matches
64,65,Valon Berisha,xk KVX,"MF,FW",Reims,28,1993,5.1,126,188,67.0,2198,751,62,85,72.9,38,51,74.5,17,35,48.6,1,0.7,0.5,+0.3,8,13,4,2,15,Matches
65,66,Paul Bernardoni,fr FRA,GK,Angers,24,1997,13.0,267,340,78.5,7530,4956,27,27,100.0,146,150,97.3,92,160,57.5,0,0.0,0.0,0.0,0,2,0,0,0,Matches
66,67,Paul Bernardoni,fr FRA,GK,Saint-Étienne,24,1997,19.0,330,581,56.8,9834,7548,57,58,98.3,147,152,96.7,124,367,33.8,0,0.0,0.0,0.0,0,7,0,0,0,Matches
67,68,Juan Bernat,es ESP,"DF,MF",Paris S-G,28,1993,10.6,628,681,92.2,8076,1920,420,445,94.4,173,185,93.5,10,17,58.8,0,0.7,1.0,-0.7,5,37,5,1,16,Matches
68,69,Dimitry Bertaud,fr FRA,GK,Montpellier,23,1998,9.3,223,313,71.2,5837,4461,54,54,100.0,105,105,100.0,64,153,41.8,0,0.0,0.0,0.0,0,0,0,0,0,Matches
69,70,Jason Berthomier,fr FRA,MF,Clermont Foot,31,1990,19.2,1158,1427,81.1,18350,4970,642,700,91.7,368,436,84.4,104,214,48.6,5,4.4,4.7,+0.6,46,103,20,6,87,Matches
70,71,Giulian Biancone,fr FRA,"DF,MF",Troyes,21,2000,25.5,939,1279,73.4,16275,6666,430,522,82.4,394,504,78.2,86,184,46.7,2,1.2,1.3,+0.8,14,68,18,13,67,Matches
71,72,El Bilal Touré,ml MLI,FW,Reims,19,2001,13.3,242,330,73.3,3005,497,167,211,79.1,57,79,72.2,5,9,55.6,4,2.0,0.8,+2.0,11,17,6,1,16,Matches
72,73,Jean-Claude Billong,cm CMR,DF,Clermont Foot,27,1993,10.9,417,490,85.1,8060,2766,131,146,89.7,233,251,92.8,42,70,60.0,0,0.1,0.1,-0.1,1,12,1,1,16,Matches
73,74,Nathan Bitu Mazala,fr FRA,DF,Paris S-G,18,2002,0.1,9,10,90.0,124,22,5,6,83.3,4,4,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
74,75,Marco Bizot,nl NED,GK,Brest,30,1991,38.0,851,1207,70.5,29158,23024,86,86,100.0,371,376,98.7,393,742,53.0,1,0.1,0.1,+0.9,2,22,0,0,0,Matches
