,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
28,29,Leandro Barreiro Martins,lu LUX,MF,Mainz 05,21,2000,19.9,375,536,70.0,5457,1742,204,252,81.0,136,186,73.1,16,35,45.7,2,2.7,1.6,-0.7,15,35,15,1,44,Matches
29,30,Jacob Barrett Laursen,dk DEN,DF,Arminia,26,1994,18.1,541,783,69.1,9274,3522,255,299,85.3,226,311,72.7,50,119,42.0,0,0.7,1.0,-0.7,6,36,6,3,31,Matches
30,31,Abdourahmane Barry,fr FRA,DF,Greuther Fürth,21,2000,2.3,85,111,76.6,1351,590,47,51,92.2,29,35,82.9,6,16,37.5,0,0.1,0.2,-0.1,2,5,2,2,6,Matches
31,32,Maximilian Bauer,de GER,DF,Greuther Fürth,21,2000,18.8,723,897,80.6,14772,5431,228,263,86.7,390,441,88.4,103,172,59.9,0,0.0,0.1,0.0,1,20,0,0,20,Matches
32,33,Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,1225,1523,80.4,28367,18807,366,367,99.7,589,595,99.0,258,541,47.7,0,0.0,0.1,0.0,0,18,0,0,0,Matches
33,34,Timo Baumgartl,de GER,DF,Union Berlin,25,1996,24.1,950,1205,78.8,18451,7413,321,392,81.9,487,559,87.1,122,210,58.1,2,1.0,0.7,+1.0,8,60,8,5,69,Matches
34,35,Julian Baumgartlinger,at AUT,"MF,FW",Leverkusen,33,1988,1.0,62,70,88.6,1087,188,27,29,93.1,26,28,92.9,6,8,75.0,0,0.0,0.0,0.0,0,4,0,0,1,Matches
35,36,Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,21,1999,21.0,514,729,70.5,8091,2264,249,315,79.0,190,250,76.0,46,87,52.9,2,3.6,2.9,-1.6,21,50,23,7,55,Matches
36,37,Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,24,1996,2.7,30,51,58.8,452,156,16,23,69.6,9,14,64.3,2,4,50.0,0,0.3,0.7,-0.3,2,2,3,2,3,Matches
37,38,Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,27,1994,23.2,431,629,68.5,6005,1947,250,323,77.4,126,178,70.8,25,42,59.5,2,2.0,2.5,0.0,20,24,35,12,46,Matches
38,39,Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,26,1995,19.5,374,605,61.8,6353,1953,163,230,70.9,147,223,65.9,42,84,50.0,6,6.6,6.2,-0.6,41,30,46,26,48,Matches
39,40,Kevin Behrens,de GER,FW,Union Berlin,30,1991,5.5,125,195,64.1,1631,373,81,111,73.0,35,53,66.0,4,9,44.4,2,1.7,0.9,+0.3,8,13,4,0,12,Matches
40,41,Ishak Belfodil,dz ALG,FW,Hertha BSC,29,1992,18.2,327,471,69.4,4001,741,209,277,75.5,83,120,69.2,10,17,58.8,2,2.8,1.9,-0.8,22,11,11,1,20,Matches
41,42,Stefan Bell,de GER,DF,Mainz 05,29,1991,31.8,1180,1545,76.4,21345,9558,496,571,86.9,567,678,83.6,105,237,44.3,0,1.4,1.0,-1.4,10,75,6,2,74,Matches
