,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
378,379,Ayoze Pérez,es ESP,"MF,FW",Leicester City,28,1993,4.9,123,156,78.8,1552,421,75,89,84.3,29,35,82.9,5,8,62.5,3,1.9,0.6,+1.1,11,12,5,0,13,Matches
379,380,Sonny Perkins,eng ENG,FW,West Ham,17,2004,0.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches
380,381,Romain Perraud,fr FRA,DF,Southampton,23,1997,18.0,478,749,63.8,6658,2707,296,361,82.0,148,236,62.7,19,84,22.6,1,0.5,0.5,+0.5,8,36,8,5,32,Matches
381,382,Kalvin Phillips,eng ENG,MF,Leeds United,25,1995,17.7,786,971,80.9,15278,4563,284,320,88.8,396,440,90.0,98,170,57.6,1,1.0,0.6,0.0,9,79,12,2,69,Matches
382,383,Jaden Philogene Bidace,eng ENG,FW,Aston Villa,19,2002,0.1,0,2,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
383,384,Jordan Pickford,eng ENG,GK,Everton,27,1994,35.0,608,1147,53.0,23302,19151,83,83,100.0,204,208,98.1,321,848,37.9,0,0.1,0.2,-0.1,4,64,3,0,0,Matches
384,385,Erik Pieters,nl NED,DF,Burnley,32,1988,8.1,242,348,69.5,3727,1517,131,160,81.9,85,112,75.9,15,43,34.9,1,0.9,0.3,+0.1,2,16,1,1,17,Matches
385,386,Ethan Pinnock,jm JAM,DF,Brentford,28,1993,29.9,1218,1647,74.0,21899,8784,506,605,83.6,591,768,77.0,105,227,46.3,1,1.2,1.4,-0.2,11,81,6,4,56,Matches
386,387,Daniel Podence,pt POR,"FW,MF",Wolves,25,1995,16.5,449,637,70.5,6967,2148,248,302,82.1,121,184,65.8,49,78,62.8,3,4.5,3.2,-1.5,36,32,36,10,61,Matches
387,388,Paul Pogba,fr FRA,"MF,FW",Manchester Utd,28,1993,15.0,736,893,82.4,13244,3871,350,400,87.5,255,296,86.1,105,132,79.5,9,4.0,2.8,+5.0,24,99,24,2,89,Matches
388,389,Nick Pope,eng ENG,GK,Burnley,29,1992,36.0,556,1088,51.1,24141,21499,35,40,87.5,129,135,95.6,392,901,43.5,0,0.1,0.2,-0.1,2,49,3,0,0,Matches
389,390,Isaac Price,nir NIR,MF,Everton,17,2003,0.2,1,2,50.0,16,0,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
390,391,Teemu Pukki,fi FIN,FW,Norwich City,31,1990,36.1,399,540,73.9,5175,838,257,308,83.4,94,124,75.8,19,27,70.4,3,3.6,2.9,-0.6,27,21,6,1,19,Matches
391,392,Christian Pulisic,us USA,"MF,FW",Chelsea,22,1998,14.3,362,464,78.0,4638,921,240,279,86.0,100,121,82.6,7,13,53.8,2,1.9,1.1,+0.1,15,19,6,0,21,Matches
392,393,Przemysław Płacheta,pl POL,"FW,MF",Norwich City,23,1998,5.6,109,163,66.9,1640,468,65,77,84.4,30,44,68.2,8,19,42.1,0,0.8,0.6,-0.8,4,6,5,2,8,Matches
393,394,Jesuran Rak Sakyi,eng ENG,"FW,MF",Crystal Palace,18,2002,0.9,22,26,84.6,246,32,17,17,100.0,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
394,395,Aaron Ramsdale,eng ENG,GK,Arsenal,23,1998,34.0,795,1178,67.5,20520,14375,196,199,98.5,394,404,97.5,203,566,35.9,0,0.0,0.0,0.0,0,26,0,0,1,Matches
395,396,Jacob Ramsey,eng ENG,MF,Aston Villa,20,2001,27.4,889,1045,85.1,13297,3508,484,548,88.3,323,359,90.0,48,64,75.0,1,2.2,2.3,-1.2,21,92,21,4,72,Matches
396,397,Raphinha,br BRA,"FW,MF",Leeds United,24,1996,32.4,824,1301,63.3,13788,5181,399,497,80.3,275,420,65.5,99,259,38.2,3,8.3,6.2,-5.3,65,91,49,11,135,Matches
397,398,Marcus Rashford,eng ENG,"FW,MF",Manchester Utd,23,1997,13.7,304,424,71.7,3973,706,199,252,79.0,82,110,74.5,7,20,35.0,2,2.0,2.0,0.0,9,18,10,1,23,Matches
398,399,Milot Rashica,xk KVX,"FW,MF",Norwich City,25,1996,24.8,363,602,60.3,6213,1883,190,240,79.2,117,207,56.5,45,105,42.9,2,2.5,2.4,-0.5,36,33,20,8,35,Matches
399,400,David Raya,es ESP,GK,Brentford,25,1995,24.0,737,1085,67.9,22782,17527,137,138,99.3,302,310,97.4,296,625,47.4,0,0.0,0.1,0.0,1,45,0,0,3,Matches
400,401,Nathan Redmond,eng ENG,"MF,FW",Southampton,27,1994,20.4,510,735,69.4,7900,2509,277,338,82.0,172,247,69.6,37,92,40.2,5,4.0,3.1,+1.0,34,38,44,13,71,Matches
401,402,Sergio Reguilón,es ESP,"DF,MF",Tottenham,24,1996,21.3,750,994,75.5,11784,3362,394,453,87.0,271,355,76.3,54,99,54.5,3,3.4,3.8,-0.4,29,35,31,21,45,Matches
402,403,Declan Rice,eng ENG,MF,West Ham,22,1999,35.3,1986,2197,90.4,35788,9261,848,903,93.9,887,938,94.6,203,258,78.7,4,2.1,1.5,+1.9,24,256,26,4,147,Matches
403,404,Taylor Richards,eng ENG,MF,Brighton,20,2000,0.3,21,27,77.8,346,81,11,14,78.6,8,9,88.9,2,2,100.0,0,0.0,0.0,0.0,1,2,0,0,2,Matches
404,405,Richarlison,br BRA,FW,Everton,24,1997,28.0,339,568,59.7,4540,971,192,278,69.1,96,141,68.1,15,41,36.6,5,4.3,2.1,+0.7,29,21,13,1,27,Matches
405,406,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,1.3,47,56,83.9,795,204,27,31,87.1,16,16,100.0,4,7,57.1,0,0.1,0.0,-0.1,2,4,0,0,4,Matches
406,407,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,14.9,510,714,71.4,9145,4445,262,288,91.0,156,207,75.4,79,181,43.6,2,2.7,2.5,-0.7,28,42,16,8,37,Matches
407,408,Connor Roberts,wls WAL,DF,Burnley,25,1995,18.8,579,863,67.1,9841,4320,271,314,86.3,232,355,65.4,55,138,39.9,1,1.6,1.5,-0.6,13,46,17,5,45,Matches
408,409,Tyler Roberts,wls WAL,"MF,FW",Leeds United,22,1999,11.0,214,300,71.3,3004,771,124,154,80.5,61,81,75.3,13,29,44.8,1,1.4,0.7,-0.4,15,17,10,2,20,Matches
409,410,Andrew Robertson,sct SCO,DF,Liverpool,27,1994,28.2,1885,2350,80.2,30530,10281,980,1078,90.9,759,906,83.8,120,268,44.8,10,6.0,5.5,+4.0,55,131,45,13,139,Matches
410,411,Joe Rodon,wls WAL,DF,Tottenham,23,1997,1.0,29,35,82.9,509,133,9,11,81.8,15,17,88.2,3,4,75.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
