,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches
42,43,Luiz Araújo,br BRA,"FW,MF",Atlanta Utd,25,1996,24.3,940,854,78,24,13,20,93,23,29,13,5,0,674,8,32,Matches
43,44,Daniel Armando Ríos,mx MEX,FW,Charlotte,26,1995,15.7,369,357,12,0,0,2,7,0,0,0,0,0,276,0,16,Matches
44,45,Adam Armour,us USA,MF,Charlotte,19,2002,0.9,41,38,2,1,0,0,2,1,0,0,0,0,29,1,0,Matches
45,46,Xavier Arreaga,ec ECU,DF,Seattle,27,1994,24.1,1230,1197,27,24,1,12,0,2,0,0,0,0,1084,6,6,Matches
46,47,Kervin Arriaga,hn HON,MF,Minnesota Utd,24,1998,21.0,1012,968,43,36,4,33,3,7,0,0,0,0,850,1,11,Matches
47,48,Paul Arriola,us USA,FW,FC Dallas,26,1995,28.5,891,827,60,7,10,12,87,32,21,6,9,0,616,4,32,Matches
48,49,Artur,br BRA,MF,Columbus Crew,25,1996,18.2,904,877,23,21,2,13,3,1,0,0,0,0,780,4,15,Matches
49,50,Dairon Asprilla,co COL,"FW,MF",Portland Timbers,29,1992,20.5,611,570,39,1,1,13,33,34,0,0,0,0,452,2,24,Matches
50,51,Isaac Atanga,gh GHA,DF,FC Cincinnati,21,2000,0.5,10,10,0,0,1,0,0,0,0,0,0,0,4,0,0,Matches
51,52,Joshua Atencio,us USA,MF,Seattle,20,2002,8.1,540,526,12,8,0,10,4,4,0,0,0,0,458,2,4,Matches
52,53,Roberto Avila,us USA,"FW,MF",Houston Dynamo,21,2000,1.8,27,26,1,1,0,1,1,0,0,0,0,0,24,0,0,Matches
53,54,David Ayala,ar ARG,MF,Portland Timbers,19,2002,8.2,435,423,11,10,0,8,3,1,0,0,0,0,376,1,8,Matches
54,55,Edison Azcona,do DOM,MF,Inter Miami,18,2003,0.2,4,4,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches
55,56,Dominique Badji,sn SEN,FW,FC Cincinnati,29,1992,12.2,245,231,13,0,0,0,9,4,0,0,0,0,188,1,5,Matches
56,57,Zico Bailey,us USA,"DF,MF",FC Cincinnati,21,2000,0.9,36,27,9,0,0,0,0,9,0,0,0,0,28,0,1,Matches
57,58,Corey Baird,us USA,FW,Houston Dynamo,26,1996,14.9,367,358,8,0,2,1,20,8,0,0,0,0,270,1,13,Matches
58,59,Esmir Bajraktarevic,,"MF,FW",New England,,,1.4,53,51,2,0,0,0,1,1,0,0,0,0,43,0,1,Matches
59,60,Reed Baker-Whiting,us USA,MF,Seattle,16,2005,1.1,21,21,0,0,0,0,1,0,0,0,0,0,13,0,0,Matches
60,61,Michael Baldisimo,ca CAN,MF,Vancouver,21,2000,5.1,238,231,7,4,0,9,1,0,1,0,1,0,196,0,0,Matches
61,62,Gareth Bale,wls WAL,FW,Los Angeles FC,32,1989,3.9,150,141,9,1,2,2,7,5,1,1,0,0,119,0,7,Matches
62,63,Tom Barlow,us USA,FW,NY Red Bulls,26,1995,12.2,252,243,8,0,1,0,8,0,0,0,0,0,149,1,9,Matches
63,64,Álvaro Barreal,ar ARG,"DF,MF",FC Cincinnati,21,2000,24.4,1210,980,221,41,8,10,133,131,49,22,20,0,877,9,36,Matches
64,65,Michael Barrios,co COL,"FW,MF",Colorado Rapids,30,1991,21.2,550,507,40,3,2,8,114,13,17,9,8,0,351,3,27,Matches
65,66,Ethan Bartlow,us USA,"DF,MF",Houston Dynamo,21,2000,10.1,475,453,19,17,1,3,0,2,0,0,0,0,414,3,1,Matches
66,67,Zorhan Bassong,ca CAN,DF,CF Montréal,22,1999,2.1,120,100,20,2,1,1,7,18,0,0,0,0,94,0,4,Matches
67,68,Tanner Beason,us USA,DF,San Jose,24,1997,24.9,1328,1233,93,32,0,11,4,60,0,0,0,0,1147,2,13,Matches
68,69,Simon Becher,us USA,FW,Vancouver,22,1999,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
69,70,Alejandro Bedoya,us USA,MF,Philadelphia,34,1987,26.9,1143,1073,64,12,5,4,39,39,0,0,0,0,838,6,40,Matches
70,71,Steven Beitashour,ir IRN,"DF,MF",Colorado Rapids,34,1987,14.6,644,537,106,7,0,0,17,99,0,0,0,0,516,1,11,Matches
71,72,Jon Bell,us USA,DF,New England,24,1997,11.7,543,531,12,8,0,2,6,4,0,0,0,0,432,0,9,Matches
72,73,Ben Bender,us USA,MF,Charlotte,20,2001,18.3,664,633,31,4,0,9,32,3,14,7,3,1,523,0,23,Matches
73,74,Alan Benítez,py PAR,DF,Minnesota Utd,28,1994,6.3,329,262,66,5,0,3,29,56,5,1,4,0,240,1,4,Matches
74,75,Julio Benitez,us USA,MF,Real Salt Lake,16,2005,0.1,,,,,,,0,,,,,,,,,Matches
75,76,Christian Benteke,be BEL,FW,D.C. United,31,1990,6.2,133,123,9,0,0,2,1,3,0,0,0,0,88,1,5,Matches
76,77,Sebastian Berhalter,us USA,MF,Vancouver,20,2001,11.4,566,515,49,31,0,19,29,1,10,6,3,1,418,2,11,Matches
77,78,Federico Bernardeschi,it ITA,FW,Toronto FC,27,1994,12.2,441,365,74,26,10,19,65,14,34,26,3,0,287,2,21,Matches
78,79,Miguel Berry,es ESP,"FW,MF",D.C. United,24,1997,7.9,102,92,9,0,0,0,3,1,0,0,0,0,74,1,5,Matches
79,80,Miguel Berry,es ESP,FW,Columbus Crew,24,1997,10.8,169,146,21,0,0,0,2,2,0,0,0,0,114,2,5,Matches
