,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
41,42,Tom Barkhuizen,eng ENG,"DF,FW",Preston,28,1993,8.8,2,0,0,6,11,1,29,7,10,0,0,0,45,14,14,50.0,Matches
42,43,Kyle Bartley,eng ENG,DF,West Brom,30,1991,38.2,7,0,0,40,23,1,2,45,27,1,1,0,182,243,107,69.4,Matches
43,44,Chris Basham,eng ENG,DF,Sheffield Utd,33,1988,24.5,1,0,0,10,25,3,22,45,31,0,0,0,166,53,36,59.6,Matches
44,45,Amine Bassi,fr FRA,"MF,FW",Barnsley,23,1997,13.3,0,0,0,10,13,9,75,6,5,0,0,0,71,4,17,19.0,Matches
45,46,Danny Batth,eng ENG,DF,Stoke City,30,1990,10.1,3,0,0,14,3,0,0,15,10,0,0,0,56,49,16,75.4,Matches
46,47,Patrick Bauer,de GER,DF,Preston,28,1992,31.8,5,0,0,33,24,0,1,61,28,0,0,0,149,103,67,60.6,Matches
47,48,Nathan Baxter,eng ENG,GK,Hull City,22,1998,16.0,2,0,0,0,3,0,0,0,0,0,0,0,14,3,1,75.0,Matches
48,49,Jake Beesley,eng ENG,FW,Blackpool,24,1996,3.8,0,0,0,4,5,1,0,3,1,0,0,0,11,31,27,53.4,Matches
49,50,Mark Beevers,eng ENG,DF,P'borough Utd,31,1989,12.8,3,0,0,12,11,1,1,9,8,0,0,0,52,26,20,56.5,Matches
50,51,Jérémie Bela,ao ANG,"DF,MF",Birmingham City,28,1993,25.6,3,0,0,25,20,0,187,33,23,0,0,0,160,29,21,58.0,Matches
51,52,Amari'i Bell,jm JAM,"DF,FW",Luton Town,27,1994,39.8,3,0,0,19,56,1,52,51,31,0,0,0,232,71,40,64.0,Matches
52,53,Sam Bell,eng ENG,DF,Bristol City,19,2002,2.7,1,0,0,2,2,1,11,1,3,0,0,0,19,1,3,25.0,Matches
53,54,Jobe Bellingham,eng ENG,"MF,DF",Birmingham City,15,2005,0.4,0,0,0,0,0,0,0,0,1,0,0,0,4,0,4,0.0,Matches
54,55,Ayman Benarous,eng ENG,"MF,DF",Bristol City,18,2003,6.7,1,0,0,12,15,0,9,19,8,0,0,0,37,6,12,33.3,Matches
55,56,Steven Benda,de GER,GK,P'borough Utd,22,1998,9.0,0,0,0,0,2,0,0,0,0,0,0,0,6,6,0,100.0,Matches
56,57,Steven Benda,de GER,GK,Swansea City,22,1998,5.0,1,0,0,2,1,0,0,0,1,0,1,0,12,2,0,100.0,Matches
57,58,Mason Bennett,eng ENG,"FW,MF",Millwall,25,1996,15.4,5,0,0,24,29,9,32,8,7,0,0,0,66,43,79,35.2,Matches
58,59,Ryan Bennett,eng ENG,DF,Swansea City,31,1990,16.0,6,1,0,15,1,0,5,19,11,0,1,0,62,27,25,51.9,Matches
59,60,Josh Benson,eng ENG,MF,Barnsley,21,1999,15.1,5,0,0,23,15,0,73,13,18,0,0,0,130,20,18,52.6,Matches
