,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
514,515,Milot Rashica,xk KVX,"FW,MF",Norwich City,25,1996,31,2229,72,65.2,24.8,25,83,11,6,27,1,0.65,21,56,-35,-1.41,+0.55,23.2,56.3,-33.0,-1.33,-0.31,Matches
515,516,David Raya,es ESP,GK,Brentford,25,1995,24,2160,90,63.2,24.0,24,90,24,0,,0,1.46,33,27,+6,+0.25,+1.25,34.9,32.5,+2.4,+0.10,+0.47,Matches
516,517,Nathan Redmond,eng ENG,"MF,FW",Southampton,27,1994,27,1833,68,53.6,20.4,20,84,14,7,21,3,0.93,25,33,-8,-0.39,+0.51,26.7,33.1,-6.3,-0.31,+0.09,Matches
517,518,Sergio Reguilón,es ESP,"DF,MF",Tottenham,24,1996,25,1916,77,56.0,21.3,22,82,13,3,40,6,1.92,32,25,+7,+0.33,-0.99,33.6,26.3,+7.3,+0.34,-0.48,Matches
518,519,Declan Rice,eng ENG,MF,West Ham,22,1999,36,3179,88,93.0,35.3,35,90,35,1,29,0,1.47,56,49,+7,+0.20,-0.55,53.0,53.0,0.0,0.00,+0.01,Matches
519,520,Taylor Richards,eng ENG,MF,Brighton,20,2000,2,25,13,0.7,0.3,0,,0,2,13,14,0.00,0,0,0,0.00,+0.05,0.4,0.4,0.0,+0.01,-0.07,Matches
520,521,Lewis Richardson,eng ENG,FW,Burnley,18,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
521,522,Richarlison,br BRA,FW,Everton,24,1997,30,2523,84,73.8,28.0,28,88,21,2,34,0,1.13,33,46,-13,-0.46,+0.54,33.8,42.7,-8.9,-0.32,+0.13,Matches
522,523,Jaïro Riedewald,nl NED,MF,Crystal Palace,24,1996,3,118,39,3.5,1.3,1,76,0,2,21,15,0.00,2,5,-3,-2.29,-2.48,1.5,1.4,+0.1,+0.05,-0.16,Matches
523,524,Matt Ritchie,sct SCO,DF,Newcastle Utd,31,1989,18,1337,74,39.1,14.9,14,88,13,4,25,12,0.67,15,37,-22,-1.48,-1.65,15.0,31.5,-16.5,-1.11,-1.05,Matches
