,Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches
41,42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,9,0,0,30,52,4,66,21,42,1,0,0,190,22,24,47.8,Matches
42,43,Musa Barrow,gm GAM,"FW,MF",Bologna,22,1998,23.7,0,0,0,10,25,6,112,6,4,0,0,0,93,15,48,23.8,Matches
43,44,Daniele Baselli,it ITA,"MF,FW",Torino,29,1992,1.7,0,0,0,3,4,1,5,1,3,0,0,0,11,2,6,25.0,Matches
44,45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,1,0,0,2,3,0,17,2,5,0,0,0,24,2,3,40.0,Matches
45,46,Toma Bašić,hr CRO,MF,Lazio,24,1996,10.9,3,0,0,13,6,0,15,4,8,0,0,0,41,8,10,44.4,Matches
46,47,Alessandro Bastoni,it ITA,DF,Inter,22,1999,25.7,4,0,0,30,28,0,29,35,25,0,1,0,152,43,26,62.3,Matches
47,48,Simone Bastoni,it ITA,"MF,DF",Spezia,24,1996,25.4,5,1,0,30,35,1,113,30,34,0,0,0,185,25,13,65.8,Matches
48,49,Rodrigo Becão,br BRA,DF,Udinese,25,1996,34.8,10,0,0,57,45,4,17,42,46,0,1,0,193,63,32,66.3,Matches
49,50,Valon Behrami,ch SUI,"MF,FW",Genoa,36,1985,3.5,3,0,0,8,5,0,2,1,1,0,0,0,13,0,7,0.0,Matches
50,51,Vid Belec,si SVN,GK,Salernitana,31,1990,21.5,1,0,0,1,1,0,0,0,0,0,1,0,14,1,0,100.0,Matches
51,52,Raoul Bellanova,it ITA,"DF,FW",Cagliari,21,2000,27.7,3,0,0,10,35,2,96,21,15,0,1,0,123,15,26,36.6,Matches
52,53,Andrea Belotti,it ITA,FW,Torino,27,1993,15.2,1,0,0,26,51,16,13,2,3,1,0,0,41,55,77,41.7,Matches
53,54,Marco Benassi,it ITA,"DF,MF",Fiorentina,26,1994,1.8,1,0,0,4,0,0,4,3,0,0,0,0,9,3,5,37.5,Matches
54,55,Marco Benassi,it ITA,MF,Empoli,26,1994,4.2,1,0,0,5,5,0,13,3,3,0,0,0,14,7,14,33.3,Matches
55,56,Filip Benković,hr CRO,"DF,FW",Udinese,24,1997,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,66.7,Matches
56,57,Ismaël Bennacer,dz ALG,MF,Milan,23,1997,16.9,7,0,0,25,44,0,24,25,30,0,0,0,153,15,18,45.5,Matches
57,58,Rodrigo Bentancur,uy URU,MF,Juventus,24,1997,12.8,1,0,0,25,8,0,4,26,18,0,0,0,86,20,20,50.0,Matches
58,59,Alessandro Berardi,it ITA,GK,Hellas Verona,30,1991,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,Matches
59,60,Domenico Berardi,it ITA,FW,Sassuolo,26,1994,31.3,9,0,0,53,76,11,102,31,19,2,0,0,151,18,18,50.0,Matches
60,61,Bartosz Bereszyński,pl POL,DF,Sampdoria,29,1992,32.7,12,0,0,34,37,0,60,42,38,0,0,0,191,45,20,69.2,Matches
