,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
304,305,Sven Michel,de GER,FW,Union Berlin,31,1990,3.8,12,3.20,11,0,0,1,0,0,2,0.53,1,0,0,1,0,0,Matches
305,306,Enzo Millot,fr FRA,MF,Stuttgart,19,2002,0.6,3,5.09,3,0,0,0,0,0,1,1.70,1,0,0,0,0,0,Matches
306,307,Maximilian Mittelstädt,de GER,"DF,FW",Hertha BSC,24,1997,16.6,46,2.77,29,6,2,1,5,3,10,0.60,7,0,0,1,2,0,Matches
307,308,Anthony Modeste,fr FRA,FW,Köln,33,1988,29.0,39,1.35,23,0,1,11,4,0,5,0.17,1,0,1,2,1,0,Matches
308,309,Kevin Möhwald,de GER,MF,Union Berlin,28,1993,3.9,17,4.32,13,0,1,1,1,1,0,0.00,0,0,0,0,0,0,Matches
309,310,Clinton Mola,eng ENG,DF,Stuttgart,20,2001,1.3,1,0.80,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
310,311,Jan Morávek,cz CZE,MF,Augsburg,31,1989,5.2,19,3.63,18,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
311,312,Ilaix Moriba,gn GUI,MF,RB Leipzig,18,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
312,313,Youssoufa Moukoko,de GER,"FW,MF",Dortmund,16,2004,2.5,5,2.01,4,0,0,1,0,0,1,0.40,0,0,0,1,0,0,Matches
313,314,Nordi Mukiele,fr FRA,"DF,FW",RB Leipzig,23,1997,20.5,29,1.42,25,1,1,1,1,0,5,0.24,4,0,0,0,1,0,Matches
314,315,Florian Müller,de GER,GK,Stuttgart,23,1997,30.0,2,0.07,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
315,316,Thomas Müller,de GER,MF,Bayern Munich,31,1989,28.4,148,5.21,131,2,1,9,3,2,25,0.88,24,0,0,0,0,1,Matches
316,317,Torben Müsel,de GER,MF,M'Gladbach,22,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
317,318,Jamal Musiala,de GER,"MF,FW",Bayern Munich,18,2003,16.3,77,4.73,58,0,9,5,2,3,10,0.61,8,0,2,0,0,0,Matches
318,319,Obite N'Dicka,fr FRA,DF,Eint Frankfurt,21,1999,31.7,27,0.85,22,1,1,2,0,1,6,0.19,4,0,0,2,0,0,Matches
319,320,Nikolas Nartey,dk DEN,"MF,DF",Stuttgart,21,2000,4.5,9,2.01,8,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
320,321,Paul Nebel,de GER,"MF,FW",Mainz 05,18,2002,2.5,5,1.97,3,2,0,0,0,0,1,0.39,1,0,0,0,0,0,Matches
321,322,David Nemeth,at AUT,DF,Mainz 05,20,2001,3.5,2,0.58,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
322,323,Luca Netz,de GER,"DF,FW",M'Gladbach,18,2003,15.5,34,2.19,21,9,1,3,0,0,7,0.45,3,3,1,0,0,0,Matches
323,324,Manuel Neuer,de GER,GK,Bayern Munich,35,1986,27.9,6,0.22,6,0,0,0,0,0,2,0.07,2,0,0,0,0,0,Matches
324,325,Florian Neuhaus,de GER,MF,M'Gladbach,24,1997,23.6,62,2.63,54,0,2,3,3,0,7,0.30,6,0,0,1,0,0,Matches
325,326,Jessic Ngankam,de GER,FW,Greuther Fürth,21,2000,3.8,3,0.79,1,0,1,1,0,0,2,0.53,1,0,0,1,0,0,Matches
326,327,Moussa Niakhate,fr FRA,DF,Mainz 05,25,1996,28.5,39,1.37,30,6,1,0,1,1,2,0.07,1,0,0,0,0,1,Matches
327,328,Tanguy Nianzou,fr FRA,DF,Bayern Munich,19,2002,6.5,8,1.24,7,0,0,1,0,0,2,0.31,2,0,0,0,0,0,Matches
328,329,Florian Niederlechner,de GER,FW,Augsburg,30,1990,12.9,33,2.58,25,0,2,3,3,0,6,0.47,4,0,0,0,2,0,Matches
329,330,Håvard Nielsen,no NOR,"MF,FW",Greuther Fürth,28,1993,15.2,21,1.38,13,0,3,1,3,1,3,0.20,3,0,0,0,0,0,Matches
330,331,Joakim Nilsson,se SWE,DF,Arminia,27,1994,30.4,18,0.59,13,1,1,0,0,3,1,0.03,1,0,0,0,0,0,Matches
331,332,Christopher Nkunku,fr FRA,"FW,MF",RB Leipzig,23,1997,30.3,146,4.83,91,9,18,12,13,3,31,1.02,19,0,5,2,4,1,Matches
332,333,Lukas Nmecha,de GER,"FW,MF",Wolfsburg,22,1998,18.1,53,2.93,33,0,7,7,6,0,6,0.33,4,0,0,1,1,0,Matches
