,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
375,376,Jesús Molina,mx MEX,MF,Guadalajara,33,1988,9.7,0,7,4,57.1,0.72,0.41,0.00,0.00,19.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
376,377,Andres Montaño,mx MEX,"MF,FW",Mazatlán,19,2002,3.5,0,3,1,33.3,0.85,0.28,0.00,0.00,18.6,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
377,378,Joaquín Montecinos,cl CHI,FW,Tijuana,25,1995,8.6,3,36,10,27.8,4.20,1.17,0.08,0.30,21.1,2,0,1,3.5,2.7,0.08,-0.5,+0.3,Matches
378,379,Emanuel Montejano Arroyo,mx MEX,"MF,FW",UNAM,20,2001,1.9,0,3,0,0.0,1.54,0.00,0.00,,11.7,0,0,0,0.3,0.3,0.10,-0.3,-0.3,Matches
379,380,Jefferson Montero,ec ECU,"MF,FW",Querétaro,31,1989,5.3,0,8,0,0.0,1.50,0.00,0.00,,22.7,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
380,381,Alán Montes,mx MEX,DF,Monterrey,20,2000,3.7,0,1,0,0.0,0.27,0.00,0.00,,12.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
381,382,César Montes,mx MEX,DF,Monterrey,24,1997,25.2,1,17,3,17.6,0.67,0.12,0.06,0.33,10.3,0,0,0,1.6,1.6,0.10,-0.6,-0.6,Matches
382,383,Luis Montes,mx MEX,MF,León,35,1986,13.4,0,25,8,32.0,1.86,0.60,0.00,0.00,24.6,2,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
383,384,Walter Montoya,ar ARG,"MF,FW",Cruz Azul,28,1993,5.7,0,5,1,20.0,0.88,0.18,0.00,0.00,25.9,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
384,385,Adrián Mora,mx MEX,"DF,MF",FC Juárez,23,1997,8.2,0,5,1,20.0,0.61,0.12,0.00,0.00,11.5,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
385,386,Iván Morales Bravo,cl CHI,"FW,MF",Cruz Azul,22,1999,3.8,0,5,0,0.0,1.30,0.00,0.00,,18.6,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches
386,387,Carlos Moreno,mx MEX,GK,Pachuca,23,1998,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
387,388,Gerardo Moreno,mx MEX,DF,UNAM,27,1993,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
388,389,Héctor Moreno,mx MEX,DF,Monterrey,33,1988,15.8,0,5,1,20.0,0.32,0.06,0.00,0.00,9.4,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
389,390,Iker Moreno,mx MEX,MF,América,17,2003,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
390,391,Iván Moreno,mx MEX,"MF,FW",Mazatlán,23,1998,17.8,2,23,6,26.1,1.30,0.34,0.09,0.33,18.6,0,0,0,2.4,2.4,0.11,-0.4,-0.4,Matches
391,392,Yairo Moreno,co COL,"DF,MF",Pachuca,26,1995,16.3,3,22,4,18.2,1.35,0.25,0.09,0.50,25.0,2,1,1,2.4,1.6,0.07,+0.6,+0.4,Matches
