,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
18,19,Cameron Archer,eng ENG,"FW,MF",Aston Villa,19,2001,0.3,11,0,1,3,7,1,11,0,1,0.0,1,2,7,0,Matches
19,20,Alphonse Areola,fr FRA,GK,West Ham,28,1993,1.0,42,40,42,0,0,0,42,0,0,,0,0,20,0,Matches
20,21,Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,491,9,42,186,272,75,491,16,42,38.1,45,13,324,89,Matches
21,22,Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,940,22,124,403,426,40,940,27,54,50.0,40,27,659,62,Matches
22,23,Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4.0,147,126,147,0,0,0,147,0,0,,0,0,80,0,Matches
23,24,Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,10,1,4,1,5,0,10,0,0,,0,0,6,0,Matches
24,25,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,316,2,33,115,169,49,315,2,7,28.6,16,4,219,43,Matches
25,26,Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,1083,15,151,511,447,67,1083,34,71,47.9,84,77,776,94,Matches
26,27,Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1881,178,906,756,243,36,1881,23,37,62.2,42,10,1142,29,Matches
27,28,César Azpilicueta,es ESP,DF,Chelsea,31,1989,23.0,2001,110,611,928,477,53,2001,15,19,78.9,21,10,1415,54,Matches
28,29,Daniel Bachmann,at AUT,GK,Watford,27,1994,12.0,403,326,401,2,0,0,403,1,1,100.0,0,0,148,0,Matches
29,30,Leon Bailey,jm JAM,"FW,MF",Aston Villa,23,1997,8.5,349,3,30,122,205,34,349,13,29,44.8,33,24,237,37,Matches
30,31,Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,113,25,73,37,3,0,113,0,1,0.0,3,1,59,0,Matches
31,32,Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,22,1,2,7,13,6,22,0,2,0.0,4,0,14,4,Matches
32,33,Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,173,10,16,83,75,31,173,4,7,57.1,18,3,107,23,Matches
33,34,Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,419,15,83,216,126,15,419,19,28,67.9,21,12,270,29,Matches
34,35,Ross Barkley,eng ENG,"MF,FW",Chelsea,27,1993,2.0,151,0,6,49,96,7,151,7,8,87.5,3,7,121,14,Matches
35,36,Ashley Barnes,eng ENG,FW,Burnley,31,1989,9.0,296,6,22,158,119,24,295,5,8,62.5,37,22,223,53,Matches
36,37,Harvey Barnes,eng ENG,"FW,MF",Leicester City,23,1997,23.3,1038,17,115,358,579,125,1038,31,75,41.3,58,43,821,138,Matches
37,38,Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,85,3,27,50,9,0,85,1,5,20.0,9,2,53,2,Matches
38,39,Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,573,65,290,216,71,6,573,0,1,0.0,2,0,324,4,Matches
39,40,Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1822,205,863,903,69,30,1822,1,1,100.0,7,4,992,4,Matches
40,41,Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,58,2,23,19,18,4,58,1,5,20.0,3,3,30,4,Matches
41,42,Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,302,11,56,178,72,7,302,3,9,33.3,5,6,180,9,Matches
42,43,Asmir Begović,ba BIH,GK,Everton,34,1987,3.0,99,92,99,0,0,0,99,0,0,,0,0,25,0,Matches
