,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches
589,590,Valerio Verre,it ITA,"MF,FW",Sampdoria,27,1994,4.7,21,4.50,16,3,0,1,1,0,1,0.21,1,0,0,0,0,0,Matches
590,591,Valerio Verre,it ITA,MF,Empoli,27,1994,3.4,15,4.37,12,0,1,1,1,0,2,0.58,2,0,0,0,0,0,Matches
591,592,Freddie Veseli,al ALB,DF,Salernitana,28,1992,6.6,7,1.06,3,2,1,0,0,1,0,0.00,0,0,0,0,0,0,Matches
592,593,Guglielmo Vicario,it ITA,GK,Empoli,24,1996,38.0,7,0.18,6,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches
593,594,Arturo Vidal,cl CHI,MF,Inter,34,1987,8.2,34,4.15,27,0,2,3,1,1,5,0.61,5,0,0,0,0,0,Matches
594,595,Ronaldo Vieira,gw GNB,MF,Sampdoria,23,1998,5.5,,,,,,,,,,,,,,,,,Matches
595,596,Luca Vignali,it ITA,"DF,MF",Spezia,25,1996,0.9,1,1.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
596,597,Emanuel Vignato,it ITA,"MF,DF",Bologna,20,2000,6.6,28,4.23,23,2,2,1,0,0,2,0.30,2,0,0,0,0,0,Matches
597,598,Matías Viña,uy URU,"DF,FW",Roma,23,1997,17.4,37,2.13,26,3,4,1,2,1,2,0.12,1,1,0,0,0,0,Matches
598,599,Nicolas Viola,it ITA,MF,Bologna,31,1989,1.1,1,0.88,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
599,600,Mattia Viti,it ITA,DF,Empoli,19,2002,16.6,11,0.66,6,1,0,0,0,4,2,0.12,1,0,0,0,0,1,Matches
600,601,Dušan Vlahović,rs SRB,FW,Fiorentina,21,2000,20.6,54,2.62,33,0,6,8,7,0,11,0.53,5,0,1,5,0,0,Matches
601,602,Dušan Vlahović,rs SRB,FW,Juventus,21,2000,12.0,29,2.43,24,0,1,3,1,0,2,0.17,2,0,0,0,0,0,Matches
602,603,Mërgim Vojvoda,xk KVX,DF,Torino,26,1995,22.0,44,2.00,40,2,1,0,0,1,5,0.23,4,0,1,0,0,0,Matches
603,604,Cristian Volpato,it ITA,"FW,MF",Roma,17,2003,0.4,3,7.11,3,0,0,0,0,0,1,2.37,1,0,0,0,0,0,Matches
604,605,Stefan de Vrij,nl NED,DF,Inter,29,1992,26.8,13,0.49,9,0,0,4,0,0,3,0.11,2,0,0,1,0,0,Matches
605,606,Walace,br BRA,MF,Udinese,26,1995,33.0,72,2.18,57,0,1,10,2,2,3,0.09,2,0,0,1,0,0,Matches
606,607,Sebastian Walukiewicz,pl POL,DF,Cagliari,21,2000,3.4,3,0.89,2,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
607,608,Magnus Warming,dk DEN,"MF,FW",Torino,21,2000,0.6,1,1.58,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
608,609,Kelvin Yeboah,it ITA,"FW,MF",Genoa,21,2000,9.4,34,3.60,21,0,3,2,7,1,3,0.32,2,0,0,0,1,0,Matches
609,610,Gerard Yepes,es ESP,"MF,DF",Sampdoria,18,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
610,611,Maya Yoshida,jp JPN,DF,Sampdoria,32,1988,20.3,17,0.84,15,1,0,0,0,1,3,0.15,3,0,0,0,0,0,Matches
611,612,Mattia Zaccagni,it ITA,MF,Hellas Verona,26,1995,2.0,13,6.50,4,6,1,0,2,0,2,1.00,0,0,1,0,1,0,Matches
612,613,Mattia Zaccagni,it ITA,FW,Lazio,26,1995,20.8,62,2.97,46,1,3,4,7,1,13,0.62,7,0,1,1,4,0,Matches
613,614,Denis Zakaria,ch SUI,MF,Juventus,24,1996,6.6,9,1.36,5,0,1,2,1,0,1,0.15,1,0,0,0,0,0,Matches
614,615,Nicola Zalewski,pl POL,DF,Roma,19,2002,8.8,25,2.83,17,3,1,2,2,0,1,0.11,1,0,0,0,0,0,Matches
615,616,Andre-Frank Zambo Anguissa,cm CMR,MF,Napoli,25,1995,21.4,64,2.99,51,1,4,1,2,5,7,0.33,6,0,0,0,0,1,Matches
616,617,Nicolò Zaniolo,it ITA,"FW,MF",Roma,22,1999,21.9,84,3.83,43,4,12,12,11,2,10,0.46,3,0,2,1,4,0,Matches
617,618,Alessandro Zanoli,it ITA,DF,Napoli,20,2000,5.1,6,1.18,5,0,0,0,0,1,1,0.20,1,0,0,0,0,0,Matches
618,619,Mattia Zanotti,it ITA,DF,Inter,18,2003,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
619,620,Duván Zapata,co COL,FW,Atalanta,30,1991,19.1,86,4.49,57,1,12,13,2,1,8,0.42,6,0,1,1,0,0,Matches
620,621,Gabriele Zappa,it ITA,DF,Cagliari,21,1999,12.7,18,1.41,16,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
621,622,Davide Zappacosta,it ITA,DF,Atalanta,29,1992,26.1,71,2.72,51,2,4,8,3,3,8,0.31,6,0,0,1,1,0,Matches
622,623,Simone Zaza,it ITA,"FW,DF",Torino,30,1991,1.4,2,1.41,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
623,624,Marvin Zeegelaar,nl NED,DF,Udinese,30,1990,7.1,1,0.14,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
624,625,Piotr Zieliński,pl POL,MF,Napoli,27,1994,23.2,90,3.88,71,7,2,4,3,3,13,0.56,10,2,0,1,0,0,Matches
625,626,David Zima,cz CZE,DF,Torino,20,2000,14.6,8,0.55,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
626,627,Jeroen Zoet,nl NED,GK,Spezia,30,1991,7.0,2,0.29,1,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
627,628,Nadir Zortea,it ITA,"DF,MF",Salernitana,22,1999,15.7,37,2.36,25,3,3,1,3,2,3,0.19,3,0,0,0,0,0,Matches
628,629,Petar Zovko,ba BIH,GK,Spezia,19,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
629,630,Szymon Żurkowski,pl POL,MF,Empoli,23,1997,25.6,77,3.00,56,0,4,8,8,1,5,0.19,3,0,0,2,0,0,Matches
630,631,Milan Đurić,ba BIH,FW,Salernitana,31,1990,24.1,57,2.37,43,0,1,9,4,0,8,0.33,5,0,0,2,1,0,Matches
631,632,Filip Đuričić,rs SRB,"MF,FW",Sassuolo,29,1992,7.5,27,3.61,19,0,5,1,0,2,2,0.27,2,0,0,0,0,0,Matches
