,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
29,30,Joel Bagan,ie IRL,"DF,MF",Cardiff City,21,2000,22.8,630,939,67.1,10402,4049,344,403,85.4,224,335,66.9,55,149,36.9,2,1.9,2.1,+0.1,21,55,26,16,53,Matches
30,31,Lewis Baker,eng ENG,MF,Stoke City,26,1995,20.0,722,908,79.5,11779,3144,348,385,90.4,268,318,84.3,67,146,45.9,2,3.2,2.1,-1.2,35,68,5,1,45,Matches
31,32,Nathan Baker,eng ENG,DF,Bristol City,30,1991,11.1,236,407,58.0,4226,2456,93,131,71.0,111,188,59.0,25,69,36.2,0,0.1,0.3,-0.1,2,22,4,0,33,Matches
32,33,Tyreeq Bakinson,eng ENG,MF,Bristol City,22,1998,9.5,255,372,68.5,4521,1760,109,144,75.7,115,164,70.1,26,43,60.5,0,0.5,0.4,-0.5,4,34,4,0,35,Matches
33,34,George Baldock,gr GRE,DF,Sheffield Utd,28,1993,22.6,966,1241,77.8,14384,4958,569,627,90.7,316,405,78.0,56,141,39.7,2,2.6,2.3,-0.6,18,55,26,10,67,Matches
34,35,Sam Baldock,eng ENG,FW,Derby County,32,1989,8.9,79,108,73.1,968,148,47,58,81.0,22,30,73.3,1,3,33.3,0,0.4,0.2,-0.4,4,6,2,0,6,Matches
35,36,Dominic Ball,eng ENG,"MF,DF",QPR,25,1995,13.5,543,644,84.3,8871,2633,255,294,86.7,239,270,88.5,32,47,68.1,1,0.5,0.8,+0.5,8,37,3,0,43,Matches
36,37,Daniel Ballard,nir NIR,DF,Millwall,21,1999,29.3,958,1384,69.2,18284,8912,388,455,85.3,444,570,77.9,112,311,36.0,0,1.0,1.4,-1.0,10,97,12,2,83,Matches
37,38,Folarin Balogun,eng ENG,FW,Middlesbrough,20,2001,9.9,171,219,78.1,2364,450,101,113,89.4,50,63,79.4,9,18,50.0,3,1.4,1.8,+1.6,9,10,11,2,15,Matches
38,39,Sol Bamba,ci CIV,DF,Middlesbrough,36,1985,18.5,513,647,79.3,10374,4095,152,178,85.4,281,323,87.0,74,122,60.7,1,1.0,0.6,0.0,4,34,1,1,44,Matches
