,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
40,41,Brandon Barker,eng ENG,"FW,MF",Reading,24,1996,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
41,42,Tom Barkhuizen,eng ENG,"DF,FW",Preston,28,1993,8.8,15,10,10,4,1,4,14,28.6,10,9,2,7,7,22,19,0,Matches
42,43,Kyle Bartley,eng ENG,DF,West Brom,30,1991,38.2,40,27,27,13,0,20,30,66.7,10,36,25,11,45,85,158,2,Matches
43,44,Chris Basham,eng ENG,DF,Sheffield Utd,33,1988,24.5,55,31,30,20,5,26,51,51.0,25,21,12,9,45,100,72,0,Matches
44,45,Amine Bassi,fr FRA,"MF,FW",Barnsley,23,1997,13.3,9,5,2,6,1,4,9,44.4,5,9,0,9,6,15,4,0,Matches
45,46,Danny Batth,eng ENG,DF,Stoke City,30,1990,10.1,13,10,12,1,0,5,6,83.3,1,15,13,2,15,28,60,0,Matches
46,47,Patrick Bauer,de GER,DF,Preston,28,1992,31.8,39,28,31,8,0,14,28,50.0,14,36,20,16,61,100,148,1,Matches
47,48,Nathan Baxter,eng ENG,GK,Hull City,22,1998,16.0,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,10,0,Matches
48,49,Jake Beesley,eng ENG,FW,Blackpool,24,1996,3.8,3,1,0,2,1,1,5,20.0,4,9,0,9,3,6,0,0,Matches
49,50,Mark Beevers,eng ENG,DF,P'borough Utd,31,1989,12.8,11,8,4,7,0,3,7,42.9,4,8,4,4,9,20,41,0,Matches
50,51,Jérémie Bela,ao ANG,"DF,MF",Birmingham City,28,1993,25.6,41,23,29,11,1,20,33,60.6,13,13,4,9,33,74,30,1,Matches
51,52,Amari'i Bell,jm JAM,"DF,FW",Luton Town,27,1994,39.8,63,31,40,20,3,30,53,56.6,23,48,9,39,51,114,102,0,Matches
52,53,Sam Bell,eng ENG,DF,Bristol City,19,2002,2.7,5,3,3,2,0,1,5,20.0,4,3,0,3,1,6,5,0,Matches
53,54,Jobe Bellingham,eng ENG,"MF,DF",Birmingham City,15,2005,0.4,1,1,0,1,0,0,0,,0,1,0,1,0,1,0,0,Matches
54,55,Ayman Benarous,eng ENG,"MF,DF",Bristol City,18,2003,6.7,17,8,9,7,1,4,21,19.0,17,14,1,13,19,36,11,0,Matches
55,56,Steven Benda,de GER,GK,P'borough Utd,22,1998,9.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,3,0,Matches
56,57,Steven Benda,de GER,GK,Swansea City,22,1998,5.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,4,0,Matches
57,58,Mason Bennett,eng ENG,"FW,MF",Millwall,25,1996,15.4,21,7,2,13,6,4,16,25.0,12,12,3,9,8,29,11,0,Matches
58,59,Ryan Bennett,eng ENG,DF,Swansea City,31,1990,16.0,21,11,7,13,1,14,23,60.9,9,18,14,4,19,40,49,0,Matches
59,60,Josh Benson,eng ENG,MF,Barnsley,21,1999,15.1,23,18,13,9,1,12,30,40.0,18,8,0,8,13,36,13,0,Matches
60,61,Daniel Bentley,eng ENG,GK,Bristol City,28,1993,37.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,27,1,Matches
61,62,Sander Berge,no NOR,MF,Sheffield Utd,23,1998,23.1,35,21,16,14,5,12,25,48.0,13,18,2,16,8,43,16,1,Matches
62,63,Di'Shon Bernard,eng ENG,DF,Hull City,20,2000,23.8,47,25,21,22,4,21,35,60.0,14,31,17,14,34,81,85,1,Matches
63,64,Luke Berry,eng ENG,MF,Luton Town,29,1992,7.9,11,6,6,5,0,7,9,77.8,2,11,4,7,2,13,10,0,Matches
64,65,Bartosz Białkowski,pl POL,GK,Millwall,34,1987,46.0,1,0,1,0,0,1,2,50.0,1,0,0,0,1,2,15,3,Matches
65,66,Jake Bidwell,eng ENG,DF,Coventry City,28,1993,12.6,12,5,6,6,0,6,14,42.9,8,17,8,9,18,30,40,1,Matches
66,67,Jake Bidwell,eng ENG,DF,Swansea City,28,1993,15.1,14,8,6,6,2,10,14,71.4,4,5,2,3,6,20,31,0,Matches
67,68,Krystian Bielik,pl POL,MF,Derby County,23,1998,11.1,16,10,10,6,0,11,17,64.7,6,12,5,7,14,30,16,0,Matches
68,69,Philip Billing,dk DEN,MF,Bournemouth,25,1996,36.7,63,45,23,30,10,14,39,35.9,25,55,10,45,35,98,50,1,Matches
69,70,Max Bird,eng ENG,MF,Derby County,20,2000,40.2,61,35,23,33,5,33,56,58.9,23,33,6,27,43,104,41,1,Matches
70,71,Jamal Blackman,eng ENG,GK,Huddersfield,27,1993,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
71,72,Jayden Bogle,eng ENG,DF,Sheffield Utd,21,2000,16.3,39,21,29,5,5,25,45,55.6,20,17,2,15,22,61,23,0,Matches
72,73,Marc Bola,eng ENG,DF,Middlesbrough,23,1997,19.6,28,17,11,10,7,14,24,58.3,10,26,9,17,30,58,21,0,Matches
73,74,Gaëtan Bong,cm CMR,"DF,MF",Nott'ham Forest,33,1988,4.9,10,7,6,3,1,6,7,85.7,1,3,0,3,3,13,15,0,Matches
74,75,Jack Bonham,ie IRL,GK,Stoke City,27,1993,15.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,8,1,Matches
75,76,Sam Bowen,wls WAL,MF,Cardiff City,20,2001,2.7,2,2,0,2,0,0,3,0.0,3,0,0,0,1,3,0,0,Matches
76,77,Josh Bowler,eng ENG,MF,Blackpool,22,1999,31.4,39,24,15,13,11,20,57,35.1,37,16,0,16,16,55,7,0,Matches
77,78,Caolan Boyd-Munce,nir NIR,DF,Middlesbrough,21,2000,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches
78,79,Sonny Bradley,eng ENG,DF,Luton Town,29,1991,19.7,25,17,21,4,0,15,19,78.9,4,30,22,8,27,52,103,1,Matches
79,80,Tom Bradshaw,wls WAL,"FW,MF",Millwall,29,1992,15.0,9,4,2,5,2,5,8,62.5,3,17,3,14,6,15,18,0,Matches
