,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
32,33,Nedim Bajrami,al ALB,"MF,FW",Empoli,22,1999,22.8,6,51,18,35.3,2.23,0.79,0.06,0.17,21.0,8,3,3,7.0,4.7,0.09,-1.0,-1.7,Matches
33,34,Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,0,4,0,0.0,0.72,0.00,0.00,,21.0,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
34,35,Tommaso Baldanzi,it ITA,FW,Empoli,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
35,36,Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,3,27,11,40.7,1.98,0.81,0.11,0.27,13.3,0,0,0,3.9,3.9,0.15,-0.9,-0.9,Matches
36,37,Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,0,2,1,50.0,0.40,0.20,0.00,0.00,14.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
37,38,Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,2,35,11,31.4,1.61,0.51,0.06,0.18,19.9,0,0,0,2.9,2.9,0.08,-0.9,-0.9,Matches
38,39,Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,0,9,1,11.1,0.67,0.07,0.00,0.00,10.5,0,0,0,1.2,1.2,0.13,-1.2,-1.2,Matches
39,40,Antonín Barák,cz CZE,"MF,FW",Hellas Verona,26,1994,26.0,11,47,20,42.6,1.81,0.77,0.15,0.35,15.7,2,4,4,9.8,6.7,0.14,+1.2,+0.3,Matches
40,41,Francesco Bardi,it ITA,GK,Bologna,29,1992,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
41,42,Nicolò Barella,it ITA,MF,Inter,24,1997,32.4,3,68,12,17.6,2.10,0.37,0.04,0.25,20.5,0,0,0,5.6,5.6,0.08,-2.6,-2.6,Matches
42,43,Musa Barrow,gm GAM,"FW,MF",Bologna,22,1998,23.7,6,71,27,38.0,2.99,1.14,0.08,0.22,21.4,3,0,0,6.3,6.3,0.09,-0.3,-0.3,Matches
43,44,Daniele Baselli,it ITA,"MF,FW",Torino,29,1992,1.7,0,1,0,0.0,0.60,0.00,0.00,,5.4,0,0,0,0.4,0.4,0.37,-0.4,-0.4,Matches
44,45,Daniele Baselli,it ITA,MF,Cagliari,29,1992,3.2,0,5,0,0.0,1.55,0.00,0.00,,19.0,0,0,0,0.6,0.6,0.11,-0.6,-0.6,Matches
