,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches
40,41,Esteban Andrada,ar ARG,GK,Monterrey,30,1991,31.0,2,0,2,0,0,1,1,100.0,0,0,0,0,1,3,13,0,Matches
41,42,Miguel Ángel Herrera,mx MEX,DF,Pachuca,32,1989,8.1,8,4,7,1,0,4,8,50.0,4,7,4,3,16,24,33,0,Matches
42,43,Luis Ángel Mendoza,mx MEX,"FW,MF",Cruz Azul,31,1990,2.9,4,3,1,3,0,2,4,50.0,2,2,0,2,3,7,0,0,Matches
43,44,Miguel Ángel Ponce,mx MEX,DF,Guadalajara,32,1989,15.2,26,14,16,6,4,16,28,57.1,12,12,3,9,18,44,26,0,Matches
44,45,Brayan Angulo,ec ECU,FW,Cruz Azul,25,1995,14.4,7,6,1,3,3,1,6,16.7,5,14,3,11,4,11,12,0,Matches
45,46,Brayan Angulo,co COL,DF,Tijuana,31,1989,30.3,66,42,35,25,6,36,58,62.1,22,30,5,25,44,110,66,1,Matches
46,47,Jesús Angulo,mx MEX,"MF,FW",Guadalajara,24,1997,26.5,26,13,6,14,6,10,31,32.3,21,12,0,12,7,33,7,0,Matches
47,48,Francisco Antonio Figueroa,mx MEX,"FW,MF",Pachuca,22,1999,3.5,4,3,2,2,0,2,4,50.0,2,3,0,3,3,7,1,0,Matches
48,49,Francisco Antonio Figueroa,mx MEX,"MF,FW",Querétaro,22,1999,1.0,2,1,0,0,2,1,1,100.0,0,0,0,0,0,2,2,0,Matches
49,50,Jorge Antonio Padilla,mx MEX,DF,Mazatlán,27,1993,22.1,43,27,26,16,1,15,24,62.5,9,30,11,19,32,75,57,0,Matches
50,51,José Antonio Rodríguez,mx MEX,GK,Guadalajara,29,1992,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
51,52,José Antonio Rodríguez,mx MEX,GK,Querétaro,29,1992,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
