,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Matches
29,30,Milan Badelj,hr CRO,MF,Genoa,32,1989,31.6,1230,1575,78.1,21537,7741,548,650,84.3,523,621,84.2,124,210,59.0,0,2.4,2.0,-2.4,26,144,17,3,128,Matches
30,31,Nicola Bagnolini,it ITA,GK,Bologna,17,2004,0.0,0,4,0.0,0,0,0,0,,0,0,,0,4,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
31,32,Issa Bah,lu LUX,FW,Venezia,19,2002,0.1,6,6,100.0,81,17,2,2,100.0,3,3,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches
32,33,Nedim Bajrami,al ALB,"MF,FW",Empoli,22,1999,22.8,621,898,69.2,9775,3179,327,387,84.5,220,286,76.9,50,149,33.6,5,5.6,4.9,-0.6,54,49,44,8,82,Matches
33,34,Tiemoué Bakayoko,fr FRA,MF,Milan,26,1994,5.6,269,304,88.5,4451,1013,140,156,89.7,91,98,92.9,32,36,88.9,0,0.3,0.3,-0.3,3,27,2,0,18,Matches
34,35,Tommaso Baldanzi,it ITA,FW,Empoli,18,2003,0.2,5,6,83.3,35,0,4,4,100.0,0,0,,0,0,,0,0.0,0.0,0.0,1,0,0,0,0,Matches
35,36,Keita Baldé,sn SEN,FW,Cagliari,26,1995,13.7,187,260,71.9,2522,464,106,128,82.8,51,74,68.9,10,13,76.9,1,0.7,1.2,+0.3,10,14,6,0,14,Matches
36,37,Fodé Ballo-Touré,sn SEN,DF,Milan,24,1997,5.0,230,272,84.6,3621,957,121,134,90.3,92,106,86.8,11,16,68.8,0,0.2,0.7,-0.2,4,13,8,3,15,Matches
37,38,Filippo Bandinelli,it ITA,MF,Empoli,26,1995,21.7,537,733,73.3,8769,3104,273,315,86.7,197,256,77.0,46,96,47.9,3,4.1,2.8,-1.1,32,60,41,13,85,Matches
38,39,Mattia Bani,it ITA,DF,Genoa,27,1993,13.5,333,469,71.0,6336,2700,123,151,81.5,166,201,82.6,36,96,37.5,0,0.1,0.1,-0.1,3,16,0,0,19,Matches
