,Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches
41,42,Thomas Beekman,nl NED,MF,NEC Nijmegen,21,2000,0.1,4,0,1,2,1,1,4,0,0,,1,0,3,0,Matches
42,43,Thomas Beelen,nl NED,"MF,DF",Zwolle,20,2001,0.8,50,3,11,24,15,1,50,0,0,,1,2,31,2,Matches
43,44,Iliass Bel Hassani,ma MAR,"MF,FW",RKC Waalwijk,28,1992,9.3,443,7,58,230,159,16,443,20,26,76.9,25,14,297,37,Matches
44,45,Benaissa Benamar,ma MAR,DF,Utrecht,24,1997,1.0,96,17,45,51,0,0,96,0,1,0.0,1,0,58,0,Matches
45,46,Charlison Benschop,cw CUW,FW,Fortuna Sittard,31,1989,6.4,193,9,23,107,64,11,193,5,5,100.0,19,10,126,22,Matches
46,47,Martijn Berden,nl NED,"FW,MF",Go Ahead Eag,24,1997,6.9,217,5,30,76,118,22,217,11,24,45.8,15,18,147,34,Matches
47,48,Mitchell van Bergen,nl NED,FW,Heerenveen,21,1999,1.0,50,1,4,12,34,2,50,0,0,,1,0,37,11,Matches
48,49,Steven Berghuis,nl NED,"MF,FW",Ajax,29,1991,26.5,1823,17,138,702,990,124,1823,21,46,45.7,47,19,1358,139,Matches
49,50,Emil Bergström,se SWE,DF,Willem II,28,1993,8.3,481,60,255,207,20,9,481,0,0,,4,1,251,3,Matches
50,51,Matúš Bero,sk SVK,MF,Vitesse,25,1995,24.2,1312,39,203,738,384,52,1311,17,43,39.5,80,30,757,84,Matches
51,52,Tom Beugelsdijk,nl NED,DF,Sparta R'dam,30,1990,17.0,875,114,422,405,56,23,875,6,9,66.7,12,1,455,9,Matches
52,53,Sam Beukema,nl NED,DF,AZ Alkmaar,22,1998,11.0,777,92,381,367,32,15,777,0,0,,5,2,451,4,Matches
53,54,Justin Bijlow,nl NED,GK,Feyenoord,23,1998,22.0,765,641,758,6,1,1,765,1,1,100.0,0,0,405,0,Matches
54,55,Janis Blaswich,de GER,GK,Heracles Almelo,30,1991,22.0,874,675,857,16,1,0,874,1,1,100.0,0,0,424,0,Matches
55,56,Daley Blind,nl NED,DF,Ajax,31,1990,31.2,3352,124,734,1804,841,65,3352,27,41,65.9,45,18,2399,108,Matches
56,57,Tom Boere,nl NED,FW,Cambuur,28,1992,14.1,427,17,24,246,160,41,427,8,15,53.3,34,24,310,73,Matches
57,58,Melayro Bogarde,nl NED,MF,Groningen,19,2002,2.7,130,6,31,71,28,0,130,2,4,50.0,7,3,62,2,Matches
58,59,Wilfried Bony,ci CIV,FW,NEC Nijmegen,32,1988,0.2,7,0,0,2,5,0,7,0,0,,2,0,5,1,Matches
59,60,Pieter Bos,nl NED,GK,Cambuur,24,1997,5.1,235,211,234,1,0,0,235,0,0,,0,0,106,0,Matches
60,61,Olivier Boscagli,fr FRA,"DF,MF",PSV Eindhoven,23,1997,26.2,2347,157,862,1354,147,21,2347,14,17,82.4,15,9,1526,11,Matches
61,62,Jesse Bosch,nl NED,MF,Twente,21,2000,9.7,544,36,125,302,123,10,544,9,18,50.0,23,3,289,19,Matches
62,63,Jordan Botaka,cd COD,"MF,DF",Fortuna Sittard,28,1993,1.8,109,1,25,58,28,6,109,8,10,80.0,7,3,63,3,Matches
63,64,Ioannis-Foivos Botos,gr GRE,"MF,FW",Go Ahead Eag,20,2000,11.5,424,6,40,178,209,69,424,5,18,27.8,40,16,307,78,Matches
64,65,Achraf El Bouchataoui,nl NED,MF,RKC Waalwijk,21,2000,4.1,347,7,93,177,81,5,347,2,8,25.0,7,3,225,5,Matches
65,66,Yacine Bourhane,km COM,MF,Go Ahead Eag,22,1998,0.5,30,1,4,22,4,1,30,0,0,,1,1,23,1,Matches
66,67,Othman Boussaid,be BEL,"FW,MF",Utrecht,21,2000,13.8,719,15,113,304,320,36,719,22,45,48.9,32,18,436,62,Matches
67,68,Róbert Boženík,sk SVK,FW,Feyenoord,21,1999,0.2,3,0,0,3,0,0,3,0,0,,0,0,2,1,Matches
68,69,Wout Brama,nl NED,MF,Twente,34,1986,7.1,405,29,116,248,43,0,405,4,6,66.7,5,4,246,1,Matches
69,70,Mattijs Branderhorst,nl NED,GK,NEC Nijmegen,27,1993,34.0,1180,1123,1178,0,2,2,1180,0,0,,3,0,423,0,Matches
70,71,Myron van Brederode,nl NED,FW,AZ Alkmaar,18,2003,0.1,18,0,1,5,12,3,18,1,1,100.0,1,1,8,0,Matches
71,72,Michael Breij,nl NED,"MF,FW",Cambuur,24,1997,15.5,605,32,122,295,206,37,605,17,34,50.0,30,14,366,67,Matches
72,73,Joshua Brenet,nl NED,DF,Twente,27,1994,11.1,761,24,183,344,248,48,761,14,39,35.9,25,12,391,51,Matches
73,74,Brian Brobbey,nl NED,FW,Ajax,19,2002,4.4,144,1,9,58,79,42,144,5,13,38.5,14,6,110,46,Matches
74,75,Jorn Brondeel,be BEL,GK,Willem II,27,1993,1.2,43,39,43,0,0,0,43,0,0,,0,0,15,0,Matches
75,76,Ilias Bronkhorst,nl NED,"DF,FW",NEC Nijmegen,24,1997,2.2,119,5,29,55,36,5,119,0,0,,6,2,58,12,Matches
76,77,Luuk Brouwers,nl NED,MF,Go Ahead Eag,23,1998,31.9,1833,99,564,998,290,56,1832,23,32,71.9,27,21,1112,42,Matches
77,78,Jordy Bruijn,nl NED,"MF,FW",NEC Nijmegen,25,1996,20.1,883,34,212,473,210,53,881,24,47,51.1,43,33,584,66,Matches
78,79,Bruma,pt POR,"FW,MF",PSV Eindhoven,26,1994,14.1,927,5,64,345,531,92,927,33,62,53.2,54,21,713,126,Matches
79,80,Max Bruns,nl NED,DF,Twente,18,2002,1.2,46,5,27,18,1,0,46,0,0,,0,0,25,0,Matches
80,81,Koen Bucker,nl NED,GK,Heracles Almelo,25,1996,12.0,454,429,452,2,0,0,454,0,0,,0,0,172,0,Matches
81,82,Thomas Buitink,nl NED,"FW,MF",Vitesse,21,2000,12.8,460,12,63,232,174,49,460,17,28,60.7,38,20,291,55,Matches
82,83,Wouter Burger,nl NED,DF,Feyenoord,20,2001,0.9,78,4,24,52,3,2,78,0,0,,2,0,61,0,Matches
83,84,Delano Burgzorg,nl NED,"FW,MF",Heracles Almelo,22,1998,12.8,436,7,49,132,260,61,436,25,38,65.8,47,22,293,88,Matches
84,85,Alexander Büttner,nl NED,"DF,MF",RKC Waalwijk,32,1989,20.9,1288,30,331,543,433,13,1287,16,37,43.2,44,23,640,40,Matches
